"location","source","target"
"﻿829Fans.Tips.1","2011/6/17 10:00","2011/6/17 10:00"
"829Fans.829.2","[线下活动预告]
时间：6月18日下午 14:30-20:30
地点：星水街
内容：现场购买咖啡第二杯半价，可积分，欢迎","[线下活动预告]
时间：6月18日下午 14:30-20:30
地点：星水街
内容：现场购买咖啡第二杯半价，可积分，欢迎"
"829Fans.Anybody_yellow.3","好耶！","好耶！"
"829Fans.Tips.4","2011/6/18 13:51","2011/6/18 13:51"
"829Fans.Sella.5","各位，我已经到星水街咯！","各位，我已经到星水街咯！"
"829Fans.Sella.6","今天第二杯半价！","今天第二杯半价！"
"829Fans.Anybody_green.7","马上就到","马上就到"
"829Fans.Tips.8","2011/6/18 16:02","2011/6/18 16:02"
"829Fans.Anybody_yellow.9","只有 Sella 一个人吗","只有 Sella 一个人吗"
"829Fans.Tips.10","2011/6/18 16:22","2011/6/18 16:22"
"829Fans.Sella.11","我的小助手~","我的小助手~"
"829Fans.Sella.12","还在店里值班","还在店里值班"
"829Fans.Anybody_blue.13","新品不错，好喝","新品不错，好喝"
"829Fans.Anybody_green.14","积分树真好用","积分树真好用"
