location,source,target
ARCDomHint.Dom.1,Miki。,
ARCDomHint.Typing.100,什么事，老大,
ARCDomHint.Monologue.2,"靠！
是我的 <color=#DB7F20>直接上级 Dom</color>。",
ARCDomHint.Monologue.3,"这个点了，
不会是现场出什么事了吧。",
ARCDomHint.Dom.4,你怎么看待建筑行业？,
ARCDomHint.Typing.5,我觉得挺好的,
ARCDomHint.Typing.6,我觉得快要凉了,
ARCDomHint.Dom.7,哦，我就是随便问问。,
ARCDomHint.Typing.8,老大，为什么突然问这个,
ARCDomHint.Dom.9,没什么，随便和你聊两句。,
ARCDomHint.Dom.10,我记得你妈妈是大夫。,
ARCDomHint.Typing.11,嗯，是的,
ARCDomHint.Dom.12,挺好的。,
ARCDomHint.Dom.13,今年你报一之濑吗？,
ARCDomHint.Dom.14,做得怎么样了发给我看一眼。,
ARCDomHint.Dom.15,我帮你查查结构上的东西。,
ARCDomHint.Dom.16,总比 AI 和赛博生命强。,
ARCDomHint.Monologue.17,一之濑建筑设计奖……,
ARCDomHint.Monologue.18,"我是一直都想参加，
不过总是给自己找借口逃避。",
ARCDomHint.Monologue.19,同期还有个麻园滨海什么的建筑设计大赛。,
ARCDomHint.Typing.20,好的，我整理之后发给您,
ARCDomHint.Typing.21,我还没决定好,
ARCDomHint.Dom.22,你去年做那个我感觉就大差不差。,
ARCDomHint.Dom.23,好好做做说不定能得个奖。,
ARCDomHint.Dom.24,这对你以后做建筑这一行也会有帮助。,
ARCDomHint.Dom.25,你上次去城程那个风电厂感觉怎么样？,
ARCDomHint.Typing.26,风景很好,
ARCDomHint.Typing.27,还不错,
ARCDomHint.Typing.28,我不怎么记得了,
ARCDomHint.Typing.29,就是有点累,
ARCDomHint.Dom.30,年轻人。,
ARCDomHint.Dom.31,要注意身体。,
ARCDomHint.Dom.32,那地方其实和我们没什么关系。,
ARCDomHint.Dom.33,就一个盒子楼，又不是我们盖的，还天天鸡飞狗跳。,
ARCDomHint.Dom.34,不用那么上心。能对付过去就可以。,
ARCDomHint.Dom.35,别把身体熬坏。,
ARCDomHint.Typing.36,好的，老大,
ARCDomHint.Dom.37,当建筑师不容易。,
ARCDomHint.Dom.38,我是在城程那边长大的。,
ARCDomHint.Dom.39,其实在厂里面当个电工也挺好的。,
ARCDomHint.Dom.40,你早点休息吧。,
ARCDomHint.Monologue.41,"Dom 老大这是在……
有点欲言又止的感觉……",
ARCDomHint.Monologue.42,不过比赛的事情他说得有点道理。,
ARCDomHint.Monologue.43,明天好好考虑一下要参加什么比赛吧。,
