location,source,target
AlanCome.Alan.4,晚上好，两位网络替身。我有事情想要拜托你们。,
AlanCome.Typing.8,你好，是什么事情？,
AlanCome.Alan.10,抱歉必须得耽误你一点时间,
AlanCome.Typing.11,你说吧,
AlanCome.Alan.12,嗯，一会儿我就要回家了,
AlanCome.Monologue.13,等一下——好像突然想起了点什么事情。,
AlanCome.Typing.14,你为什么说，两位？,
AlanCome.Alan.15,哦对，忘了自我介绍，我是网络调查员，主要分管地台寺区,
AlanCome.Alan.16,虽然你们设置了一套饶有新意的防护系统,
AlanCome.Alan.17,我还是在来之前，稍微调查了一下你们,
AlanCome.Monologue.18,糟了——！,
AlanCome.Monologue.19,还是被网络警察盯上了！,
AlanCome.Monologue.20,得赶快把电脑关了！,
AlanCome.Monologue.21,"不行，
这样做完全没用。",
AlanCome.Monologue.22,快去请 Nil！,
AlanCome.Alan.23,你们不用担心，我并没有要逮捕你们的意思,
AlanCome.Alan.24,光是那些赛博生命社团倒卖算力的事情我就已经忙得头晕眼花了,
AlanCome.Alan.25,现在是我的下班时间,
AlanCome.Alan.26,我们这一行其实也不比你们那一行清白多少,
AlanCome.Alan.27,你们不在我的辖区里活动，我也不会找你们的麻烦,
AlanCome.Alan.28,这次是纯粹的私人事务,
AlanCome.Typing.29,Nil，快，我们被TT盯上了！,
AlanCome.Nil.30,<color=#A69884>醉酒喵。[自动回复],
AlanCome.Typing.31,别搞这些有的没的！,
AlanCome.Nil.32,<color=#A69884>醉酒喵。[自动回复],
AlanCome.Typing.33,真的被网络警察盯上了！,
AlanCome.Nil.34,<color=#A69884>醉酒喵。[自动回复],
AlanCome.Monologue.35,偏偏是这种关键时刻。,
AlanCome.Alan.36,是这样的，我最近打算离婚,
AlanCome.Typing.37,不好意思，稍等一下,
AlanCome.Monologue.38,在 Nil 回来之前要想办法拖住他才行。,
AlanCome.Typing.39,您可能找错人了，我们是互动科技公司,
AlanCome.Alan.40,哈哈，我们都很清楚互动科技是怎么一回事,
AlanCome.Alan.41,找些没什么正事的人来陪另一些没什么正事的人聊天,
AlanCome.Alan.42,又不是用 AI 登，就人肉登陆他人账号这点小事，判不了多久的,
AlanCome.Alan.43,而且我说过了，我没有要抓你们的意思,
AlanCome.Alan.44,不过看你的反应,
AlanCome.Alan.45,你应该刚做这一行不久吧？,
AlanCome.Alan.46,你们俩都是赛博生命？,
AlanCome.Typing.47,是,
AlanCome.Typing.48,不是,
AlanCome.Typing.49,我不知道,
AlanCome.Alan.200,回答得很干脆嘛,
AlanCome.Alan.201,犹豫这么久？,
AlanCome.Think.202,我当然不是赛博生命,
AlanCome.Think.203,但是 Nil ……,
AlanCome.Alan.50,好吧，这不重要,
AlanCome.Alan.51,我们现在可以说正事了吧,
AlanCome.Typing.52,你想要我做什么？,
AlanCome.Alan.53,就是离婚的事情,
AlanCome.Alan.54,爱情已经不再了,
AlanCome.Alan.55,也许爱情从来没有存在过,
AlanCome.Alan.56,总之就是这样，我必须要离婚，我已经我受够了,
AlanCome.Alan.57,但是我没办法向她开口，所以要拜托你,
AlanCome.Typing.58,那你离婚的理由是？,
AlanCome.Typing.59,你其实可以直接去法院,
AlanCome.Typing.60,让法官把传票送到你们家里去,
AlanCome.Typing.61,然后你再假装无事发生地转给你老婆,
AlanCome.Alan.62,你想说的是不是民政局？,
AlanCome.Monologue.63,……,
AlanCome.Typing.64,不好意思我没离过婚,
AlanCome.Typing.65,那你离婚的理由是,
AlanCome.Alan.66,没有什么特别的理由,
AlanCome.Alan.67,所有人都向我要求得太多了,
AlanCome.Alan.68,必须要活成他们想要的样子,
AlanCome.Alan.69,每天不管多累都要煮饭 洗碗,
AlanCome.Alan.70,还要存钱买房子，我真不理解为什么一定要买一个愚蠢的水泥盒子,
AlanCome.Typing.71,所以你选择像个小孩一样找陌生人抱怨,
AlanCome.Alan.72,是的，部分是,
AlanCome.Alan.73,但不止抱怨，我不是正在委托你行动吗,
AlanCome.Typing.74,那会让人安心不是吗？,
AlanCome.Alan.75,我不太理解为什么一个水泥盒子会让人安心,
AlanCome.Typing.1001,我能为你做点什么？,
AlanCome.Alan.76,这都没关系了，让他们和他们的水泥盒子过一辈子吧,
AlanCome.Alan.77,我下定决心要从今天开始全新的人生,
AlanCome.Typing.78,我能为你做点什么,
AlanCome.Alan.79,暂时先这样，我之后会收集一些材料,
AlanCome.Alan.80,你只要帮我转交给我老婆就好,
AlanCome.Typing.81,我真的觉得你去找一个律师更合适,
AlanCome.Alan.82,不不，你就是最合适的人选,
AlanCome.Alan.83,我得上楼了,
AlanCome.Alan.84,对了 差点忘记一件大事,
AlanCome.Alan.85,我想和 Prime 过一辈子,
AlanCome.Monologue.86,编程语言吗……,
AlanCome.Typing.87,好，我知道了,
AlanCome.Typing.88,祝你幸福,
AlanCome.Typing.89,/表情: OK,
AlanCome.Alan.90,等等，还有一件事情,
AlanCome.Alan.91,我应该付你所少钱,
AlanCome.Alan.92,多少钱,
AlanCome.Typing.93,不用了，等你准备好材料再说,
AlanCome.Think.300,Nil 应该没提过定金之类的事？,
AlanCome.Alan.94,好，那先这样,
AlanCome.Typing.95,如果你坚持的话，100 比较合适,
AlanCome.Think.301,但是服务需要收定金应该很合理吧,
AlanCome.Alan.96,好，那先这样,
AlanCome.Typing.97,如果你坚持的话，200 比较合适,
AlanCome.Think.302,200 应该没问题吧,
AlanCome.Alan.98,那么贵？,
AlanCome.Alan.99,那还是等事情结束了算给你吧,
