"location","source","target"
"﻿AlanOrder.Alan.1","小替身，我准备好了。","小替身，我准备好了。"
"AlanOrder.Alan.2","我线提前说好","我线提前说好"
"AlanOrder.Alan.3","先","先"
"AlanOrder.Alan.4","我会让你登录我的账号","我会让你登录我的账号"
"AlanOrder.Alan.5","但是你通过 GUI 只能打开我指定的聊天对象","但是你通过 GUI 只能打开我指定的聊天对象"
"AlanOrder.Alan.6","其他信息你一概别碰","其他信息你一概别碰"
"AlanOrder.Alan.7","我已经做过必要的加密","我已经做过必要的加密"
"AlanOrder.Alan.8","聊天的垃圾后端你也明白","聊天的垃圾后端你也明白"
"AlanOrder.Alan.9","还不开源","还不开源"
"AlanOrder.Monologue.10","又到了每天的其实我不明白环节……","又到了每天的其实我不明白环节……"
"AlanOrder.Alan.11","总之，不要以任何方式去拉我账号上的数据","总之，不要以任何方式去拉我账号上的数据"
"AlanOrder.Alan.12","如果被TT查到了后果将会非常麻烦","如果被TT查到了后果将会非常麻烦"
"AlanOrder.Typing.13.1","好知道了","好知道了"
"AlanOrder.Typing.13.2","你们这些程序员说话真的都有一套捏","你们这些程序员说话真的都有一套捏"
"AlanOrder.Typing.15","让人听不懂捏","让人听不懂捏"
"AlanOrder.Alan.16","不是程序员而是全栈_服务器工程师","不是程序员而是全栈_服务器工程师"
"AlanOrder.Typing.17","好的","好的"
"AlanOrder.Alan.18","我老婆应该快要下班了，我把车停在了一个很安全的地方","我老婆应该快要下班了，我把车停在了一个很安全的地方"
"AlanOrder.Alan.19","相关的资料我现在发给你","相关的资料我现在发给你"
"AlanOrder.Alan.20","我现在是打算走协议离婚，以夫妻感情破裂为理由","我现在是打算走协议离婚，以夫妻感情破裂为理由"
"AlanOrder.Alan.21","具体的都在里面了","具体的都在里面了"
"AlanOrder.Alan.22","<color=#38639A><sprite name=""History"">北极星行动_离婚协议","<color=#38639A><sprite name=""History"">北极星行动_离婚协议"
"AlanOrder.Alan.23","<color=#38639A><sprite name=""History"">北极星行动_离婚理由陈述书","<color=#38639A><sprite name=""History"">北极星行动_离婚理由陈述书"
"AlanOrder.Typing.24","我只要把这些东西发给她就行吗？","我只要把这些东西发给她就行吗？"
"AlanOrder.Alan.25","理论上来说是的","理论上来说是的"
"AlanOrder.Alan.26","不过我也想依赖一下你的专业技能","不过我也想依赖一下你的专业技能"
"AlanOrder.Alan.27","别把事情弄得太难看","别把事情弄得太难看"
"AlanOrder.Alan.28","体面一点","体面一点"
"AlanOrder.Typing.29.1","我明白了","我明白了"
"AlanOrder.Typing.29.2","你真的下定决心了吗","你真的下定决心了吗"
"AlanOrder.Alan.31","嗯。","嗯。"
"AlanOrder.Alan.32","已经不会再后悔了","已经不会再后悔了"
"AlanOrder.Alan.33","发给她吧","发给她吧"
"AlanOrder.Alan.34","她多半会同意的","她多半会同意的"
"AlanOrder.Typing.35","为什么？","为什么？"
"AlanOrder.Alan.36","你还没有结婚吧？","你还没有结婚吧？"
"AlanOrder.Typing.37","没有","没有"
"AlanOrder.Alan.38","也许你以后会明白的","也许你以后会明白的"
"AlanOrder.Alan.39","当你已经完全了解一个人，熟悉她所有的秉性","当你已经完全了解一个人，熟悉她所有的秉性"
"AlanOrder.Alan.40","你不再爱她了，也不喜欢他","你不再爱她了，也不喜欢他"
"AlanOrder.Alan.41","她","她"
"AlanOrder.Alan.42","只有习惯如同牢笼一样维系着你们的关系","只有习惯如同牢笼一样维系着你们的关系"
"AlanOrder.Alan.43","人是习惯的奴隶，小替身","人是习惯的奴隶，小替身"
"AlanOrder.Alan.44","我永远忘不掉她","我永远忘不掉她"
"AlanOrder.Alan.45","我好像已经在那个小盒子里和她过了一辈子一样","我好像已经在那个小盒子里和她过了一辈子一样"
"AlanOrder.Typing.46","呃，我可能有点赶时间","呃，我可能有点赶时间"
"AlanOrder.Alan.47","她会生气，但不会说出来，也不会大吵大闹","她会生气，但不会说出来，也不会大吵大闹"
"AlanOrder.Alan.48","她是个体面的人","她是个体面的人"
"AlanOrder.Alan.49","我们曾经真心相爱过","我们曾经真心相爱过"
"AlanOrder.Alan.50","等她看到消息，她会打个电话给我，她会说","等她看到消息，她会打个电话给我，她会说"
"AlanOrder.Alan.51","你确定要这样吗？","你确定要这样吗？"
"AlanOrder.Alan.52","原谅我有点多愁善感","原谅我有点多愁善感"
"AlanOrder.Alan.53","快去吧，小替身","快去吧，小替身"
"AlanOrder.Typing.54.1","我觉得你还是没有放下她","我觉得你还是没有放下她"
"AlanOrder.Alan.55","我会放下的","我会放下的"
"AlanOrder.Alan.56","哇必须前进","哇必须前进"
"AlanOrder.Alan.57","我","我"
"AlanOrder.Alan.58","快去吧，在我后悔以前","快去吧，在我后悔以前"
"AlanOrder.Typing.54.2","好吧","好吧"
"AlanOrder.Alan.60","Amanda 不算是个顶尖的工程师","Amanda 不算是个顶尖的工程师"
"AlanOrder.Todo.0","帮 Alan 发送离婚协议","帮 Alan 发送离婚协议"
"AlanOrder.Alan.61","但是她也能写点 J++ 和 THT 的东西","但是她也能写点 J++ 和 THT 的东西"
"AlanOrder.Alan.62","如果她没去游戏公司找个正经工作的话","如果她没去游戏公司找个正经工作的话"
"AlanOrder.Monologue.100","Amanda……
好像 Norida 他们公司也有一位 Amanda。","Amanda……
好像 Norida 他们公司也有一位 Amanda。"
"AlanOrder.Monologue.101","Amanda……
Alan 应该是说的是他的老婆吧。","Amanda……
Alan 应该是说的是他的老婆吧。"
"AlanOrder.Monologue.102","Amanda……
好像 Frank 想结婚的对象也叫 Amanda。","Amanda……
好像 Frank 想结婚的对象也叫 Amanda。"
"AlanOrder.Monologue.64","我的猪脑……","我的猪脑……"
"AlanOrder.Monologue.63","Amanda……游戏公司……","Amanda……游戏公司……"
