"location","source","target"
"﻿AmandaAlan.Monologue.1","Amanda……这个头像……","Amanda……这个头像……"
"AmandaAlan.Monologue.2","在 Will 的好友里也有？","在 Will 的好友里也有？"
"AmandaAlan.Monologue.3","他们是一个公司的。","他们是一个公司的。"
"AmandaAlan.Monologue.4","等等……Amanda……这个头像……","等等……Amanda……这个头像……"
"AmandaAlan.Monologue.5","在Will的好友里也有。","在Will的好友里也有。"
"AmandaAlan.Monologue.6","Frank 说的 Amanda，该不会就是这个 Amanda 吧？","Frank 说的 Amanda，该不会就是这个 Amanda 吧？"
"AmandaAlan.Monologue.7","嗯……该怎么开口呢……
是不是要先开个头。","嗯……该怎么开口呢……
是不是要先开个头。"
"AmandaAlan.Monologue.10","嗯……我要告诉 Alan 吗？","嗯……我要告诉 Alan 吗？"
"AmandaAlan.Monologue.11","还是假装没看见……完成他的订单就好？","还是假装没看见……完成他的订单就好？"
"AmandaAlan.Monologue.12","反正 Alan 都要离婚了。","反正 Alan 都要离婚了。"
"AmandaAlan.Monologue.13","Amanda，
Alan 的老婆，Alan 打算和她离婚。","Amanda，
Alan 的老婆，Alan 打算和她离婚。"
"AmandaAlan.Monologue.14","同时也是 Norida 他们公司的程序。","同时也是 Norida 他们公司的程序。"
"AmandaAlan.Monologue.15","Frank 说想和 Amanda 结婚了。","Frank 说想和 Amanda 结婚了。"
"AmandaAlan.Monologue.16","有人想离婚就有人想结婚，这就是神奇的婚姻。","有人想离婚就有人想结婚，这就是神奇的婚姻。"
