"location","source","target"
"﻿BenCome.Ben.1","嘿，Mik","嘿，Mik"
"BenCome.Typing.3","嘿，Benny","嘿，Benny"
"BenCome.Typing.4","晚上好，我的朋友","晚上好，我的朋友"
"BenCome.Typing.200","最近游戏做得还顺利吗","最近游戏做得还顺利吗"
"BenCome.Ben.201","还行，正好有个事儿和你说","还行，正好有个事儿和你说"
"BenCome.Ben.5","我今天是来道别的","我今天是来道别的"
"BenCome.Ben.6","按照和你之前约定好的，离开麻园之前来和你道个别","按照和你之前约定好的，离开麻园之前来和你道个别"
"BenCome.Monologue.100","<color=#DB7F20> Ben要走了 </color>……","<color=#DB7F20> Ben要走了 </color>……"
"BenCome.Typing.7","你要去哪？","你要去哪？"
"BenCome.Ben.8","我回老家，伊良那边","我回老家，伊良那边"
"BenCome.Typing.9","你们工作室那个，纸片世界解谜，不是说今年秋天上线吗？","你们工作室那个，纸片世界解谜，不是说今年秋天上线吗？"
"BenCome.Ben.10","那个他们可能不打算做了","那个他们可能不打算做了"
"BenCome.Ben.11","KK 想把工作室关了","KK 想把工作室关了"
"BenCome.Typing.12","这么突然","这么突然"
"BenCome.Typing.13","你终于被公司开除了吗？","你终于被公司开除了吗？"
"BenCome.Ben.14","是啊，不仅我被开除了","是啊，不仅我被开除了"
"BenCome.Ben.15","而且连带着工作室也倒闭了","而且连带着工作室也倒闭了"
"BenCome.Typing.16","！","！"
"BenCome.Typing.17","怎么会这样","怎么会这样"
"BenCome.Typing.18","我是开玩笑的啊","我是开玩笑的啊"
"BenCome.Ben.19","害，没事儿","害，没事儿"
"BenCome.Ben.1002","也有点经济环境下行的原因吧","也有点经济环境下行的原因吧"
"BenCome.Ben.20","大概是限制法案草案刚出来那会儿，我就感觉 KK 有点迷失了","大概是限制法案草案刚出来那会儿，我就感觉 KK 有点迷失了"
"BenCome.Ben.21","经常在工作室里面发火，问些莫名其妙的问题","经常在工作室里面发火，问些莫名其妙的问题"
"BenCome.Ben.22","感觉是流程上卡住了，也可能是做一半儿突然觉得剪纸这个题材受众太小","感觉是流程上卡住了，也可能是做一半儿突然觉得剪纸这个题材受众太小"
"BenCome.Ben.1001","他都想不明白我怎么可能想明白","他都想不明白我怎么可能想明白"
"BenCome.Ben.23","反正也没活，我直接旷工去秀澄钓了三天的鱼","反正也没活，我直接旷工去秀澄钓了三天的鱼"
"BenCome.Typing.24","那么洒脱？","那么洒脱？"
"BenCome.Ben.25","哈哈哈，也还好","哈哈哈，也还好"
"BenCome.Ben.26","反正就是有些预兆","反正就是有些预兆"
"BenCome.Ben.27","也没那么突然","也没那么突然"
"BenCome.Typing.28","传奇的原画师 Ben 就这么退隐了吗","传奇的原画师 Ben 就这么退隐了吗"
"BenCome.Ben.29","也不算是退隐吧","也不算是退隐吧"
"BenCome.Ben.30","回到伊良正好可以专心做自己的作品","回到伊良正好可以专心做自己的作品"
"BenCome.Ben.31","对，也没什么传奇的","对，也没什么传奇的"
"BenCome.Typing.32","你什么时候走啊？","你什么时候走啊？"
"BenCome.Ben.33","明天上午的飞机","明天上午的飞机"
"BenCome.Typing.34","啊，这么着急","啊，这么着急"
"BenCome.Ben.35","其实已经拖延好几天了，哈哈","其实已经拖延好几天了，哈哈"
"BenCome.Typing.36","要不明天我去机场送你？","要不明天我去机场送你？"
"BenCome.Typing.37","要不今晚过来二十二中这边吃个宵夜？","要不今晚过来二十二中这边吃个宵夜？"
"BenCome.Ben.38","不不，谢谢你","不不，谢谢你"
"BenCome.Ben.39","我安静地和这个城市道别就好","我安静地和这个城市道别就好"
"BenCome.Typing.40","一路平安，祝你顺利","一路平安，祝你顺利"
"BenCome.Monologue.41","去年一起参加冲浪杯的朋友，还有<color=#DB7F20> Sake </color>，
不知道他过得怎么样了。","去年一起参加冲浪杯的朋友，还有<color=#DB7F20> Sake </color>，
不知道他过得怎么样了。"
"BenCome.Monologue.101","去年一起参加冲浪杯的朋友，还有<color=#DB7F20> Sake </color>","去年一起参加冲浪杯的朋友，还有<color=#DB7F20> Sake </color>"
"BenCome.Monologue.42","也许已经成了大设计师了吧？","也许已经成了大设计师了吧？"
"BenCome.Monologue.43","哈哈，真好啊，
大家都去有自己要去的下一站。","哈哈，真好啊，
大家都去有自己要去的下一站。"
"BenCome.Monologue.44","果然我——","果然我——"
"BenCome.Monologue.45","已经无药可救了。","已经无药可救了。"
"BenCome.Monologue.46","成为建筑师的生活和我想得完全不一样。","成为建筑师的生活和我想得完全不一样。"
"BenCome.Monologue.47","不要说创意了，根本连设计的余地都没有。","不要说创意了，根本连设计的余地都没有。"
"BenCome.Monologue.48","我不是为了成为第一建筑师才舍弃思念来到麻园的吗？","我不是为了成为第一建筑师才舍弃思念来到麻园的吗？"
"BenCome.Monologue.49","为什么会这样呢……","为什么会这样呢……"
"BenCome.Monologue.50","啊！！
被压榨到一无所有，就是我的终局吗……","啊！！
被压榨到一无所有，就是我的终局吗……"
"BenCome.Monologue.51","要想办法振作起来。","要想办法振作起来。"
"BenCome.Monologue.52","至少我还有办法维持这个房间的运转。","至少我还有办法维持这个房间的运转。"
"BenCome.Monologue.53","我自己的运转也——","我自己的运转也——"
"BenCome.Monologue.54","磕磕绊绊至少还在运转吧，哈哈。","磕磕绊绊至少还在运转吧，哈哈。"
"BenCome.Monologue.55","我可是为了成为第一建筑师才舍弃思念来到麻园的。","我可是为了成为第一建筑师才舍弃思念来到麻园的。"
"BenCome.Monologue.56","也抽时间看看要参赛的设计图吧。","也抽时间看看要参赛的设计图吧。"
