"location","source","target"
"﻿ChatHolly2.Holly.1","我要见你。","我要见你。"
"ChatHolly2.Typing.2","怎么了？","怎么了？"
"ChatHolly2.Holly.3","今晚我在星水街等你。","今晚我在星水街等你。"
"ChatHolly2.Holly.100","等会，突然要出现在我家楼下？","等会，突然要出现在我家楼下？"
"ChatHolly2.Holly.4","是很重要的事情。","是很重要的事情。"
"ChatHolly2.Typing.5.1","好，我知道了。","好，我知道了。"
"ChatHolly2.Typing.5.2","没出什么事吧？","没出什么事吧？"
"ChatHolly2.Monologue.7","又不回……","又不回……"
"ChatHolly2.Monologue.8","是什么情况……","是什么情况……"
"ChatHolly2.Monologue.9","那我也……","那我也……"
"ChatHolly2.Monologue.10","算了，有空还是去看看吧。","算了，有空还是去看看吧。"
