location,source,target
ChatSake2.Sake.1,想起来有个事儿忘了和你说,
ChatSake2.Sake.2,你这两天忙啥呢,
ChatSake2.Monologue.100,"Sake？
刚刚不是才见了一面吗。",
ChatSake2.Typing.3.1,咱能直奔主题吗,
ChatSake2.Sake.4,哈哈，好,
ChatSake2.Typing.3.2,瞎忙呗,
ChatSake2.Sake.6,我有个事儿想求你,
ChatSake2.Sake.7,上次我不是说去天角找教练嘛,
ChatSake2.Sake.8,其实是 Sue 跟我说她想入电竞这一行,
ChatSake2.Sake.9,你知道 Kuen 的那个意外,
ChatSake2.Sake.10,还有这行的残酷,
ChatSake2.Typing.11.1,每一行都很残酷,
ChatSake2.Typing.11.2,那个教练怎么说？,
ChatSake2.Sake.13,教练说麻园乃至整个亚东都没有健全的电竞体系,
ChatSake2.Sake.14,别把孩子害了,
ChatSake2.Sake.15,让她好好读书,
ChatSake2.Typing.16.1,有点道理,
ChatSake2.Typing.16.2,你怎么想？,
ChatSake2.Sake.18,我倒是不太在意害不害啦,
ChatSake2.Sake.19,她也在什么中学联盟里打过比赛,
ChatSake2.Sake.20,请我去看过,
ChatSake2.Typing.21.1,赢了吗,
ChatSake2.Sake.22,有输有赢吧,
ChatSake2.Typing.21.2,/表情：好的,
ChatSake2.Sake.24,我是觉得 Sue 可以选择自己的人生,
ChatSake2.Sake.25,我小时候要是我父母给我选的话,
ChatSake2.Sake.26,害,
ChatSake2.Sake.27,算了，不提这事儿,
ChatSake2.Sake.28,唯一的问题是,
ChatSake2.Sake.29,如果她没打出来,
ChatSake2.Sake.30,我现在又没工作,
ChatSake2.Sake.31,也没富裕到能养她一辈子,
ChatSake2.Sake.32,我也不想舔着脸回去找那两口子,
ChatSake2.Sake.33,我兜不住底,
ChatSake2.Typing.34.1,成年人真辛苦,
ChatSake2.Sake.35,是,
ChatSake2.Sake.36,本来这档子事儿,
ChatSake2.Sake.37,没必要死磕选手,
ChatSake2.Sake.38,干个主持和解说也能吃口饭,
ChatSake2.Sake.39,哎，她就偏不听,
ChatSake2.Typing.34.2,打不出来也可以做主持和解说吧,
ChatSake2.Sake.41,是,
ChatSake2.Sake.42,但是凭她的心气儿,
ChatSake2.Sake.43,她说不想做主持和解说,
ChatSake2.Sake.44,可能心里还没过去那个坎儿吧,
ChatSake2.Sake.45,Miki,
ChatSake2.Sake.46,我不想让 Sue 重蹈我的覆辙,
ChatSake2.Sake.47,我要阻止她,
ChatSake2.Sake.48,你来阻止,
ChatSake2.Sake.49,你看 Sue 又给你写过小卡片儿,
ChatSake2.Sake.50,又喜欢你做的游戏,
ChatSake2.Typing.51,那不是我们一起做的吗,
ChatSake2.Sake.52,你是谁啊,
ChatSake2.Sake.53,你是她最敬爱的 Ki 叔,
ChatSake2.Sake.54,你是她最敬爱的 Ki 姨,
ChatSake2.Sake.55,她肯定听你的,
ChatSake2.Typing.56.1,建筑又不学啦,
ChatSake2.Sake.57,计划赶不上变化嘛,
ChatSake2.Sake.58,不过建筑,
ChatSake2.Sake.59,真还是别了吧,
ChatSake2.Sake.60,你自己都快失业了,
ChatSake2.Typing.61,不是,
ChatSake2.Typing.62,为啥你老觉得我要失业,
ChatSake2.Sake.63,对不住对不住,
ChatSake2.Sake.64,不是那个意思,
ChatSake2.Sake.65,就是老在网上看到建筑行业降本增效啥的,
ChatSake2.Typing.56.2,那让她干平面？,
ChatSake2.Sake.67,可以啊,
ChatSake2.Sake.68,做平面我可以带他,
ChatSake2.Sake.69,开个父女店,
ChatSake2.Sake.70,蛮好的啦,
ChatSake2.Typing.71,真有那么好吗,
ChatSake2.Sake.72,哈哈哈，走一步看一步呗,
ChatSake2.Sake.73,谁知道这小鬼以后想不想干平面,
ChatSake2.Typing.74.1,如果我没成功呢,
ChatSake2.Typing.74.2,如果我不答应呢,
ChatSake2.Sake.76,我会亲自出手,
ChatSake2.Sake.77,真到了她偏向虎山行的那一步,
ChatSake2.Sake.78,我就全力,
ChatSake2.Sake.79,支持她,
ChatSake2.Sake.80,总之,
ChatSake2.Sake.81,拜托你了啊,
ChatSake2.Sake.82,Miki,
ChatSake2.Sake.83,一定要把 Sue 拦在烟花节那天,
ChatSake2.Typing.84.1,好吧,
ChatSake2.Typing.84.2,我只能说试试,
ChatSake2.Typing.84.3,我想想吧,
ChatSake2.Monologue.200,"Sake 说的烟花节，
应该就是七月的若户烟花节，还有一周左右的时间。",
ChatSake2.Monologue.201,要和 Sake 一起过吗……,
ChatSake2.Monologue.202,反正时间还早，到时候再说吧。,
