location,source,target
D03Open.Monologue.1,太奇怪了……,
D03Open.Monologue.2,从上周六开始竟然连续准点下班到了今天。,
D03Open.Monologue.3,而且几乎也没什么活……,
D03Open.Monologue.4,设计院对我灵魂的封印似乎开始松动了……,
D03Open.Monologue.5,今天兼职做完之后也试着推进自己的设计吧！,
D03Open.Monologue.6,我看 Dom 老大好像也挺闲的……,
D03Open.Monologue.7,就是脸色不太好……,
D03Open.Monologue.8,不过脸色不好是他的默认表情了。,
D03Open.Monologue.9,找个他心情好的时机向他请教一下吧。,
D03Open.Monologue.10,要怎么开口呢……,
D03Open.Monologue.11,直接说我打算参赛说不定会被追查到我在上班时间摸鱼……,
D03Open.Monologue.12,我有一个朋友……,
D03Open.Monologue.13,我妹妹……,
D03Open.Monologue.14,该怎么说才好呢……,
