"location","source","target"
"﻿D03Out.Monologue.1","结束结束。","结束结束。"
"D03Out.Monologue.100","对了，
<color=#DB7F20>Daisy</color> 好像还有什么事没说完。","对了，
<color=#DB7F20>Daisy</color> 好像还有什么事没说完。"
"D03Out.Monologue.101","依我对她的了解，肯定不是什么好事。","依我对她的了解，肯定不是什么好事。"
"D03Out.Monologue.102","最近也认识了一些新朋友。","最近也认识了一些新朋友。"
"D03Out.Monologue.103","前天过来道谢的 <color=#DB7F20>Holly</color>，
希望她最近还好。","前天过来道谢的 <color=#DB7F20>Holly</color>，
希望她最近还好。"
"D03Out.Monologue.104","楼下的赛博生命 <color=#DB7F20>Levi</color>，
算是一个比较有意思的家伙吧。","楼下的赛博生命 <color=#DB7F20>Levi</color>，
算是一个比较有意思的家伙吧。"
"D03Out.Monologue.105","感兴趣的话就在下楼之前继续聊吧。","感兴趣的话就在下楼之前继续聊吧。"
"D03Out.Monologue.2","钥匙、手机、烟……","钥匙、手机、烟……"
"D03Out.Monologue.3","总觉得是不是忘了什么事情。","总觉得是不是忘了什么事情。"
"D03Out.Monologue.4","是什么事情呢……","是什么事情呢……"
"D03Out.Monologue.5","想不起来了。","想不起来了。"
"D03Out.Monologue.6","关电脑下楼。","关电脑下楼。"
