location,source,target
D05FailEnding.Monologue.1,好吧，看来就这样了。,
D05FailEnding.Monologue.2,谁看得过来那么多聊天记录啊。,
D05FailEnding.Monologue.4,虽然不知道这个 Will 在哪，也不知道剧本什么情况。,
D05FailEnding.Monologue.5,但也算是吃了这个公司的一个大瓜……,
D05FailEnding.Monologue.6,复杂的人际关系……,
D05FailEnding.Monologue.7,不过忙活半天，什么都没赚到……,
D05FailEnding.Monologue.8,"算了，
检查一下还有没有没处理完的事情，准备下楼透透气吧。",
D05FailEnding.Monologue.9,上周和 Sella 聊过天之后她就没怎么上网。,
D05FailEnding.Monologue.10,今天她好像刚好在线。,
D05FailEnding.Monologue.11,前天和 Holly 聊到一半她就没有回复了。,
D05FailEnding.Monologue.12,不知道她最近在做什么打算，今天好像不在线？,
D05FailEnding.Monologue.13,说起来烟花节还有不到一周的时间。,
D05FailEnding.Monologue.14,要和谁一起去看烟花吗……,
