"location","source","target"
"﻿D9E2Lith.Lith.1","终于找到了，你好，我有急事想要请你帮忙","终于找到了，你好，我有急事想要请你帮忙"
"D9E2Lith.Lith.2","不过在这之前我有件事情必须要和你确认","不过在这之前我有件事情必须要和你确认"
"D9E2Lith.Lith.3","我需要确定这个账号是真人在运营","我需要确定这个账号是真人在运营"
"D9E2Lith.Typing.4","为什么要确定？","为什么要确定？"
"D9E2Lith.Lith.5","限制法案闹得这么凶","限制法案闹得这么凶"
"D9E2Lith.Lith.6","我不敢把账号交给赛博生命代理","我不敢把账号交给赛博生命代理"
"D9E2Lith.Lith.7","它们太吓人了，我必须要确认","它们太吓人了，我必须要确认"
"D9E2Lith.Typing.8","怎么确定？","怎么确定？"
"D9E2Lith.Lith.9","你只要回答我一个简单的问题就好","你只要回答我一个简单的问题就好"
"D9E2Lith.Lith.10","你的职业是什么？","你的职业是什么？"
"D9E2Lith.Typing.11","建筑师","建筑师"
"D9E2Lith.Typing.12","替身使者","替身使者"
"D9E2Lith.Typing.13","电工","电工"
"D9E2Lith.Typing.14","无业游民","无业游民"
"D9E2Lith.Lith.15","好吧 看来没什么问题","好吧 看来没什么问题"
"D9E2Lith.Typing.16","没问题就行，谈事吧","没问题就行，谈事吧"
"D9E2Lith.Typing.17","我不理解","我不理解"
"D9E2Lith.Lith.18","因为赛博生命回答最多的职业是","因为赛博生命回答最多的职业是"
"D9E2Lith.Lith.19","程序员和作家","程序员和作家"
"D9E2Lith.Typing.20","有什么依据吗","有什么依据吗"
"D9E2Lith.Lith.21","依据是 Regu 酱的麻园网络不可思议系列","依据是 Regu 酱的麻园网络不可思议系列"
"D9E2Lith.Typing.22","这个 Regu 酱还挺荒诞的","这个 Regu 酱还挺荒诞的"
"D9E2Lith.Typing.23","这个 Regu 酱还挺厉害的","这个 Regu 酱还挺厉害的"
"D9E2Lith.Typing.24","等于 42","等于 42"
"D9E2Lith.Lith.25","没想到你是 Regu 酱的粉丝","没想到你是 Regu 酱的粉丝"
"D9E2Lith.Lith.26","那么就没问题了","那么就没问题了"
"D9E2Lith.Lith.27","我家里面出了很重要的急事","我家里面出了很重要的急事"
"D9E2Lith.Lith.28","急需要用钱","急需要用钱"
"D9E2Lith.Typing.29","你是想要借钱吗？","你是想要借钱吗？"
"D9E2Lith.Lith.30","那倒不是","那倒不是"
"D9E2Lith.Lith.31","借了的话","借了的话"
"D9E2Lith.Lith.32","好像就会走上一条无法回头的路","好像就会走上一条无法回头的路"
"D9E2Lith.Lith.33","我觉得现在还是不要像那样做比较好","我觉得现在还是不要像那样做比较好"
"D9E2Lith.Typing.34","说说急事","说说急事"
"D9E2Lith.Lith.35","我家里人半年前生了场大病","我家里人半年前生了场大病"
"D9E2Lith.Lith.36","病情越来越严重","病情越来越严重"
"D9E2Lith.Lith.37","现在要转院到麻园去做手术","现在要转院到麻园去做手术"
"D9E2Lith.Lith.38","需要花一大笔手术费","需要花一大笔手术费"
"D9E2Lith.Lith.39","我要在今天晚上十二点之前凑够这笔钱","我要在今天晚上十二点之前凑够这笔钱"
"D9E2Lith.Typing.40","如果凑不够呢？","如果凑不够呢？"
"D9E2Lith.Lith.41","如果凑不够也没办法了","如果凑不够也没办法了"
"D9E2Lith.Lith.42","我得活下去","我得活下去"
"D9E2Lith.Lith.43","我会做完我能做的事情","我会做完我能做的事情"
"D9E2Lith.Typing.44","/表情：泪目","/表情：泪目"
"D9E2Lith.Typing.45","所以我们应该做什么？","所以我们应该做什么？"
"D9E2Lith.Typing.46","所以你想要我做什么？","所以你想要我做什么？"
