location,source,target
D9E3Meeka.Typing.300,那个,
D9E3Meeka.Meeka.301,难得 Lili 酱会来主动找我~,
D9E3Meeka.Meeka.302,今天会有突击直播嘛~,
D9E3Meeka.Meeka.1,Lili 酱，晚上好~,
D9E3Meeka.Meeka.2,又来打扰了哦，今天会有突击直播嘛~,
D9E3Meeka.Typing.3,没有哦,
D9E3Meeka.Meeka.4,啊，是这样啊,
D9E3Meeka.Meeka.5,Lili 酱一定要注意身体才行啊,
D9E3Meeka.Meeka.6,阿姨我呢，最近真是压力非常大,
D9E3Meeka.Meeka.101,忙的焦头烂额,
D9E3Meeka.Meeka.102,太焦虑太内耗了，什么时候才能熬到退休出去玩啊,
D9E3Meeka.Meeka.7,老公完全不管儿子和家务事,
D9E3Meeka.Meeka.8,每天都跑到外面喝酒，喝酒半夜才回来,
D9E3Meeka.Meeka.9,干了快半辈子还是个普通文员,
D9E3Meeka.Meeka.10,真的是烦的不得了,
D9E3Meeka.Typing.11,怎么会这样，好过分,
D9E3Meeka.Typing.12,工作不顺利吗？,
D9E3Meeka.Typing.13,/表情：难受,
D9E3Meeka.Meeka.14,唉，一直以来都是这个死样子,
D9E3Meeka.Meeka.15,根本没有任何办法,
D9E3Meeka.Meeka.16,工作我真的一个字都不想提,
D9E3Meeka.Meeka.17,天天被上级吊，要疯了,
D9E3Meeka.Meeka.18,家里面没有一个人让我省心的,
D9E3Meeka.Typing.19,要不然就离婚？,
D9E3Meeka.Typing.103,/表情：不,
D9E3Meeka.Meeka.20,Lili 酱，这个玩笑一点都不好笑哦,
D9E3Meeka.Meeka.21,我这个年纪怎么可能离婚,
D9E3Meeka.Meeka.22,那个老废物离开了我肯定活不下去,
D9E3Meeka.Meeka.23,就算不考虑他,
D9E3Meeka.Meeka.24,我也要考虑我儿子,
D9E3Meeka.Meeka.25,儿子在上初中,
D9E3Meeka.Meeka.26,书是一点念不进去，我都快愁死了,
D9E3Meeka.Typing.27,那个我有点事情想和,
D9E3Meeka.Typing.28,阿姨说,
D9E3Meeka.Meeka.29,嗯？是什么事情？,
D9E3Meeka.Typing.30,麻生苇竹小姐说,
D9E3Meeka.Meeka.31,嗯？为什么突然叫我这个名字,
D9E3Meeka.Meeka.32,好陌生,
D9E3Meeka.Typing.33,就是我妹妹,
D9E3Meeka.Typing.34,生病住院了,
D9E3Meeka.Think.200,直接告诉 Meeka,
D9E3Meeka.Monologue.35,……,
D9E3Meeka.Monologue.36,这是什么情况。,
