"location","source","target"
"﻿D9E3MeekaTrashTime.Meeka.1","好吧好吧","好吧好吧"
"D9E3MeekaTrashTime.Meeka.2","跟你说过很多次了吧，睡前不要玩手机","跟你说过很多次了吧，睡前不要玩手机"
"D9E3MeekaTrashTime.Meeka.3","睡前玩手机你怎么睡得着呢","睡前玩手机你怎么睡得着呢"
"D9E3MeekaTrashTime.Meeka.4","我同事的女儿","我同事的女儿"
"D9E3MeekaTrashTime.Typing.5","那个我是想和你","那个我是想和你"
"D9E3MeekaTrashTime.Meeka.6","就是每天睡前都要玩手机，跟上瘾一样","就是每天睡前都要玩手机，跟上瘾一样"
"D9E3MeekaTrashTime.Typing.7","续费的事情还","续费的事情还"
"D9E3MeekaTrashTime.Meeka.8","去麻医大附院都没看好","去麻医大附院都没看好"
"D9E3MeekaTrashTime.Meeka.9","最后还是吃胶囊草药治好的","最后还是吃胶囊草药治好的"
"D9E3MeekaTrashTime.Typing.10","刷礼物","刷礼物"
"D9E3MeekaTrashTime.Meeka.11","我觉得你也吃点吧","我觉得你也吃点吧"
"D9E3MeekaTrashTime.Meeka.12","都是纯天然的对身体很好","都是纯天然的对身体很好"
"D9E3MeekaTrashTime.Typing.13","好，我会吃的","好，我会吃的"
"D9E3MeekaTrashTime.Meeka.14","别只嘴上答应啊","别只嘴上答应啊"
"D9E3MeekaTrashTime.Meeka.15","真的要去买的","真的要去买的"
"D9E3MeekaTrashTime.Typing.16","谢谢，不用了","谢谢，不用了"
"D9E3MeekaTrashTime.Meeka.17","什么不用","什么不用"
"D9E3MeekaTrashTime.Meeka.18","都不用了","都不用了"
"D9E3MeekaTrashTime.Monologue.19","不行……这个人话实在太多了。","不行……这个人话实在太多了。"
"D9E3MeekaTrashTime.Monologue.20","要不还是找其他人吧。","要不还是找其他人吧。"
