"location","source","target"
"﻿D9E3MeekaVideo..1","[来电]","[来电]"
"D9E3MeekaVideo.Monologue.2","完了。","完了。"
"D9E3MeekaVideo.Monologue.3","完了、完了、完了。","完了、完了、完了。"
"D9E3MeekaVideo.Monologue.4","我不知道她有没有听过Lith的声音……","我不知道她有没有听过Lith的声音……"
"D9E3MeekaVideo.Monologue.5","冷静下来。","冷静下来。"
"D9E3MeekaVideo.Monologue.6","我的电脑没有接麦克风和手机。","我的电脑没有接麦克风和手机。"
"D9E3MeekaVideo.Monologue.7","接通的话应该是黑屏。","接通的话应该是黑屏。"
"D9E3MeekaVideo.Monologue.8","不会有暴露的风险。","不会有暴露的风险。"
"D9E3MeekaVideo.Monologue.9","和以前一样打字就好。","和以前一样打字就好。"
"D9E3MeekaVideo.Meeka.10","晚上好晚上好。","晚上好晚上好。"
"D9E3MeekaVideo.Meeka.11","好久不见了呢真是。","好久不见了呢真是。"
"D9E3MeekaVideo.Meeka.12","有多久没有见了呢？","有多久没有见了呢？"
"D9E3MeekaVideo.Meeka.13","感觉都已经过去很久啦。","感觉都已经过去很久啦。"
"D9E3MeekaVideo.Meeka.14","每次Lili 酱的黑屏显示出来我都觉得特别安心。","每次Lili 酱的黑屏显示出来我都觉得特别安心。"
"D9E3MeekaVideo.Miki.15","（看来他们以前也是这样……应该不会暴露。）","（看来他们以前也是这样……应该不会暴露。）"
"D9E3MeekaVideo.Meeka.16","那今天要聊点什么好呢？","那今天要聊点什么好呢？"
"D9E3MeekaVideo.Meeka.17","Lili 酱有什么想聊的吗？","Lili 酱有什么想聊的吗？"
"D9E3MeekaVideo.Miki.18","我都行。","我都行。"
"D9E3MeekaVideo.Miki.19","我没有特别想聊的。","我没有特别想聊的。"
"D9E3MeekaVideo.Meeka.20","那我们还是聊聊我同事的事情吧。","那我们还是聊聊我同事的事情吧。"
"D9E3MeekaVideo.Meeka.21","就是我之前和你提过的那个 Jan。","就是我之前和你提过的那个 Jan。"
"D9E3MeekaVideo.Meeka.22","纯纯的烂婊子。","纯纯的烂婊子。"
"D9E3MeekaVideo.Meeka.23","每天来上班都穿得跟个妓女一样。","每天来上班都穿得跟个妓女一样。"
"D9E3MeekaVideo.Meeka.24","拜托，我们是社区单位诶。","拜托，我们是社区单位诶。"
"D9E3MeekaVideo.Meeka.25","她穿个短裙来上班真的不合适吧？","她穿个短裙来上班真的不合适吧？"
"D9E3MeekaVideo.Meeka.26","你觉得呢？","你觉得呢？"
"D9E3MeekaVideo.Miki.27","我觉得还行。","我觉得还行。"
"D9E3MeekaVideo.Meeka.28","不对，你说的不对。","不对，你说的不对。"
"D9E3MeekaVideo.Meeka.29","这里是体制内。","这里是体制内。"
"D9E3MeekaVideo.Miki.30","我觉得不好。","我觉得不好。"
"D9E3MeekaVideo.Meeka.31","对吧？","对吧？"
"D9E3MeekaVideo.Meeka.32","是在勾引谁也不知道。","是在勾引谁也不知道。"
"D9E3MeekaVideo.Meeka.33","我早就听说过她的那些传闻。","我早就听说过她的那些传闻。"
"D9E3MeekaVideo.Meeka.34","她就是和隔壁那个科长上床，才从大川调来麻园的。","她就是和隔壁那个科长上床，才从大川调来麻园的。"
"D9E3MeekaVideo.Miki.35","原来是这样。","原来是这样。"
