location,source,target
D9E5Aspen.Todo.100,Aspen 有事需要帮忙,
D9E5Aspen.Aspen.1,老师！我终于搞定来！,
D9E5Aspen.Aspen.2,这次终于可以加倍奉还,
D9E5Aspen.Aspen.3,啊不,
D9E5Aspen.Aspen.4,是十倍奉还,
D9E5Aspen.Typing.5,发生什么了,
D9E5Aspen.Typing.6,我有事情和你说,
D9E5Aspen.Aspen.7,嗯，什么？,
D9E5Aspen.Aspen.8,老师不会后悔了吧？,
D9E5Aspen.Aspen.9,那种事情——,
D9E5Aspen.Aspen.10,不要啊！！,
D9E5Aspen.Typing.11,倒也没有后悔,
D9E5Aspen.Aspen.12,我终于等到这一天了,
D9E5Aspen.Aspen.16,终于，从一个骑士的手里搞到了这个极品号,
D9E5Aspen.Aspen.17,纯度极高，游戏区三大头部赛博生命虚拟主播，他都加了骑士群,
D9E5Aspen.Aspen.201,没有代理，没有附加条件,
D9E5Aspen.Aspen.202,直接把号密给了我,
D9E5Aspen.Aspen.203,只要有了这个号,
D9E5Aspen.Aspen.18,青蒜时刻，即将来临,
D9E5Aspen.Typing.19,什么赛博生命？,
D9E5Aspen.Aspen.20,老师,
D9E5Aspen.Aspen.204,失忆了吗？,
D9E5Aspen.Aspen.21,我们不是说过要打倒 TT 吗,
D9E5Aspen.Typing.22,/表情：不错,
D9E5Aspen.Aspen.23,这些人要是没 TT 喂流量的话，真金白银怎么可能上到热度榜前十,
D9E5Aspen.Typing.205,我们要干什么？,
D9E5Aspen.Aspen.206,现在要做的事情只有那一件了吧？,
D9E5Aspen.Aspen.207,这些依附于 TT 的虫豸,
D9E5Aspen.Typing.208,你是从哪学到的这个词,
D9E5Aspen.Typing.209,要不然你还是展开说说,
D9E5Aspen.Aspen.24,要操作没操作，要效果没效果,
D9E5Aspen.Aspen.25,好家伙，他们的好日子终于到头来,
D9E5Aspen.Aspen.26,扬名立万，就在今日,
D9E5Aspen.Aspen.27,请动手吧，老师！,
D9E5Aspen.Monologue.28,……,
D9E5Aspen.Monologue.29,就算说要动手……,
D9E5Aspen.Typing.30,没问题，我会动手的,
D9E5Aspen.Aspen.31,OK，现在就用斗争把他们扫个干净,
D9E5Aspen.Typing.32,我还有事情和你,
D9E5Aspen.Aspen.33,我先下来,
D9E5Aspen.Aspen.34,账号 wugeshu34211,
D9E5Aspen.Aspen.35,密码 @Woshiwugeshu,
D9E5Aspen.tips.1001,识别到可能的登陆信息，自动部署成功,
D9E5Aspen.Aspen.36,润来,
D9E5Aspen.Monologue.37,这下……,
D9E5Aspen.Monologue.38,这下好像有点完蛋了……,
D9E5Aspen.Monologue.39,没问清楚事情就让他跑了……,
D9E5Aspen.Monologue.40,推理一下的话……,
D9E5Aspen.Monologue.41,潜入粉丝群要做的事情只有一件吧。,
D9E5Aspen.Monologue.42,那就是——,
D9E5Aspen.Monologue.43,让群主女装。,
D9E5Aspen.Monologue.44,折磨群友。,
D9E5Aspen.Monologue.45,是啊！原来是这样。,
D9E5Aspen.Monologue.46,……,
D9E5Aspen.Monologue.47,不对……,
D9E5Aspen.Monologue.48,这有点过于荒唐了。,
D9E5Aspen.Monologue.49,不该轻易许下难以兑现的承诺。,
D9E5Aspen.Monologue.50,我的时间不多了。,
D9E5Aspen.Monologue.51,想来这个 Aspen 和同行的虚拟主播有什么过节。,
D9E5Aspen.Monologue.52,先帮他炸掉这几个群。,
D9E5Aspen.Monologue.53,再找他要炸群费。,
D9E5Aspen.Monologue.54,要是能有什么证据确凿的谣言就好了……,
D9E5Aspen.Monologue.55,看起来还是只能硬炸。,
D9E5Aspen.Monologue.56,用赛博生命敏感词或者色图。,
D9E5Aspen.Monologue.57,嗯，就这么做，见机行事吧。,
D9E5Aspen.Aspen.58,对了——！,
D9E5Aspen.Typing.59,我有点忘了是怎么回事,
D9E5Aspen.Aspen.60,Li老师，在这种关键时刻,
D9E5Aspen.Aspen.61,您可不能掉链子啊,
D9E5Aspen.Monologue.62,掉链子……这人是六天马人吗……,
D9E5Aspen.Aspen.63,这个粉丝群爆破计划不是你提出来的吗？,
D9E5Aspen.Aspen.64,捏造一点谣言,
D9E5Aspen.Aspen.65,或者直接用独轮车和色图炸群,
D9E5Aspen.Typing.66,什么谣言？,
D9E5Aspen.Aspen.67,啊？,
D9E5Aspen.Typing.68,啊？,
D9E5Aspen.Aspen.69,你问我啊？,
D9E5Aspen.Aspen.70,我不知道啊,
D9E5Aspen.Aspen.71,你当时是说好像要伪造一点聊天记录啥的,
D9E5Aspen.Aspen.72,就说番茄鸡在外面当鸭啥的,
D9E5Aspen.Aspen.73,别的人就没提了,
D9E5Aspen.Aspen.74,你说只要交给你就没问题,
D9E5Aspen.Typing.75,真的可以用性谣言攻击赛博生命吗？,
D9E5Aspen.Aspen.76,啊，出现了,
D9E5Aspen.Aspen.77,这个是叫回声是吧？,
D9E5Aspen.Aspen.78,不愧是老师啊,
D9E5Aspen.Typing.79,我不理解,
D9E5Aspen.Aspen.80,报告！老师教过我！,
D9E5Aspen.Aspen.81,重要的不是真相,
D9E5Aspen.Aspen.82,是攻击 desu，攻城为下，攻心为上 desu,
D9E5Aspen.Typing.83,真的可以用谣言炸群吗？,
D9E5Aspen.Aspen.84,搞点特别炸裂的谣言的话,
D9E5Aspen.Aspen.85,说不定就能让他们声败名裂？,
D9E5Aspen.Aspen.86,我是不太懂啦,
D9E5Aspen.Aspen.87,但老师这么做肯定有道理,
D9E5Aspen.Aspen.88,我只会看 OBGG 的数据啦,
D9E5Aspen.Aspen.89,看那些运营的专栏文章就觉得头疼,
D9E5Aspen.Aspen.90,人心啊，点烟.gif,
D9E5Aspen.Aspen.91,啊，我忘了老师不喜欢抽烟,
D9E5Aspen.Typing.92,没关系,
D9E5Aspen.Typing.93,/表情：泪目,
D9E5Aspen.Aspen.94,老师，在这之后呢,
D9E5Aspen.Aspen.95,我们是不是就可以开始,
D9E5Aspen.Aspen.96,全新的生活了呀~,
D9E5Aspen.Aspen.97,你看，如果这次干掉了头部主播,
D9E5Aspen.Aspen.98,取而代之,
D9E5Aspen.Aspen.99,那播不了多久我们就能存一大笔钱,
D9E5Aspen.Aspen.100,堂堂隐退！,
D9E5Aspen.Aspen.101,我打这个逼游戏真是打得够够的了,
D9E5Aspen.Aspen.102,我是想，等我这个直播合约一到期,
D9E5Aspen.Aspen.103,我们直接跑路！,
D9E5Aspen.Aspen.104,然后！,
D9E5Aspen.Typing.105,秽*转生,
D9E5Aspen.Aspen.106,啊，还要转生啊,
D9E5Aspen.Aspen.107,漂泊流浪的生活我也已经过够啦,
D9E5Aspen.Typing.108,开个花店,
D9E5Aspen.Aspen.109,花店啊,
D9E5Aspen.Aspen.110,感觉是有点孩子气,
D9E5Aspen.Aspen.111,而且经济不景气,
D9E5Aspen.Aspen.112,开花店很容易暴死啊,
D9E5Aspen.Typing.113,开个甜品店,
D9E5Aspen.Aspen.114,没错！就是这个！,
D9E5Aspen.Aspen.115,我已经在研究麻园甜品节的对手来,
D9E5Aspen.Aspen.116,嘿嘿,
D9E5Aspen.Aspen.117,其实没有啦,
D9E5Aspen.Aspen.118,我最近在看那种一体式烘焙站,
D9E5Aspen.Aspen.119,就是有炉子 带称 还能半自动和面的那种,
D9E5Aspen.Typing.120,自动的，那甜品的灵魂,
D9E5Aspen.Typing.121,不就没有了吗,
D9E5Aspen.Aspen.122,才不是！,
