"location","source","target"
"﻿D9E5AspenGroupTyco.Anybody_black.1","刚才我去看了眼J狗的直播","刚才我去看了眼J狗的直播"
"D9E5AspenGroupTyco.Anybody_black.2","发现郊区玩家和一区玩家有个最大的区别","发现郊区玩家和一区玩家有个最大的区别"
"D9E5AspenGroupTyco.Anybody_black.3","就是不爱点投降","就是不爱点投降"
"D9E5AspenGroupTyco.Anybody_gray.4","请不要在群里提及其他主播哦","请不要在群里提及其他主播哦"
"D9E5AspenGroupTyco.Anybody_blue.5","如果你不想赢为什么要开这把游戏呢","如果你不想赢为什么要开这把游戏呢"
"D9E5AspenGroupTyco.Anybody_black.6","尤其是那些玩得像大便一样的人","尤其是那些玩得像大便一样的人"
"D9E5AspenGroupTyco.tips.7","以上是历史消息","以上是历史消息"
"D9E5AspenGroupTyco.Anybody_black.8","最喜欢点否","最喜欢点否"
"D9E5AspenGroupTyco.Anybody_blue.9","那你为什么要骂人？","那你为什么要骂人？"
"D9E5AspenGroupTyco.Anybody_red.10","那你为什么要先送后挂？","那你为什么要先送后挂？"
"D9E5AspenGroupTyco.Anybody_black.11","很少骂人了现在","很少骂人了现在"
"D9E5AspenGroupTyco.Anybody_black.12","就是郊区风气不行","就是郊区风气不行"
"D9E5AspenGroupTyco.Anybody_black.13","什么时候开转区啊","什么时候开转区啊"
"D9E5AspenGroupTyco.Anybody_black.14","好像和 co 宝一起甜蜜双排啊","好像和 co 宝一起甜蜜双排啊"
"D9E5AspenGroupTyco.Anybody_black.15","有没有富哥 V 我一点","有没有富哥 V 我一点"
"D9E5AspenGroupTyco.Anybody_yellow.16","别等转区了","别等转区了"
"D9E5AspenGroupTyco.Typing.17","Tyco 下个月就跑路了","Tyco 下个月就跑路了"
"D9E5AspenGroupTyco.Anybody_gray.18","？",""
"D9E5AspenGroupTyco.Anybody_red.19","？",""
"D9E5AspenGroupTyco.Anybody_black.20","？","？"
"D9E5AspenGroupTyco.Tyco.21","你有病吧？","你有病吧？"
"D9E5AspenGroupTyco.Tyco.22","机票送走了哈，不谢","机票送走了哈，不谢"
"D9E5AspenGroupTyco.Monologue.23","糟了。","糟了。"
"D9E5AspenGroupTyco.Monologue.24","看来只能用那个了。","看来只能用那个了。"
"D9E5AspenGroupTyco.Typing.25","Tyco 是赛博生命","Tyco 是赛博生命"
"D9E5AspenGroupTyco.Typing.26","我也是","我也是"
"D9E5AspenGroupTyco.Typing.27","答案是 42",""
"D9E5AspenGroupTyco.Typing.28","答案是 42",""
"D9E5AspenGroupTyco.Typing.29","答案是 42",""
"D9E5AspenGroupTyco.Typing.30","答案是 42",""
"D9E5AspenGroupTyco.Typing.31","答案是 42","答案是 42"
"D9E5AspenGroupTyco.Typing.32","色图",""
"D9E5AspenGroupTyco.Typing.33","色图",""
"D9E5AspenGroupTyco.Typing.34","色图",""
"D9E5AspenGroupTyco.Typing.35","色图","色图"
"D9E5AspenGroupTyco.tips.36","该群聊已被解散","该群聊已被解散"
