"location","source","target"
"﻿D9E7Woods.Todo.1","尝试联系 Woods","尝试联系 Woods"
"D9E7Woods.Todo.2","没有从 Woods 那里筹到钱","没有从 Woods 那里筹到钱"
"D9E7Woods.Typing.1","在吗？求助","在吗？求助"
"D9E7Woods.Woods.2","我想死","我想死"
"D9E7Woods.Typing.3","啊？","啊？"
"D9E7Woods.Typing.4","我也是","我也是"
"D9E7Woods.Woods.5","我想死我想死我想死","我想死我想死我想死"
"D9E7Woods.Woods.6","活着真的一点意思都没有","活着真的一点意思都没有"
"D9E7Woods.Woods.7","你能体会吗，Lily","你能体会吗，Lily"
"D9E7Woods.Woods.8","那种巨大的悲伤","那种巨大的悲伤"
"D9E7Woods.Woods.9","我的双肩所背负的沉重的责任","我的双肩所背负的沉重的责任"
"D9E7Woods.Typing.10","我也想死","我也想死"
"D9E7Woods.Woods.11","太好了太好了太好了","太好了太好了太好了"
"D9E7Woods.Woods.12","我们果然是同类啊","我们果然是同类啊"
"D9E7Woods.Woods.13","Lily，我们是同类对不对","Lily，我们是同类对不对"
"D9E7Woods.Typing.14","你怎么了吗？","你怎么了吗？"
"D9E7Woods.Woods.15","我们一定会幸福的","我们一定会幸福的"
"D9E7Woods.Woods.16","只要坚定地走下去","只要坚定地走下去"
"D9E7Woods.Woods.17","但是我","但是我"
"D9E7Woods.Woods.18","我已经没有力气了","我已经没有力气了"
"D9E7Woods.Woods.19","我不知道我不知道","我不知道我不知道"
"D9E7Woods.Woods.20","真的会幸福吗？","真的会幸福吗？"
"D9E7Woods.Typing.21","会幸福的","会幸福的"
"D9E7Woods.Typing.22","加油","加油"
"D9E7Woods.Woods.23","你是什么人啊？","你是什么人啊？"
"D9E7Woods.Woods.24","你们这是什么东西","你们这是什么东西"
"D9E7Woods.Woods.25","你怎么会和我儿子聊这些的？","你怎么会和我儿子聊这些的？"
"D9E7Woods.Woods.26","我通知你，我不管你是什么人，你现在马上把我儿子刷给你的钱全部返还，否则报警","我通知你，我不管你是什么人，你现在马上把我儿子刷给你的钱全部返还，否则报警"
"D9E7Woods.Typing.27","你去办未成年退款吧","你去办未成年退款吧"
"D9E7Woods.Woods.28","你别跟我说这些","你别跟我说这些"
"D9E7Woods.Woods.29","我只要你把钱还回来，不然我让你播不下去","我只要你把钱还回来，不然我让你播不下去"
"D9E7Woods.Woods.30","你问你儿子怎么未成年退款","你问你儿子怎么未成年退款"
"D9E7Woods.Typing.31","急死了急死了","急死了急死了"
"D9E7Woods.Typing.32","/表情：不","/表情：不"
"D9E7Woods.Woods.33","我儿子学习成绩退步那么多","我儿子学习成绩退步那么多"
"D9E7Woods.Woods.34","每天就守在电脑面前","每天就守在电脑面前"
"D9E7Woods.Woods.35","你们这些主播付得了这个责吗？","你们这些主播付得了这个责吗？"
"D9E7Woods.Woods.36","我再次郑重地通知你，你的行为严重影响到了我家孩子的正常学习发展。限令你在明天之前把孩子打赏给你的所有钱款返回，否则会通过你的公司后台查到你一切信息，起诉你。","我再次郑重地通知你，你的行为严重影响到了我家孩子的正常学习发展。限令你在明天之前把孩子打赏给你的所有钱款返回，否则会通过你的公司后台查到你一切信息，起诉你。"
