location,source,target
DaisyCome.Daisy.1,嘿老哥,
DaisyCome.Monologue.2,我差点忘记了自己这个异父异母的妹妹。,
DaisyCome.Monologue.3,"倒不是说我们感情不好，
我们在大川一起生活了十年。",
DaisyCome.Monologue.4,但她现在是个没有手机的高中生——,
DaisyCome.Monologue.5,没办法常常联系远在麻园的我，仅此而已。,
DaisyCome.Monologue.6,这么一想不会是老妈让她来游说我的吧。,
DaisyCome.Monologue.7,还是由我先攻比较好。,
DaisyCome.Typing.8,不要叫我老哥,
DaisyCome.Typing.9,这个词已经被互联网玷污了,
DaisyCome.Daisy.10,额，好的,
DaisyCome.Daisy.1.2,嘿老姐,
DaisyCome.Monologue.12,我差点忘记了自己这个异父异母的妹妹。,
DaisyCome.Monologue.13,倒不是说我们感情不好，我们在大川一起生活了十年。,
DaisyCome.Monologue.14,但她现在是个没有手机的高中生——,
DaisyCome.Monologue.15,没办法常常联系远在麻园的我，仅此而已。,
DaisyCome.Monologue.16,这么一想不会是老妈让她来游说我的吧。,
DaisyCome.Monologue.17,还是由我先攻比较好。,
DaisyCome.Typing.18,你在用老妈的手机吗？,
DaisyCome.Daisy.19,没有~,
DaisyCome.Daisy.20,我在借用打工地方同事的手机,
DaisyCome.Typing.21.1,/表情：OK,
DaisyCome.Typing.21.2,大半夜的你打什么工？,
DaisyCome.Typing.23,你可不要做那些危险的事情,
DaisyCome.Daisy.24,安心啦，哥,
DaisyCome.Daisy.25,安心啦，姐,
DaisyCome.Daisy.26,是 Sai 他们家的餐厅,
DaisyCome.Monologue.27,"哦，
Sai 初中的时候好像到家里来玩过。",
DaisyCome.Monologue.28,没想到他们现在还混在一起。,
DaisyCome.Daisy.29,我们文学社的人轮流在这里打工补贴社里面的用度,
DaisyCome.Typing.30.1,听着还不错,
DaisyCome.Daisy.31,其实有点辛苦啦,
DaisyCome.Typing.32,不过你们一个高中生社团也花不了多少钱吧,
DaisyCome.Typing.30.2,你们几个高中生能花什么钱,
DaisyCome.Typing.34,等一下，我感觉好像要切入正题了,
DaisyCome.Daisy.35,哇，不愧是我的哥哥,
DaisyCome.Daisy.36,哇，不愧是我的姐姐,
DaisyCome.Daisy.37,好灵的鼻子,
DaisyCome.Daisy.38,但是！时机未到！,
DaisyCome.Daisy.39,哼哼，哥哥还是太小看我们了,
DaisyCome.Daisy.200,哼哼，姐姐还是太小看我们了,
DaisyCome.Daisy.40,女高中生可是连机兵都可以驾驶的,
DaisyCome.Typing.41,你从哪里知道这些个乱七八糟的,
DaisyCome.Daisy.42,就是之前你寄给我那个 DS3 上的游戏啊,
DaisyCome.Daisy.43,你自己不会没玩吧？,
DaisyCome.Monologue.44,……,
DaisyCome.Monologue.45,"因为设计院拖欠工资，
上个季度交房租的时候不得已把 DS3 出掉回血了。",
DaisyCome.Monologue.400,没想到还是在楼下买回来了。,
DaisyCome.Daisy.46,成年人的生活可真不容易啊,
DaisyCome.Monologue.47,不过就算没有出掉我多半也不会玩。,
DaisyCome.Monologue.48,我对电子游戏已经……,
DaisyCome.Monologue.49,不行了。,
DaisyCome.Typing.50.1,你也别小看了成年人！,
DaisyCome.Daisy.51,好的，哥哥,
DaisyCome.Daisy.52,好的，姐姐,
DaisyCome.Typing.50.2,/表情：生气,
DaisyCome.Typing.54,你快要升学考试了吧,
DaisyCome.Daisy.55,是明年的前天哦,
DaisyCome.Typing.56.1,所以还是多花点精力念念书？,
DaisyCome.Typing.56.2,所以还是多花点精力念念书,
DaisyCome.Daisy.58,尊师 Pheo 曾经说过,
DaisyCome.Daisy.59,考试和证照本身没有任何意义，无论小说家还是普通人都不应该太过沉溺于此,
DaisyCome.Typing.60.1,好的，小小说家,
DaisyCome.Daisy.61,不要用那么拗口的名称叫我啦,
DaisyCome.Typing.62,这个 Pheo 也是你们社团的人吗?,
DaisyCome.Daisy.63,如果是就好了,
DaisyCome.Typing.60.2,这个 Pheo 也是你们社团的人吗?,
DaisyCome.Daisy.65,如果是就好了,
DaisyCome.Typing.60.3,什么胡编乱造,
DaisyCome.Typing.67,不过你什么时候又和小说家黏糊上了,
DaisyCome.Daisy.68,什么叫黏糊？哥哥你总是喜欢用这些暧昧的动词,
DaisyCome.Daisy.69,什么叫黏糊？姐姐你总是喜欢用这些暧昧的动词,
DaisyCome.Daisy.70,这样才能讨女孩子喜欢是吗？,
DaisyCome.Daisy.71,这样才能讨男孩子喜欢是吗？,
DaisyCome.Typing.72,我又不是小说家，我随口说的,
DaisyCome.Typing.73,说起暧昧来，你们那个社团的名字品味也真的有够独特,
DaisyCome.Typing.74.1,我记得是叫夕阳红诗社，是吧？,
DaisyCome.Daisy.75,才不是啊！！,
DaisyCome.Typing.74.2,是叫什么名字来着,
DaisyCome.Daisy.77,是夕阳文学社,
DaisyCome.Daisy.78,名字来自 Burning-CA 的名篇《水仙》,
DaisyCome.Daisy.79,“我们在夕色中行进，,
DaisyCome.Daisy.80,橘色清冽的风轰得人耳朵发烫”,
DaisyCome.Typing.81,我好像闻到了社团恋爱八卦的味道,
DaisyCome.Daisy.82,社团只有工作，没有恋爱,
DaisyCome.Typing.83.1,可怜的狗,
DaisyCome.Typing.83.2,真好,
DaisyCome.Typing.85,照这样的话你们不是应该叫夕色文学社吗,
DaisyCome.Daisy.86,据大几届的学长说是学校社团不让用色字,
DaisyCome.Monologue.87,……,
DaisyCome.Typing.88,管社团的还是那个老太太吗？,
DaisyCome.Typing.89,叫什么来着……Tsune？,
DaisyCome.Daisy.90,对对，还是她,
DaisyCome.Daisy.91,对了，哥哥,
DaisyCome.Daisy.92,对了，姐姐,
DaisyCome.Daisy.93,你没有看过Pheo的书吗？,
DaisyCome.Typing.94.1,没有,
DaisyCome.Daisy.95,那可真是遗憾，等你回家的时候我可以借你几本,
DaisyCome.Typing.94.2,我不怎么看书,
DaisyCome.Daisy.97,好吧，太可惜了,
DaisyCome.Typing.94.3,看过一点,
DaisyCome.Monologue.99,其实没看过,
DaisyCome.Daisy.100,这几年你的品味有长进嘛,
DaisyCome.Daisy.101,总之他上个月来我们学校演讲，我就顺便邀请他去文学社谈了谈,
DaisyCome.Daisy.102,没想到他真的答应了,
DaisyCome.Daisy.103,本来看他在网上的发言,
DaisyCome.Daisy.104,还以为他是那种很刻薄高傲的人,
DaisyCome.Daisy.105,结果完全不一样啊，虽然他说话就是,
DaisyCome.Daisy.106,不如他行文那么流畅,
DaisyCome.Daisy.107,但是他真的，真的有一种很特别的气场,
DaisyCome.Daisy.300,就是,
DaisyCome.Monologue.108,怎么突然不说话了……,
DaisyCome.Monologue.109,这小鬼头……,
DaisyCome.Monologue.110,先去处理 Nami 订单的事情吧。,
DaisyCome.Monologue.111,Grave 也是，一直没有回复。,
