"location","source","target"
"﻿DreamDora.Dora.1","Dora 的深夜网络烤串店","Dora 的深夜网络烤串店"
"DreamDora.Dora.100","—— 烤面包一串5元","—— 烤面包一串5元"
"DreamDora.Dora.101","—— 烤泡芙一串10元","—— 烤泡芙一串10元"
"DreamDora.Dora.102","—— 巧克力烤肉一串20元","—— 巧克力烤肉一串20元"
"DreamDora.Dora.103","——烤牛排一串21元","——烤牛排一串21元"
"DreamDora.Dora.104","——烤大蒜一串3元","——烤大蒜一串3元"
"DreamDora.Dora.105","——烤土豆一串3元","——烤土豆一串3元"
"DreamDora.Dora.106","其他菜品，请私聊“菜单”获取。","其他菜品，请私聊“菜单”获取。"
"DreamDora.Miki.2","干啥呢你在","干啥呢你在"
"DreamDora.Dora.3","想你了","想你了"
"DreamDora.Miki.4","快住口吧","快住口吧"
"DreamDora.Dora.5","出来喝一杯？","出来喝一杯？"
"DreamDora.Miki.6","行啊","行啊"
"DreamDora.Miki.7","哪些人","哪些人"
"DreamDora.Dora.8","就我们俩","就我们俩"
"DreamDora.Miki.9","好","好"
"DreamDora.Monologue.10","这人是谁？是未来我会爱上的某个搞笑拉扯人吗？","这人是谁？是未来我会爱上的某个搞笑拉扯人吗？"
