"location","source","target"
"﻿DukeApolo.Todo.-0","痛骂了老板","痛骂了老板"
"DukeApolo.Duke.1","你怎么和领导说话的？","你怎么和领导说话的？"
"DukeApolo.Duke.2","你这样哪还有一点女孩子的样子","你这样哪还有一点女孩子的样子"
"DukeApolo.Nil.3","喂喂喂，老大","喂喂喂，老大"
"DukeApolo.Nil.4","你也太激进了一点","你也太激进了一点"
"DukeApolo.Nil.5","把握一下尺度","把握一下尺度"
"DukeApolo.Nil.6","要是害得这个客户被开除了，我们也没饭吃的","要是害得这个客户被开除了，我们也没饭吃的"
"DukeApolo.Typing.7","好吧，我会收敛一点","好吧，我会收敛一点"
"DukeApolo.Typing.8","你要让我对性骚扰坐视不管吗？","你要让我对性骚扰坐视不管吗？"
"DukeApolo.Nil.9","我不是说要你坐视不管","我不是说要你坐视不管"
"DukeApolo.Typing.10","他妈的，我的暴脾气压不住了","他妈的，我的暴脾气压不住了"
"DukeApolo.Typing.11","我要报警","我要报警"
"DukeApolo.Typing.12","让他死，我要他马上死","让他死，我要他马上死"
"DukeApolo.Nil.13","你给我冷静一点！","你给我冷静一点！"
"DukeApolo.Nil.14","没有证据怎么报警？","没有证据怎么报警？"
"DukeApolo.Nil.15","而且我们这行多少也沾点侵犯公共信息安全","而且我们这行多少也沾点侵犯公共信息安全"
"DukeApolo.Nil.16","我可不想进去踩缝纫机","我可不想进去踩缝纫机"
"DukeApolo.Nil.17","总之你先冷静一点，别害客户丢了工作","总之你先冷静一点，别害客户丢了工作"
"DukeApolo.Typing.18","我知道了","我知道了"
"DukeApolo.Typing.19","我知道了。","我知道了。"
"DukeApolo.Duke.20","人呢","人呢"
"DukeApolo.Typing.21","你这家伙已经不是人了吧？","你这家伙已经不是人了吧？"
"DukeApolo.Typing.22","但凡是个人都说不出这么恶心的话","但凡是个人都说不出这么恶心的话"
"DukeApolo.Typing.23","我忍你很久了，别一天到晚顶着你那张肥秃的油脸在我面前晃","我忍你很久了，别一天到晚顶着你那张肥秃的油脸在我面前晃"
"DukeApolo.Typing.24","我给你一拳都脏了我的手","我给你一拳都脏了我的手"
"DukeApolo.Duke.25","你！你就不怕我开除你？","你！你就不怕我开除你？"
"DukeApolo.Typing.26","随便你","随便你"
"DukeApolo.Typing.27","我会在一个星期之内找到一份比这更好的工作","我会在一个星期之内找到一份比这更好的工作"
"DukeApolo.Duke.28","Holly……你看，大家都是一家人","Holly……你看，大家都是一家人"
"DukeApolo.Typing.29","谁和你是一家人","谁和你是一家人"
"DukeApolo.Typing.30","我家没有你这种猥琐恶心的骚扰犯","我家没有你这种猥琐恶心的骚扰犯"
"DukeApolo.Duke.31","我看这件事情要不就这么算了吧","我看这件事情要不就这么算了吧"
"DukeApolo.Duke.32","你以后还是好好工作","你以后还是好好工作"
"DukeApolo.Typing.33","道歉","道歉"
"DukeApolo.Duke.34","什么？","什么？"
"DukeApolo.Typing.35","我要你给我道歉","我要你给我道歉"
"DukeApolo.Duke.36","你不要得寸进尺！","你不要得寸进尺！"
"DukeApolo.Typing.37","你也不想我把你说的那些话发到部门群里吧？","你也不想我把你说的那些话发到部门群里吧？"
"DukeApolo.Duke.38","对不起，Holly，我以后不会再这样了","对不起，Holly，我以后不会再这样了"
"DukeApolo.Nil.39","哦，客户那边把钱转过来了。","哦，客户那边把钱转过来了。"
"DukeApolo.Nil.40","干得还不错嘛，搭档！","干得还不错嘛，搭档！"
"DukeApolo.Todo.-1","Holly 应该没有丢掉工作吧","Holly 应该没有丢掉工作吧"
