location,source,target
DukeDie.Todo.-0,给所有人发送了 Duke 的聊天记录,
DukeDie.Nil.1,怎么样啊,
DukeDie.Nil.2,骂得痛快吗？,
DukeDie.Typing.3,这人性骚扰，我已经替 Holly，正义执行了,
DukeDie.Nil.4,哈？,
DukeDie.Typing.5,我把他骚扰 Holly 的截图发到了公司群里,
DukeDie.Duke.6,小*子，你真敢发？！,
DukeDie.Nil.7,……,
DukeDie.Nil.8,还真有你的,
DukeDie.Typing.9,但是我有点害怕,
DukeDie.Nil.10,怕啥？,
DukeDie.Typing.11,万一让顾客丢了工作,
DukeDie.Duke.12,你快点撤回！,
DukeDie.Nil.13,工作啊……,
DukeDie.Nil.14,其实我有时候也在想,
DukeDie.Nil.15,这份工作对我来说的意义,
DukeDie.Typing.16,去码头整点薯条？,
DukeDie.Nil.17,是啊，去码头整点薯条,
DukeDie.Nil.18,如果真的能帮助别人迈出那一步的话,
DukeDie.Nil.19,说不定我们也是做了好事吧？,
DukeDie.Duke.20,Holly！!,
DukeDie.Duke.21,我再给你最后一次机会！快点撤回！！,
DukeDie.Nil.22,算是好事吗？,
DukeDie.Typing.23,算是吧,
DukeDie.Typing.24,我也不知道,
DukeDie.Nil.25,总之，我觉得你干得挺漂亮的,
DukeDie.Nil.26,等你去和客人滑跪道歉的时候,
DukeDie.Nil.27,如果你开不了口，我可以当一次你的替身,
DukeDie.Typing.28,Nil，我好感动,
DukeDie.Nil.29,干嘛啦，这么肉麻兮兮的,
DukeDie.Typing.30,谢啦，不会要收钱吧？,
DukeDie.Nil.31,当然不收了,
DukeDie.Duke.32,我错了，Holly，我真的错了,
DukeDie.Duke.33,你可怜可怜我吧，我还有房贷和老婆,
DukeDie.Duke.34,求求你了,
DukeDie.Nil.35,哦！客人那边把订单结了,
DukeDie.Typing.36,黄了吗？,
DukeDie.Nil.37,没有啊,
DukeDie.Nil.38,给你结算的是非常满意，还附带了一笔小费,
DukeDie.Typing.39,成了吗？,
DukeDie.Nil.40,是呢，还是给你结的非常满意，附带了一笔小费,
DukeDie.Nil.41,有两下子嘛，不愧是我的搭档,
DukeDie.Todo.-1,Holly 应该没有丢掉工作吧,
