location,source,target
DukeHarassHolly.Todo.0,痛骂老板 ,
DukeHarassHolly.Todo.1,不要让 Holly 丢掉工作,
DukeHarassHolly.Tips.1,2011年5月30日 17:57,
DukeHarassHolly.Duke.2,来一下我办公室,
DukeHarassHolly.Holly.3,收到,
DukeHarassHolly.Tips.4,2011年5月30日 21:27,
DukeHarassHolly.Duke.5,在吗？,
DukeHarassHolly.Duke.6,我下午说的话你考虑的怎么样了,
DukeHarassHolly.Tips.7,2011年6月11日 18:02,
DukeHarassHolly.Duke.8,Holly，你最近状态很差啊，过来一下,
DukeHarassHolly.Holly.9,好,
DukeHarassHolly.Tips.10,2011年6月11日 18:42,
DukeHarassHolly.Duke.11,哎呀，你就听哥哥我的啦，我大川的那个别墅很大的,
DukeHarassHolly.Duke.12,我多给你批几天年假，一起调整一下,
DukeHarassHolly.Tips.13,以下是新消息,
DukeHarassHolly.Duke.14,小 Hol，我看你新发的朋友圈了,
DukeHarassHolly.Duke.15,"穿裙子真漂亮啊，有没有机会让我欣赏一下？<sprite name=""HEARTEYE"">",
DukeHarassHolly.Duke.16,小 Hol 在吗，怎么不回我的消息,
DukeHarassHolly.Typing.17,老板，你别这样,
DukeHarassHolly.Duke.18,哎呀，别叫我老板，叫我 Du 哥就行,
DukeHarassHolly.Duke.19,公司就是一个大家庭，我们都是一家人呀,
DukeHarassHolly.Duke.20,你有没有想哥哥？,
DukeHarassHolly.Typing.21,我*，你**是不是有病啊？,
DukeHarassHolly.Typing.22,你不是我哥哥，有什么工作上的事情吗？,
DukeHarassHolly.Duke.23,工作上的事情当然有啊,
DukeHarassHolly.Duke.24,你现在和我去开房，我们好好谈谈工作吧,
DukeHarassHolly.Duke.25,你看，你这么年轻，还有机会可以上进,
DukeHarassHolly.Duke.26,比你大两岁那个 Moli 啊，就是不肯从我,
DukeHarassHolly.Duke.27,来公司三年，都还是个设计师助理,
DukeHarassHolly.Typing.28,上你*的*，我是你妈，我把你爸*了,
DukeHarassHolly.Typing.29,你想干什么？,
DukeHarassHolly.Duke.30,就是那些事情咯,
DukeHarassHolly.Duke.31,你懂的，男人和女人之间的事情,
DukeHarassHolly.Duke.32,让你在上面好不好啊？,
DukeHarassHolly.Typing.33,我把你说的话截图存下来，群发给公司的所有人了,
DukeHarassHolly.Duke.34,等一下！Holly！别！,
DukeHarassHolly.Typing.36,不好意思，刚刚在忙,
DukeHarassHolly.Duke.37,哎哟，小 Hol，还在忙呢，害羞啦？,
DukeHarassHolly.Duke.38,是不是在忙着摆弄那些小玩具啊？,
DukeHarassHolly.Duke.39,越是漂亮的女人，欲望就越是强,
DukeHarassHolly.Duke.40,哈哈,
DukeHarassHolly.Typing.41,我*，你**是不是有病啊？,
DukeHarassHolly.Typing.42,你有什么工作上的事情吗？,
