"location","source","target"
"﻿Farewell.Monologue.1","经历了很多事情。","经历了很多事情。"
"Farewell.Monologue.2","各种各样的。","各种各样的。"
"Farewell.Monologue.3","最后的结果……","最后的结果……"
"Farewell.Monologue.4","还是没什么变化吗……","还是没什么变化吗……"
"Farewell.Monologue.5","没想到会以这种形式离开麻园。","没想到会以这种形式离开麻园。"
"Farewell.Monologue.6","除了遗憾和尚未解开的秘密。","除了遗憾和尚未解开的秘密。"
"Farewell.Monologue.7","什么都没能留下。","什么都没能留下。"
"Farewell.Monologue.8","麻园的雨……一下起来就不知道什么时候会停。","麻园的雨……一下起来就不知道什么时候会停。"
"Farewell.Monologue.9","不管结局怎么样，都该离开这里了。","不管结局怎么样，都该离开这里了。"
"Farewell.Monologue.101","关电脑下楼吧。","关电脑下楼吧。"
"Farewell.Monologue.10","什么啊。","什么啊。"
"Farewell.Monologue.11","搞得和热血动画片一样。","搞得和热血动画片一样。"
"Farewell.Monologue.12","关了电脑，下楼走走吧。","关了电脑，下楼走走吧。"
"Farewell.Monologue.13","明天就要退租回大川了。","明天就要退租回大川了。"
"Farewell.Monologue.14","哇哈哈，最后享受一次星水漫游吧。","哇哈哈，最后享受一次星水漫游吧。"
