location,source,target
FarewellAlan.Alan.1,只是没什么事情顺路过来一下而已。,
FarewellAlan.Alan.2,据你的天才同伴说这个送别派对之后有 Prime 研讨的余兴派对。,
FarewellAlan.Alan.3,我对这个稍微有点兴趣。,
FarewellAlan.Alan.4,刚转了一圈，在场的，似乎没有靠谱的工程师。,
FarewellAlan.Alan.5,我好像上当了。,
FarewellAlan.Miki.6,看起来是。,
FarewellAlan.Miki.7,他可能动画片看多了，还没醒。,
FarewellAlan.Alan.8,哦，是这样。,
FarewellAlan.Alan.9,不守时不太好。,
FarewellAlan.Alan.10,差不多我得走了，我们中年人——,
FarewellAlan.Alan.11,不太适合这种情意绵绵的场合。,
FarewellAlan.Miki.12,还没有从离婚的阴影中走出来吗？,
FarewellAlan.Alan.13,走不出来。,
FarewellAlan.Alan.14,要很长时间才能走出来。,
FarewellAlan.Alan.15,希望你不要明白。,
FarewellAlan.Miki.16,之后打算做什么？,
FarewellAlan.Alan.17,我想发起一些线上的合作项目。,
FarewellAlan.Alan.18,正在务色优秀的前端工程师。,
FarewellAlan.Alan.19,如果你那个同伙来了的话，帮我邀请他一下吧。,
FarewellAlan.Alan.20,TT 倒台以后有很多 AI 和赛博生命的事情又可以做了。,
FarewellAlan.Miki.21,不好意思害你失业了。,
FarewellAlan.Alan.22,那只是个混薪水的地方。,
FarewellAlan.Alan.23,总的来说，我是感谢你的，小替身。,
FarewellAlan.Alan.24,在 TT 的事情上和 Amanda 的事情上。,
FarewellAlan.Miki.25,为什么要总的来说？,
FarewellAlan.Alan.26,确实没必要这么说。,
FarewellAlan.Alan.27,我可能和你说话有点紧张。,
FarewellAlan.Alan.28,写代码很有意思。,
FarewellAlan.Alan.29,干你们这一行，促进一点社会变革。,
FarewellAlan.Alan.30,好像也很有意思。,
FarewellAlan.Alan.31,我说过我的生活要重新开始。,
FarewellAlan.Alan.32,是时候了，小替身。,
FarewellAlan.Alan.33,用你们的话说——,
FarewellAlan.Alan.34,无论走到哪里，网络都连接着我们。,
FarewellAlan.Alan.35,还有什么，更好的世界。,
FarewellAlan.Alan.36,什么友谊啊，羁绊。,
FarewellAlan.Alan.37,我之后想去了解一下这些东西。,
FarewellAlan.Alan.38,今天先这样，再见。,
FarewellAlan.Miki.39,再见。,
