location,source,target
FarewellNami.Nami08.1,啊啊，我以为能见到 Haruka 的。,
FarewellNami.Nami08.2,这次没能显灵啊，N 神。,
FarewellNami.Nami08.3,而且我的假期正在一天天……,
FarewellNami.Nami08.4,唉……哎呀——！,
FarewellNami.Miki.5,看起来没什么精神啊。,
FarewellNami.Nami08.6,N神没在高中坐过牢？,
FarewellNami.Miki.7,坐过。,
FarewellNami.Nami08.8,是吧，念书最难熬了。,
FarewellNami.Miki.9,不如放弃。,
FarewellNami.Nami08.10,每天都想至少有 20 次想要放弃。,
FarewellNami.Nami08.11,不过N神教会我男人的担当。,
FarewellNami.Miki.12.1,我没教过那种东西吧。,
FarewellNami.Miki.13,而且你是个女的啊。,
FarewellNami.Miki.14,而且我们都是女的啊。,
FarewellNami.Nami08.15,教过教过，哈哈哈。,
FarewellNami.Miki.12.2,快进到燃起来吧。,
FarewellNami.Nami08.17,太热了，都是汗，根本燃不起来。,
FarewellNami.Nami08.18,我扯过太多谎。,
FarewellNami.Nami08.19,有些时候是没有办法。,
FarewellNami.Nami08.20,有些时候只是不想去面对不好的自己。,
FarewellNami.Miki.21,……,
FarewellNami.Nami08.22,好！现在用这个拳头发誓！,
FarewellNami.Nami08.23,考上麻艺！成为麻园第一建筑师！,
FarewellNami.Nami08.24,洗干净脖子等着吧，N神。,
FarewellNami.Miki.25,这好像不是感谢的话。,
FarewellNami.Nami08.26,说再多的话感谢和告别都不如——,
FarewellNami.Nami08.27,登上麻园的顶点吧？,
FarewellNami.Miki.28.1,顶峰见。,
FarewellNami.Nami08.29,好——！！,
FarewellNami.Miki.28.2,年轻真好。,
FarewellNami.Nami08.31,禁止倚老卖老。,
FarewellNami.Nami08.32,下次见的时候用设计图一决胜负吧。,
FarewellNami.Miki.33,接受挑战。,
FarewellNami.Nami08.34,好，小生告退。,
FarewellNami.Miki.35,再见。,
