location,source,target
FarewellRegules.Regules08.1,没想到大名鼎鼎的 S 小姐居然是你……,
FarewellRegules.Miki.2.1,我倒是猜到 Regules 是你了。,
FarewellRegules.Miki.2.2,我更没想到 Regules 居然是你。,
FarewellRegules.Regules08.4,哈哈，现在已经不是 Regules 了。,
FarewellRegules.Miki.5,Regu 酱？,
FarewellRegules.Regules08.6,也不是 Regu 酱。,
FarewellRegules.Regules08.7,觉醒了魔眼思念之涌泉——,
FarewellRegules.Regules08.8,知晓了宇宙一半秘密的——,
FarewellRegules.Regules08.9,故事大王 Regules，堂堂登场！,
FarewellRegules.Miki.10,……,
FarewellRegules.Miki.11,懂了。,
FarewellRegules.Miki.12,二次元可能会结束。,
FarewellRegules.Miki.13,但中二病是每个人的归宿。,
FarewellRegules.Regules08.14,哈哈哈，没错，就是这样！,
FarewellRegules.Miki.15,其实今天也是怀着巨大的决心走出房间的。,
FarewellRegules.Regules08.16,这两天一直在研究——,
FarewellRegules.Regules08.17,你之前说的线下活动的事情。,
FarewellRegules.Miki.18,我只是说在线下活动活动，没那么正式——,
FarewellRegules.Regules08.19,线下活动和后续的账号运营。,
FarewellRegules.Regules08.20,现在看下来酒是——,
FarewellRegules.Miki.21,说话也能说错字。,
FarewellRegules.Regules08.22,哈哈，咳咳咳，嘴瓢了。,
FarewellRegules.Regules08.23,Regu 酱决定和赛博生命合作以虚拟形象运营账号。,
FarewellRegules.Miki.24.1,是要当主播吗？,
FarewellRegules.Regules08.25,不是的。,
FarewellRegules.Regules08.26,现在去当主播是自投罗网。,
FarewellRegules.Miki.27,这个词——,
FarewellRegules.Miki.24.2,是要真机出镜？,
FarewellRegules.Regules08.29,没错！,
FarewellRegules.Regules08.30,图文的时代已经过去了。,
FarewellRegules.Regules08.31,在视频里用上虚拟形象的话，点击和留存时长都比较好。,
FarewellRegules.Miki.32,反向成为人套皮了。,
FarewellRegules.Miki.33,是怎么突然想到的？,
FarewellRegules.Regules08.34,因为遇到了合适的人选。,
FarewellRegules.Miki.35.1,再轻易相信别人的话搞不好又会重蹈覆辙。,
FarewellRegules.Miki.35.2,你考虑清楚就行。,
FarewellRegules.Regules08.37,知道的。,
FarewellRegules.Regules08.38,但是谁也不相信、自己一个人……,
FarewellRegules.Regules08.39,又会变成……,
FarewellRegules.Regules08.40,不说这个了。,
FarewellRegules.Regules08.41,这次已经做好了被背叛的准备。,
FarewellRegules.Regules08.42,绝对，绝对，不会再哭了。,
FarewellRegules.Regules08.43,毕竟那时候也是因为相信了 S 小姐。,
FarewellRegules.Regules08.44,才会有今天的。,
FarewellRegules.Regules08.45,Regu 已经、哽、已经啊——,
FarewellRegules.Regules08.46,不再是孤身一人惹——！惹！,
FarewellRegules.Regules08.47,呜、呃、啊——了！咳、咳咳！,
FarewellRegules.Regules08.48,今后、呜——,
FarewellRegules.Regules08.49,嗯……呜、呜、呜啊——！,
FarewellRegules.Regules08.50,今后也请继续支持 Regu 酱的账号！！,
FarewellRegules.Miki.51,（说着说着话，人就哭着跑掉了。）,
FarewellRegules.Miki.52,再见。,
