"location","source","target"
"﻿FarewellTtrick.Nil.15","嘿！MiiiiiKI","嘿！MiiiiiKI"
"FarewellTtrick.Miki.16","我在","我在"
"FarewellTtrick.Nil.17","这趟旅程、这次演出","这趟旅程、这次演出"
"FarewellTtrick.Nil.18","还不错吧？","还不错吧？"
"FarewellTtrick.Miki.19","还算可以吧","还算可以吧"
"FarewellTtrick.Nil.20","真没想到我们能把你的真实身份瞒到最后啊","真没想到我们能把你的真实身份瞒到最后啊"
"FarewellTtrick.Miki.21","是啊，我也没想到","是啊，我也没想到"
"FarewellTtrick.Nil.22","哈哈哈哈哈哈！","哈哈哈哈哈哈！"
"FarewellTtrick.Nil.23","上当了吧！","上当了吧！"
"FarewellTtrick.Nil.24","是不是在屏幕那边吓了一跳！","是不是在屏幕那边吓了一跳！"
"FarewellTtrick.Nil.25","这就是我的诡计路线！！","这就是我的诡计路线！！"
"FarewellTtrick.Nil.26","好了好了，快点下楼来","好了好了，快点下楼来"
