location,source,target
FinalReviewKat.No.1,Kathy和Max在829僵持了很久。,
FinalReviewKat.No.2,眼神和心意都擦得着火。,
FinalReviewKat.No.3,却谁也没有鼓起勇气迈出那一步。,
FinalReviewKat.No.4,Kathy在毕业那天见了Max最后一面。,
FinalReviewKat.No.5,他们互相如往常一样对视、微笑。,
FinalReviewKat.No.6,一直拖到日落的时候，Kathy在桌上留下了一杯美式和一个发圈——,
FinalReviewKat.No.7,她没有留下联系方式，Max也没有拿着发圈追出去。,
FinalReviewKat.Yes.1,Kathy和Max不断分分合合，她努力对抗着却始终无法战胜心中的不安。,
FinalReviewKat.Yes.2,毕业后他们为了工作的问题大吵了一架——,
FinalReviewKat.Yes.3,Max有机会回老家栗岛当工程师，而Kathy打算留在麻园。,
FinalReviewKat.Yes.4,Max想留而Kathy坚持让他走。,
FinalReviewKat.Yes.5,Kathy从那天以后不再去829喝咖啡，而是改为定时路过。,
FinalReviewKat.Yes.6,Max为了能见到Kathy最终推掉了那份工作。,
FinalReviewKat.Yes.7,他同时失去了工作和恋人，事情发展成了最糟糕的结局——,
FinalReviewKat.Yes.8,除了Kathy在829对面开了一家“Maxis书店咖啡”。,
FinalReviewKat.Yes.9,隔着马路，他们和初次见面时一样对望着。,
FinalReviewKat.Yes.10,现在要考虑的事情是如何让书店咖啡从注定倒闭的道路上逃脱。,
