"location","source","target"
"﻿FirstStart.Monologue.1","……",""
"FirstStart.Monologue.2","我靠，
我怎么把这个密码忘得死死的。","我靠，
我怎么把这个密码忘得死死的。"
"FirstStart.Monologue.3","……",""
"FirstStart.Monologue.4","8962？","8962？"
"FirstStart.Monologue.5","还是 5744？","还是 5744？"
"FirstStart.Monologue.6","……","……"
"FirstStart.Monologue.7","仔细想想，
我这个键盘根本没有数字键。","仔细想想，
我这个键盘根本没有数字键。"
"FirstStart.Monologue.8","一说起这个，我想起来了。","一说起这个，我想起来了。"
"FirstStart.Monologue.9","<color=#DB7F20>Nil</color> 给我写过一个神奇播放器。","<color=#DB7F20>Nil</color> 给我写过一个神奇播放器。"
"FirstStart.Monologue.10","<color=#DB7F20>神奇播放器</color> 可以查到这台电脑的操作记录才对。","<color=#DB7F20>神奇播放器</color> 可以查到这台电脑的操作记录才对。"
"FirstStart.Monologue.11","到现在我还是没办法认同他起名的品味……","到现在我还是没办法认同他起名的品味……"
"FirstStart.Monologue.12","不过，
只要找到操作记录就能知道密码了。","不过，
只要找到操作记录就能知道密码了。"
"FirstStart.Monologue.13","到底是哪天留的这个密码……","到底是哪天留的这个密码……"
"FirstStart.Monologue.14","没办法，
从第一天看起吧。","没办法，
从第一天看起吧。"
"FirstStart.Monologue.15","><color=#A69884> 使用<sprite name=""Left""><sprite name=""Right"">或<sprite name=""MouseLeft"">打开神奇播放器</color>","><color=#A69884> 使用<sprite name=""Left""><sprite name=""Right"">或<sprite name=""MouseLeft"">打开神奇播放器</color>"
