location,source,target
GravePersuade2.Tips.1,以下是新消息,
GravePersuade2.Grave.2,你的建筑我看完了,
GravePersuade2.Grave.3,基本就是外行人的水平,
GravePersuade2.Monologue.5,"……完了，
感觉要凉。",
GravePersuade2.Monologue.6,我觉得 Nami 的设计还不错啊……,
GravePersuade2.Monologue.7,难道我的审美已经退化到外行人水平了吗……,
GravePersuade2.Monologue.8,没道理的——,
GravePersuade2.Grave.9,有几个问题问你,
GravePersuade2.Typing.10,您说,
GravePersuade2.Grave.11,一，你这个建筑的地址是在宝口，是老朗翠铁路的终点对吧？国道变更以后，朗翠铁路停运以后通到宝口的只有一条乡道而已。不管从交通便捷程度还是运输成本上都不应该选择那里作为一个公共图书馆的新址。,
GravePersuade2.Grave.12,你是出于什么考虑？故意显得独树一帜，还是想要追求某种小资情怀？,
GravePersuade2.Monologue.13,好猛烈的攻势，不知道我能不能顶得住……,
GravePersuade2.Monologue.14,得想办法帮 Nami 圆过去才行。,
GravePersuade2.Typing.15,是考虑到山里的空气,
GravePersuade2.Typing.16,在一个空气清新的地方，大家可能会比较容易专心读书，我是这么想的,
GravePersuade2.Grave.17,你臆想的,
GravePersuade2.Grave.18,没有人会为了看两本书坐两个小时绿皮车去宝口,
GravePersuade2.Monologue.19,……,
GravePersuade2.Typing.20,其实也有考虑到建筑面积,
GravePersuade2.Typing.21,如果要在城区建新图书馆的话，可能没办法那么自由地发挥,
GravePersuade2.Grave.22,发挥？你整个建筑，我再帮你加个停车场也最多只有七八千平而已啊，朗翠区图书馆都有一万多平,
GravePersuade2.Grave.23,铁路的对面，另一半明明就是秀澄湖，那么好的自然景观不利用，只做半边的设计，为什么？,
GravePersuade2.Monologue.24,"……失算了，
完全没有想过这些……",
GravePersuade2.Typing.25,我的想法是,
GravePersuade2.Grave.26,你根本就没有去过宝口，你也没有坐过朗翠火车，你完全是凭着自己的想象做的这个建筑,
GravePersuade2.Monologue.27,……,
GravePersuade2.Typing.28.1,/不回,
GravePersuade2.Typing.28.2,对不起,
GravePersuade2.Grave.30,没有什么好道歉,
GravePersuade2.Grave.31,建筑师对自己的建筑要有基本的自信,
GravePersuade2.Typing.28.3,不是，你在那里装什么东西啊？,
GravePersuade2.Think.300,这个语气，让我又回忆起了前天的 Nora……,
GravePersuade2.Typing.33,我这么精妙的视线引导和高度纵深你没有看出来吗？,
GravePersuade2.Grave.34,？,
GravePersuade2.Monologue.35,"糟了，
好像上头了……",
GravePersuade2.Typing.36.1,我开玩笑的，闹个气氛,
GravePersuade2.Typing.36.2,对不起，Grave 老师，我刚刚的话有点冒昧,
GravePersuade2.Typing.36.3,你开个价格吧，多少钱你才肯收我为徒,
GravePersuade2.Monologue.39,"靠！
被直接删好友了！",
GravePersuade2.Typing.40.1,？,
GravePersuade2.Typing.40.2,再给我一个机会,
GravePersuade2.Typing.40.3,不发,
GravePersuade2.Monologue.43,完了，凉透了。,
GravePersuade2.Monologue.44,没办法，去和 Nami 说一下吧。,
GravePersuade2.Todo.1,被 Grave 删除,
GravePersuade2.Grave.45,二是，你在图上只规划了阅览室和前台，只有这两种功能的话是没有办法支撑起一个公共图书馆的,
GravePersuade2.Grave.46,我们先不说周边商业设施、城市整体规划这种问题，如果所有车厢都是阅览室，就是说在你这个地方上个厕所都不可能,
GravePersuade2.Grave.47,对于大型图书馆来说，必须要有书库。考虑到书库的规模，再采用铁皮车箱这种形式能否兼顾防火、承重和图书管理，入库和出库的工具是叉车还是什么，门要开多大，地面是不是要做硬化，这些都是要考虑的,
GravePersuade2.Typing.48.1,我明白了,
GravePersuade2.Typing.48.2,别念了别念了,
GravePersuade2.Think.301,实在是受不了别人开始说教……,
GravePersuade2.Typing.50,你是觉得只有自己才懂这些东西？,
GravePersuade2.Grave.51,？,
GravePersuade2.Monologue.52,"糟了，
好像上头了……",
GravePersuade2.Typing.53.1,我开玩笑的，闹个气氛,
GravePersuade2.Typing.53.2,对不起，Grave 老师，我刚刚的话有点冒昧,
GravePersuade2.Typing.53.3,你开个价格吧，多少钱你才肯收我为徒,
GravePersuade2.Monologue.56,"靠！
被直接删好友了！",
GravePersuade2.Typing.57.1,？,
GravePersuade2.Typing.57.2,再给我一个机会,
GravePersuade2.Typing.57.3,不发,
GravePersuade2.Monologue.60,完了，凉透了。,
GravePersuade2.Monologue.500,都怪前天那一单的什么 Nora 老师一直说个不停。,
GravePersuade2.Monologue.501,害我都对超过两行的消息应激了。,
GravePersuade2.Monologue.502,完全忘了这是 Grave 老师。,
GravePersuade2.Monologue.503,……,
GravePersuade2.Monologue.504,难道就算是 Grave 老师也可以随便对人指指点点吗！,
GravePersuade2.Monologue.505,……,
GravePersuade2.Monologue.506,"好吧，
Grave 老师应该有这个资格。",
GravePersuade2.Monologue.61,"没办法，
去和 Nami 说一下吧。",
GravePersuade2.Todo.2,找 Nami 说明情况,
GravePersuade2.Typing.62,谢谢您的指点，我明白这个作品还有很多不足之处,
GravePersuade2.Monologue.63,想到这里，我直接突然释怀地笑。,
GravePersuade2.Monologue.64,看来是真的没机会了。,
GravePersuade2.Grave.65,但你这个小楼也不是一无是处，拿去投个青年设计大赛的话，说不定能获个什么奖,
GravePersuade2.Grave.66,三等奖一类的吧,
GravePersuade2.Grave.67,这些设计，光线和布局上，能看出点天赋,
GravePersuade2.Grave.68,呵呵，软件用得也不赖,
GravePersuade2.Monologue.69,"难道说！
是回光返照！",
GravePersuade2.Monologue.70,历经千辛万苦才终于走到这一步，成败在此一举！,
