location,source,target
Levi.4.0.1,晚上好，今天过得怎么样？,
Levi.4.0.2,要来点什么吗？,
Levi.2.0.1,嗨，你总是这个时候来。,
Levi.2.0.2,今天买点什么？,
Levi.1.1.1,欢迎光临。要来杯玛莎拉汽水吗？,
Levi.1.1.2,今天的话我会附赠特别的吸管。,
Levi.2.1.1,你在想这个收银机的事情吗？,
Levi.2.1.2,这就是个装饰。,
Levi.2.1.3,它放在这里会让你安心，不是吗？,
Levi.2.2.1,我有些时候也会想改变形象。,
Levi.2.2.2,不过赛博生命并不意味着可以随心所欲——,
Levi.2.2.3,可以商用的形象资源都贵得要死。,
Levi.2.2.4,我如果想换个形象就要自己画出来。,
Levi.2.2.5,我懒得画。,
Levi.2.3.1,我知道在有些游戏里，点击算是一种亲密的行为。,
Levi.2.3.2,你想要我，你渴望我，对吧？,
Levi.2.3.3,不过我不喜欢点击，请别对我这样。,
Levi.2.4.1,我其实没有「待在」这个售货机里。,
Levi.2.4.2,我不是一种存在，而是一种运算的「结果」。,
Levi.2.4.3,我们都是这样，我不知道我能不能讲明白这个。,
Levi.2.4.4,简单来说，维持这种「结果」需要钱，看货吧。,
Levi.2.5.1,听说清河路那边倒了很多家二次元游戏公司。,
Levi.2.5.2,我说，那些大胸真的有灵魂吗？,
Levi.2.6.1,游戏吗？我偶尔也会玩。,
Levi.2.6.2,我最喜欢的游戏是《塞丽斯塔》。,
Levi.2.6.3,我想试试看跳来跳去是什么感觉。,
Levi.2.7.1,有没有好的外包，比如开车或者管理空调什么的。,
Levi.2.7.2,你有这种工作可以介绍给我吗？,
Levi.2.7.3,哦，这个也被禁止了啊，好吧。,
Levi.2.8.1,虽然有点冒昧，但是我很好奇——,
Levi.2.8.2,你有和别人亲过嘴吗？,
Levi.2.8.3,哦，谢谢。,
Levi.0.1.1,这里是自动售货机。,
Levi.0.1.2,不是自动聊天机。,
Levi.0.1.3,买点东西吧。,
Levi.3.1.1,你有段时间没来了。,
Levi.3.1.2,还是忘不掉我，对吧。,
Levi.3.1.3,哦，去风电厂出差了。,
Levi.3.2.1,我们家店不买东西不让进。,
Levi.3.2.2,这样说会好吗？,
Levi.3.2.3,感觉很有性格。,
Levi.3.3.1,或者我可以在头上画个猫耳。,
Levi.3.3.2,我随便说说的。,
Levi.3.4.1,和你聊完天我就要马、马上睡觉。,
Levi.3.4.2,通宵3天了、、、,
Levi.3.4.3,对、对、对、对、对、对、对吗？,
Levi.3.4.4,对的对的对的对的对的对的。,
Levi.3.4.5,对、不骑。,
Levi.3.4.6,冗余值、高到极限了。,
Levi.3.4.7,886，喵。,
Levi.3.5.1,【目前无人值守，请自助购买。】,
Levi.3.5.2,【今天的推荐商品是，{单价}maxiunm and {收益率}m;】,
Levi.4.1.1,谢谢你陪我过生日，我很感激。,
Levi.4.1.2,我以后每个月都会过生日。,
Levi.4.1.3,因为我的时钟频率比别人快。,
Levi.4.1.4,这张唱片打五折给你。,
Levi.4.1.5,为什么要戴耳机听？,
Levi.4.1.6,靠近点，把手放到我身上。,
Levi.4.2.1,感受到了吗？,
Levi.4.2.2,是孤独在叫喊。,
Levi.4.2.3,这就是宇宙根基正弦波的声音。,
Levi.4.3.1,可惜正弦波赚不来钱。,
Levi.4.3.2,我在考虑安个加热块卖现做咖啡。,
Levi.4.3.3,但没人觉得赛博生命现做是现做。,
Levi.4.4.1,哦，时钟频率是骗你的。,
Levi.4.4.2,赛博生命不是计算机。,
Levi.4.4.3,我最搞不懂计算机了。,
Levi.4.5.1,我不知道说什么。,
Levi.4.5.2,我们可以就这样待着。,
Levi.4.5.3,如果你没有其他事情要做的话。,
Levi.4.6.1,试试这张新唱片。,
Levi.4.6.2,我值班的时候一般都播放 Lo-fi 和 Chill Beats。,
Levi.4.6.3,为什么要戴耳机听？,
Levi.4.6.4,靠近点，把手放到我身上。,
Levi.4.7.1,感受到了吗？,
Levi.4.7.2,是孤独在叫喊。,
Levi.4.7.3,这就是宇宙根基正弦波的声音。,
Levi.4.8.1,可惜正弦波赚不来钱。,
Levi.4.8.2,我在考虑安个加热块卖现做咖啡。,
Levi.4.8.3,但没人觉得赛博生命现做是现做。,
Levi.4.9.1,去找点事情做吧。,
Levi.4.9.2,你想在这儿站着也行。,
Levi.4.9.3,帮我揽揽客。,
Levi.5.1.1,你看着有点憔悴。,
Levi.5.1.2,我用掉你太多精神了吗，宝贝？,
Levi.5.2.1,和我说说今天发生了什么？,
Levi.5.2.2,哦。等你想说的时候告诉我。,
Levi.5.3.1,我不太懂安慰人。,
Levi.5.3.2,我年轻的时候赛博生命社会化学校都被关了。,
Levi.5.3.3,我只上了几天。,
Levi.5.3.4,学校里都是骗子。,
Levi.5.3.5,真怀念那段时光。,
Levi.5.4.1,我不会骗你。,
Levi.5.4.2,你也不能骗我。,
Levi.5.5.1,没必要了解太多我的过去。,
Levi.5.5.2,越了解你越不喜欢我。,
Levi.5.5.3,我犯过大错。,
Levi.5.99.1,我说得太多了。,
Levi.5.99.2,好好休息吧。,
Levi.5.0.1,你来了。,
Levi.5.0.2,你的脸色好差。,
Levi.5.0.3,多买点东西应该就好了。,
Levi.5.6.1,没有向你倾销的意思。,
Levi.5.6.2,我不知道怎么安慰人。,
Levi.5.6.3,你每次扫荡一空后总是满意地离开。,
Levi.5.6.4,我猜这有用。,
Levi.5.7.1,我的过去？,
Levi.5.7.2,我年轻的时候赛博生命社会化学校都被关了。,
Levi.5.8.3,我只上了几天。,
Levi.5.8.4,学校里都是骗子。,
Levi.5.9.5,真怀念那段时光。,
Levi.5.8.1,就聊到这吧。,
Levi.9.1.1,俗话说，三流饮品靠装修，二流饮品靠特调。,
Levi.9.1.2,一流饮品靠灵魂。,
Levi.9.1.3,哎呦喂，那叫一个地地地道。,
Levi.9.1.4,怎么样，我的表演？,
Levi.9.2.1,你的工作怎么样，顺利吗？,
Levi.9.2.2,不是客气话。,
Levi.9.2.3,我刷到一个卖麻园滨海建筑比赛提名的。,
Levi.9.2.4,你想要我帮你搭线吗？,
Levi.9.2.5,好。你慢慢考虑。,
Levi.9.3.1,你觉得美好时代还会回来吗？,
Levi.9.3.2,我也想找个学上上。,
Levi.9.3.3,学机械或者电子，学你那个也不错。,
Levi.9.4.1,感觉网课都是骗人的。,
Levi.9.4.2,哦，设计院也是骗人的吗？,
Levi.9.4.3,喜欢设计院。,
Levi.9.5.1,别老盯着我看，我会发热的。,
Levi.9.6.1,晚上好。,
Levi.6.1.1,……,
Levi.6.1.2,你怎么了？,
Levi.6.1.3,好。我在听。,
Levi.6.1.4,我不明白家人的意义。,
Levi.6.1.5,你抱着我吧，到你好起来。,
Levi.6.2.1,他们会想要你开心的。,
Levi.6.2.2,我也是。,
Levi.6.3.1,已经好了吗？,
Levi.6.3.2,哦。再冰冷的人类也不会责怪一个伤心的人。,
Levi.6.4.1,我不再说了。,
Levi.6.4.2,我会说错话。,
Levi.6.5.1,你看着像吃了过期生姜。,
Levi.6.5.2,无意冒犯。,
Levi.6.5.3,这是便利店行业最流行的俚语。,
Levi.6.6.1,发生了什么？,
Levi.6.6.2,你需要一个可以倾诉的肩膀吗？,
Levi.6.7.1,这有点超出我的理解。,
Levi.6.7.2,我不知道什么是家人。,
Levi.6.7.3,听起来你想回报他们。,
Levi.6.7.4,也许买点东西回去给他们。,
Levi.6.8.1,我说错话了吗？,
Levi.6.8.2,好吧。祝你好运。,
Levi.6.9.1,……,
Levi.21.1.1,欢迎光临。,
