location,source,target
LeviRe.Levi.1,哟。,
LeviRe.Miki.2,哟。,
LeviRe.Miki.3,为什么总说哟？,
LeviRe.Levi.4,我想在你面前显得亲切一点。,
LeviRe.Miki.5.1,很亲切。,
LeviRe.Miki.5.2,很可爱。,
LeviRe.Levi.7,知道了。,
LeviRe.Levi.8,总之，先把摄像头帮我放一下吧。,
LeviRe.Levi.9,我又租了一个长焦距的。,
LeviRe.Levi.10,在电源旁边的收纳格里。,
LeviRe.Miki.2001,怎么不去楼上了？,
LeviRe.Levi.2002,因为设备和场地的租期都已经到了。,
LeviRe.Levi.2003,你要是喜欢的话。,
LeviRe.Levi.2004,我再去续一下。,
LeviRe.Miki.2005,啊，不用。,
LeviRe.Miki.2006,在这里就好。,
LeviRe.Levi.11,好。,
LeviRe.Levi.13,这是我第一次和别人单独看烟花。,
LeviRe.Levi.14,这多少会让我有点。,
LeviRe.Levi.15,猪脑过载。,
LeviRe.Miki.16,……,
LeviRe.Levi.17,你的脸红了。,
LeviRe.Miki.18,我还没放摄像头。,
LeviRe.Levi.19,正面有一个。,
LeviRe.Levi.20,为什么你的脸不会红。,
LeviRe.Miki.21.1,我不知道。,
LeviRe.Miki.21.2,我化妆了。,
LeviRe.Levi.23,原来如此。,
LeviRe.Levi.24,化妆就是面部遮罩，对吧。,
LeviRe.Miki.25,差不多是。,
LeviRe.Miki.21.3,猪脑过载和脸红的关系是？,
LeviRe.Levi.27,如果我们心意合一。,
LeviRe.Levi.28,我的脸红了，你的脸也会红。,
LeviRe.Miki.29,……,
LeviRe.Levi.30,我看你挺喜欢用成语的。,
LeviRe.Levi.31,我就学了一些。,
LeviRe.Miki.32.1,可你的脸没红。,
LeviRe.Levi.33,你再看看。,
LeviRe.Miki.34.1,啊，红了。,
LeviRe.Miki.34.2,好可爱。,
LeviRe.Miki.34.3,想亲一口。,
LeviRe.Levi.37,知道了。,
LeviRe.Miki.32.2,用得挺好的。,
LeviRe.Miki.39,虽然有点不好。,
LeviRe.Levi.40,是吗。,
LeviRe.Levi.41,我再学学。,
LeviRe.Levi.42,距离放烟花还有十一分钟。,
LeviRe.Miki.43,无聊了吗？,
LeviRe.Levi.44,我怕你无聊。,
