location,source,target
LiPiGroup.todo.0,查看 Li 的实验数据图,
LiPiGroup.Li.1,[实验数据图],
LiPiGroup.Monologue.2,是MaLow的关联账号……他的聊天小号吗……？,
LiPiGroup.Monologue.3,这个名字可真是有够敷衍的。,
LiPiGroup.Monologue.4,……,
LiPiGroup.Monologue.5,这是个什么群啊？,
LiPiGroup.Monologue.6,Li把信息发到这里了吗？,
LiPiGroup.Monologue.7,等等……我好像有点明白了。,
LiPiGroup.Monologue.8,就是说 MaLow 建了个小号假装成打印机潜伏在他的学生群聊里。,
LiPiGroup.Monologue.9,哦不，是伪装成学长 A。,
LiPiGroup.Monologue.10,真是个险恶的中年人啊。,
LiPiGroup.Monologue.11,再说这种群里能有什么好东西。,
LiPiGroup.Monologue.12,这个图片应该就是刚刚Li发给我的图片吧……,
LiPiGroup.Monologue.13,虽然看不懂，姑且点开看看。,
LiPiGroup.Monologue.14,……,
LiPiGroup.Monologue.15,这又是怎么回事，为什么我动不了了……？,
LiPiGroup.Monologue.16,聊天怎么动不了了。,
LiPiGroup.Monologue.17,又卡死了吗……？,
LiPiGroup.Li.18,MaLow 真的会上当吗？,
LiPiGroup.Pi.19,跟他两年你还没总结出规律吗,
LiPiGroup.Pi.20,那家伙虽然阴险但是头脑很简单的,
LiPiGroup.Monologue.21,怎么突然冒出来一个新的人……,
LiPiGroup.Monologue.22,看看他们说什么吧……,
LiPiGroup.Pi.23,哦哦！来了来了！,
LiPiGroup.Li.24,登上去了吗？,
LiPiGroup.Pi.25,是的是的,
LiPiGroup.Pi.26,啊——自由！自由的空气！,
LiPiGroup.Li.27,我说，,
LiPiGroup.Li.28,你还是稍微搂着点吧,
LiPiGroup.Li.29,别给我整得毕不了业,
LiPiGroup.Pi.30,你一个学生物的,
LiPiGroup.Pi.31,的地得导师用的挺考究,
LiPiGroup.Pi.32,倒是,
LiPiGroup.Li.33,高中的时候都会学啊,
LiPiGroup.Pi.34,确实,
LiPiGroup.Li.35,总之，你别搞得太过分了,
LiPiGroup.Li.36,如果毕不了业的话,
LiPiGroup.Pi.37,那我问你，是我重要还是毕业重要,
LiPiGroup.Li.38,呃，你当然是很重要啦,
LiPiGroup.Pi.39,居然还要考虑！,
LiPiGroup.Li.40,没有没有,
LiPiGroup.Li.41,我只是想说,
LiPiGroup.Pi.42,算了，你赶紧弄吧,
LiPiGroup.Li.43,他今天去喝大酒,
LiPiGroup.Li.44,应该都不会怎么看手机,
LiPiGroup.Pi.45,对咯，这就对咯,
LiPiGroup.Pi.46,我们这个游戏的主题就是打倒学阀,
LiPiGroup.Pi.47,反对学阀,
LiPiGroup.Pi.48,把所有学术霸权，通通都一扫而空,
LiPiGroup.Pi.49,啊哈哈哈,
LiPiGroup.Li.50,好,
LiPiGroup.Monologue.51,呃……虽然打倒学阀很重要。,
LiPiGroup.Monologue.52,但是我赚钱糊口也重要。,
LiPiGroup.Monologue.53,我老妈更重要。,
LiPiGroup.Monologue.54,光速海鸥侠还没有赶到战场吗……,
LiPiGroup.Monologue.55,我脑子里还在想老妈和 MaLow 的事情……,
LiPiGroup.Monologue.56,她真能看上这种人吗？,
LiPiGroup.Monologue.57,从他们说话的语气来看不像情侣啊……,
LiPiGroup.Monologue.58,……,
LiPiGroup.Monologue.59,等不下去了。,
LiPiGroup.Monologue.60,只能由我来斩断这份羁绊。,
LiPiGroup.Monologue.61,Nil 曾经说过——,
LiPiGroup.Monologue.62,如果感到无所适从，不能继续前进下去——,
LiPiGroup.Monologue.63,就重启吧。,
LiPiGroup.Monologue.64,打开控制台，然后输入RE:ply重启电脑。,
LiPiGroup.Monologue.65,别问为什么打RE:ply，我也不知道。,
LiPiGroup.Todo.66,在控制台输入指令重启电脑。,
