location,source,target
MalowQuantum.Hans.1,老马,
MalowQuantum.Hans.2,赚钱的新机会又来了,
MalowQuantum.Typing.3,什么？,
MalowQuantum.Hans.4,什么什么,
MalowQuantum.Typing.5,你是谁？,
MalowQuantum.Hans.6,我啊，现代药学院，临床药学的 Hans 啊,
MalowQuantum.Hans.7,你又喝蒙圈儿了吗？,
MalowQuantum.Typing.8,哦哦，我想起来了,
MalowQuantum.Hans.9,呵呵，想起来就行,
MalowQuantum.Hans.10,那个，我这块儿的，有个新项目,
MalowQuantum.Hans.11,量子医疗,
MalowQuantum.Hans.12,我跟你说啊，这玩意儿比你捣鼓那个机动结晶还赚钱了,
MalowQuantum.Hans.13,上次你不和我说没法儿给宠物开结晶药吗,
MalowQuantum.Hans.14,这会这个量子医疗,
MalowQuantum.Hans.15,可以给赛博生命开，可以给猪开,
MalowQuantum.Hans.16,反正是什么都能开,
MalowQuantum.Hans.17,这还只是小头,
MalowQuantum.Hans.18,诶，你明天在学院办公室吗？,
MalowQuantum.Typing.19,不好说,
MalowQuantum.Hans.20,别不好说啊,
MalowQuantum.Hans.21,这样的，后天下午正好安嘉要开个宣讲会,
MalowQuantum.Typing.22,听着像黄油,
MalowQuantum.Typing.23,听着像物流,
MalowQuantum.Hans.24,哎呀，你有点儿正形吧,
MalowQuantum.Hans.101,人家正儿八经是川药旗下的子公司,
MalowQuantum.Hans.102,这样的，我都和他们那边商量好了,
MalowQuantum.Hans.25,你来，完了，出场费给你五万,
MalowQuantum.Typing.26,能现在给吗？,
MalowQuantum.Hans.27,那肯定不行,
MalowQuantum.Typing.28,怎么那么多,
MalowQuantum.Hans.29,他们是想要你这个教授的名头,
MalowQuantum.Hans.30,打响第一枪,
MalowQuantum.Typing.31,那我要做什么,
MalowQuantum.Hans.32,大头都做好了，是有点儿文书上面的事情,
MalowQuantum.Hans.33,我还是让你那个研究生弄？,
MalowQuantum.Typing.34,哪个研究生,
MalowQuantum.Hans.35,就那个小李啊,
MalowQuantum.Hans.36,得了，就这么着,
MalowQuantum.Hans.37,明天在办公室等我,
MalowQuantum.Hans.38,别处幺蛾子啊,
MalowQuantum.Hans.39,我还指着量子医疗换房呢,
MalowQuantum.Hans.40,这事儿要是黄了我指定干你,
