location,source,target
MalowTalk.Typing.1,我想和你谈谈,
MalowTalk.Typing.2,你对机动结晶怎么看啊？,
MalowTalk.Kaede.3,我说过很多次，我不想谈论这个话题,
MalowTalk.Typing.4,我是想说,
MalowTalk.Typing.5,我最近在做一些这方面的研究,
MalowTalk.Kaede.6,什么研究？,
MalowTalk.Kaede.7,又把病毒泡到你的矿石果汁里面吗？,
MalowTalk.Kaede.8,产些不知所云违背良心的学术垃圾,
MalowTalk.Kaede.101,别逗我好笑,
MalowTalk.Monologue.9,我突然感觉老妈跟我说话其实还算客气的……,
MalowTalk.Typing.10,不不,
MalowTalk.Typing.11,我觉得也许从你的角度能有点有用的信息,
MalowTalk.Typing.12,之前就算是我错了,
MalowTalk.Typing.13,我想听听你的想法,
MalowTalk.Kaede.14,你怎么今天突然转了性了,
MalowTalk.Kaede.15,好吧,
MalowTalk.Kaede.16,我不是博导，不带学生，很久没看论文了,
MalowTalk.Kaede.17,谈不上有什么有用的信息,
MalowTalk.Kaede.18,我最近在搞一个抵制含对氯苯胺结晶药的计划,
MalowTalk.Kaede.19,查了点文献,
MalowTalk.Typing.20,对氯苯胺怎么了？,
MalowTalk.Kaede.21,装,
MalowTalk.Typing.22,真没,
MalowTalk.Kaede.23,辉石丸,
MalowTalk.Kaede.24,方钠安神液,
MalowTalk.Kaede.25,安息通，霞石明目散,
MalowTalk.Kaede.26,加起来可能有二十多种结晶药含有对氯苯胺,
MalowTalk.Kaede.27,你不知道对氯苯胺是一类致癌物？,
MalowTalk.Typing.28.1,我知道,
MalowTalk.Kaede.29,你只是想当川药的帮凶,
MalowTalk.Typing.28.2,我不知道,
MalowTalk.Kaede.31,你不可能不知道,
MalowTalk.Kaede.32,我预期如果能联合亚东医师协会抵制掉这些药物,
MalowTalk.Kaede.33,一年在全国范围内可以减少上万例肝癌和肾癌,
MalowTalk.Kaede.34,当然这是不可能的事情,
MalowTalk.Typing.35.1,减少癌症不可能？,
MalowTalk.Kaede.36,某种程度上来说是的,
MalowTalk.Kaede.37,因为不可能联合医师协会,
MalowTalk.Typing.35.2,联合医师协会不可能？,
MalowTalk.Kaede.39,嗯,
MalowTalk.Kaede.40,那帮尸位素餐,
MalowTalk.Kaede.41,只想着靠结晶药发财的人,
MalowTalk.Kaede.42,你觉得他们有一刻考虑过国民健康？,
MalowTalk.Typing.43,那你打算怎么办？,
MalowTalk.Kaede.44,我打算走网络渠道,
MalowTalk.Typing.45,然后呢,
MalowTalk.Kaede.46,没了,
MalowTalk.Kaede.47,之后想向我家的年轻人请教一下,
MalowTalk.Monologue.48,我……吗？,
MalowTalk.Typing.49.1,Daisy 吗?,
MalowTalk.Kaede.50,Daisy 只能算是个小孩,
MalowTalk.Kaede.51,Miki,
MalowTalk.Typing.49.2,Miki 吗？,
MalowTalk.Kaede.53,是,
MalowTalk.Kaede.54,如果你的实验室愿意，欢迎加入,
MalowTalk.Kaede.55,当然了我估计你也不愿意,
MalowTalk.Monologue.56,没想到老妈还有发起网络活动的想法……,
MalowTalk.Monologue.57,她从来没和我说过这些。,
MalowTalk.Monologue.58,要想在网络上有影响力，贝壳湖，新鲜事，还有摇摆……,
MalowTalk.Monologue.59,说实话我是一窍不通。,
MalowTalk.Typing.60,或许你可以试试找赛博生命宣传,
MalowTalk.Typing.61,我看他们在贝壳湖上挺有影响力的,
MalowTalk.Kaede.62,你在拿赛博生命点我是吗,
MalowTalk.Kaede.63,真没必要,
MalowTalk.Kaede.64,我说过我不会和你掺合在一起去赚那些脏钱,
MalowTalk.Kaede.65,不可能,
MalowTalk.Kaede.66,绝对不可能,
MalowTalk.Monologue.67,啊?,
MalowTalk.Monologue.68,我做错了什么吗……？,
MalowTalk.Monologue.69,为什么老妈突然生气了？,
MalowTalk.Typing.70,我不是那个意思,
MalowTalk.Kaede.71,得了，别解释，我们没什么可说的,
MalowTalk.Typing.72,你可能对我有误解,
MalowTalk.Kaede.73,我对你了解的很清楚,
MalowTalk.Kaede.74,我想赚钱,
MalowTalk.Kaede.75,但不会违背自己的道德,
MalowTalk.Monologue.76,糟了……,
MalowTalk.Monologue.77,僵住了。,
MalowTalk.Monologue.78,难道只能把我素未谋面的哥哥 Cenol 搬出来了。,
MalowTalk.Monologue.79,但是根据老妈和 MaLow 说话的语气——,
MalowTalk.Monologue.80,要我相信他们有一个孩子——,
MalowTalk.Monologue.81,绝对不可能。,
MalowTalk.Monologue.82,所以这个 Cenol 到底是谁？,
MalowTalk.Monologue.83,现在老妈在气头上……,
MalowTalk.Monologue.84,如果 Cenol 是一个强牵制……,
MalowTalk.Monologue.85,说不定有机会。,
MalowTalk.Monologue.86,还有另一个办法是直接上我的号和老妈聊。,
MalowTalk.Monologue.87,把 MaLow 和 Cenol 的事情问清楚。,
MalowTalk.Monologue.88,不过……这样几乎就不可能说服她道歉了。,
MalowTalk.Monologue.89,该怎么办呢……,
MalowTalk.Monologue.90,不管决定用哪一种办法……,
MalowTalk.Monologue.91,都一直走到底吧……,
MalowTalk.Monologue.92,中途变换策略很容易引起老妈的怀疑。,
MalowTalk.Todo.0,用自己的账号去问老妈,
MalowTalk.Todo.1,用 Malow 的账号去问老妈,
