location,source,target
MikiWeakUp.Malow.1,啧，你们这个东西还真不方便啊。,
MikiWeakUp.Malow.2,也不严谨,
MikiWeakUp.Malow.3,这种服务真的可以相信吗？,
MikiWeakUp.Monologue.4,什么啊……,
MikiWeakUp.Monologue.5,我坐在椅子上睡着了吗……,
MikiWeakUp.Monologue.6,金钱燃烧的凉意，浸入我的骨髓。,
MikiWeakUp.Monologue.7,大概就是这么回事吧。,
MikiWeakUp.Monologue.8,刚刚把空调温度调得太低了。,
MikiWeakUp.Monologue.9,在电脑面前坐得太久了连做梦都是这个……,
MikiWeakUp.Monologue.10,妈的，我为了网络替身牺牲得太多。,
MikiWeakUp.Monologue.11,……,
MikiWeakUp.Monologue.12,妈的，我为了赚钱牺牲得太多。,
MikiWeakUp.Monologue.13,说来我还是第一次梦到 Nil。,
MikiWeakUp.Monologue.1001,又是一个多星期没搞兼职——,
MikiWeakUp.Monologue.1002,浪费时间真是一种享受啊。,
MikiWeakUp.Monologue.14,不过好久没有那小子的消息了。,
MikiWeakUp.Monologue.15,等一会儿有空了和他闲侃两句吧。,
MikiWeakUp.Monologue.16,“能别调情吗？”今天在公司学到的这个。,
MikiWeakUp.Monologue.17,哈哈哈哈，我一定要找个机会说说。,
