"location","source","target"
"﻿MikitoBen.Typing.1","江湖救急 Benben","江湖救急 Benben"
"MikitoBen.Typing.2","在吗在吗","在吗在吗"
"MikitoBen.Typing.3","你认识一个叫 Lynn 的作曲家吗？","你认识一个叫 Lynn 的作曲家吗？"
"MikitoBen.Ben.4","啊，咋了，你也创业要做游戏啦？","啊，咋了，你也创业要做游戏啦？"
"MikitoBen.Typing.5","不是不是","不是不是"
"MikitoBen.Typing.6","我有个问题要请教她","我有个问题要请教她"
"MikitoBen.Ben.7","啥问题","啥问题"
"MikitoBen.Typing.8","感情问题，至关重要","感情问题，至关重要"
"MikitoBen.Ben.9","这不太好吧，人家有对象呢","这不太好吧，人家有对象呢"
"MikitoBen.Typing.10","就是她对象 Will 让我去的","就是她对象 Will 让我去的"
"MikitoBen.Ben.11","哦，原来是这样","哦，原来是这样"
"MikitoBen.Typing.12","差不多吧","差不多吧"
"MikitoBen.Ben.13","稍等我问一嘴哈","稍等我问一嘴哈"
"MikitoBen.Ben.14","我把你推给她","我把你推给她"
"MikitoBen.Ben.15","欧了","欧了"
"MikitoBen.Typing.16.1","多谢","多谢"
"MikitoBen.Typing.16.2","/不回","/不回"
