"location","source","target"
"﻿MikitoNori2.Norida.1","那么老师和剧本","那么老师和剧本"
"MikitoNori2.Typing.2","都没有找到","都没有找到"
"MikitoNori2.Norida.3","辛苦您了","辛苦您了"
"MikitoNori2.Norida.4","感谢您的努力","感谢您的努力"
"MikitoNori2.Typing.5","最后只得到了一条，线索？","最后只得到了一条，线索？"
"MikitoNori2.Typing.6","由他本人留下的","由他本人留下的"
"MikitoNori2.Typing.7","他去了一个没有痛苦和思念的地方","他去了一个没有痛苦和思念的地方"
"MikitoNori2.Typing.8","所以你也要考虑他已经","所以你也要考虑他已经"
"MikitoNori2.Typing.9","不在人世的情况","不在人世的情况"
"MikitoNori2.Norida.10","我知道老师在哪了！！","我知道老师在哪了！！"
"MikitoNori2.Norida.11","谢谢您！！","谢谢您！！"
"MikitoNori2.Norida.12","幽灵协议第四章，公路局门口的咖啡店，就是没有痛苦和思念的地方！！","幽灵协议第四章，公路局门口的咖啡店，就是没有痛苦和思念的地方！！"
"MikitoNori2.Norida.13","那个地方原型就是，829 咖啡","那个地方原型就是，829 咖啡"
"MikitoNori2.Monologue.14","……那个地方这么神圣吗？","……那个地方这么神圣吗？"
"MikitoNori2.Norida.15","我马上赶过去","我马上赶过去"
"MikitoNori2.Norida.16","感谢您","感谢您"
"MikitoNori2.Todo.0","Will 在 829 咖啡店","Will 在 829 咖啡店"
"MikitoNori2.Monologue.20","呼，看来算是找到了有用的东西。","呼，看来算是找到了有用的东西。"
"MikitoNori2.Monologue.21","……",""
"MikitoNori2.Monologue.22","等等！别走！
我的六十万！","等等！别走！
我的六十万！"
"MikitoNori2.Monologue.23","……","……"
"MikitoNori2.Monologue.24","Norida 离线了……","Norida 离线了……"
"MikitoNori2.Monologue.25","明天有时间再问问 Norida 吧。","明天有时间再问问 Norida 吧。"
