location,source,target
NP1.1.Message.1,"麻园青年就业率跌破70％！
我社特工从亚东经济与发展局窃取到了2011年2月未公布的绝密就业率情报，情报中显示麻园青年（18~45岁）就业率仅为67.4％。
自《限制法案》在去年3月公布，数千家科技公司因无法取得赛博生命雇佣资质而倒闭，大量赛博生命无以为继只能在 TT 的摆布下打黑工。TT 凭着压榨赛博生命逐渐垄断了大量不需要物理劳动的基础岗位，在它日益壮大的同时，麻园也陷入了深重的危机。
本社再次呼吁，人类和赛博生命都是 TT 的受害者，打倒 TT刻不容缓！共同重拾《美好公约》，回到人与赛博生命和谐发展的时代。请在评论区留下你的看法！

<color=#3164c0>#麻园青年就业率</color>
<color=#3164c0>#狂潮新闻</color>
<color=#3164c0>#分享我的夏日美好生活</color>
<color=#3164c0>#疯疯癫癫过一天</color>
<color=#3164c0>#我们的幽灵协议</color>",
NP1.1.Comment.1,原来不是叫狂潮新闻z吗？又炸号了？,
NP1.1.Comment.2,什么事情都往TT头上赖?,
NP1.1.Comment.3,加些乱七八糟的 TAG，想恰烂钱想疯了吧？,
NP1.1.Comment.4,狂宝再带兄弟们冲一波吧,
NP1.1.Comment.5,就业率不能反应一个城市的真实经济状况，请删除帖子。,
NP1.1.Reply.1,打倒 TT！,
NP1.1.Reply.2,我的看法真的重要吗？,
NP1.1.Reply.3,不知道要说什么，我的人生早就完蛋了,
NP1.1.Vote.1,这都没有意义，什么也不会改变,
NP1.1.Vote.2,未来由我们决定,
NP1.1.Vote.3,乐,
NP1.2.Message.1,新裙子,
NP1.2.Comment.1,好久没有一起出来逛街了,
NP1.2.Comment.2,回复<color=#3164c0>@阿比酱</color>：心力憔悴,
NP1.3.Message.1,"我真的想一拳打爆旁边同事的头。她每说一句话必加一句“家人们，谁懂啊？”
你是不会说话吗？",
NP1.4.Message.1,网络替身。挽回前夫、老板、父母，成功率97％，失败全额退款。,
NP1.4.Reply.1,我买过，是真的,
NP1.4.Reply.2,裹上粉油炸，女儿非常爱吃,
NP1.4.Reply.3,可以帮忙离婚吗？,
NP1.5.Message.1,《限制赛博生命不正当竞争法案》已经推行超过一年啦！作为“智能服务于人”理念的倡导者，Thread Tech一直致力于创造一个更美好、宜居、人人皆可实现价值的社会。各位小伙伴，在这一年间你的生活有什么变化吗？,
NP1.5.Reply.1,你要不要看看自己在说什么？,
NP1.5.Reply.2,说话！让我说话!,
NP1.6.Message.1,朋友们，如果看得到这条推送的话，可以<color=#DB7F20> 回复 </color>我一下吗？我这里好像没信号了,
NP1.6.Reply.1,我可以看到,
NP1.7.Message.1,已经厌倦了重复的工作吗?三十天速通游戏设计，月入过万不是梦！,
NP1.8.Message.1,2011夏季新款即将上市，欢迎各位选购。,
NP1.9.Message.1,"呜呜呜，很抱歉要和大家说再见了QAQ
Regu酱的麻园网络不可思议账号要无限期全平台停更了，因为 因为Regu酱不得不去和生活对线。贝壳湖上传统图文越来越难做了，真的很舍不得大家。感谢一直以来的支持，唉，希望大家三次元都能过得幸福。",
NP1.9.Comment.1,说好的萝卜呢？把萝卜留下再走啊,
NP1.10.Message.1,"急急急！
急需二次元经验主文，知名爆款续作，7年+经验大佬速来！跪求推荐！",
NP1.10.Comment.1,是四字爆款吗？,
NP1.11.Message.1,"【星见站地铁口广告位，等你来租！】



【每天上万人流，让品牌闪闪发光】 麻铁星见站，星水街进出必经之地，顶级广告牌虚位以待！这可是让大家都知道你品牌的最佳地点。



【炫广告，让人过目难忘】超大的LED屏，每次展示都是讲你的品牌故事，直接深入人心！



【好位置，信息直达】上班、回家、出游，人流24小时不停，被超多可能的客户看到。





【现在租，好处多多】动作快，现在租还有特别优惠！前10名签约客户赠送额外曝光时间和专业广告设计！



<sprite name=""Heart"">【即刻来电，品牌新未来等你开启】<sprite name=""Heart"">",
NP1.11.Comment.1,一眼AI,
NP1.11.Comment.2,AI写的吧?麻铁药丸,
NP1.11.Comment.3,自己写的，你见过月薪三千的AI？笑死,
NP1.11.Comment.4,星水街纯纯的平民窟，真租得出去？,
NP1.12.Message.1,四字精品神药，少量，速,
NP1.12.Comment.1,有右美吗，劲儿来了，上40t,
NP1.12.Comment.2,仅帮助患者，入手需诊断，OD自重,
NP1.12.Comment.3,呵呵，傻比,
