location,source,target
NamiCome.Nami.1,哈罗，我是 Nami，有事情想要拜托贵司，请问贵司能承接建筑相关的业务吗？,
NamiCome.Typing.8.1,你好，我们是 S4U 建筑设计院,
NamiCome.Nami.9,建筑设计吗？我记得我找的是 N2 心理咨询啊,
NamiCome.Typing.10,对的，N2 是我们旗下的运营公司,
NamiCome.Monologue.11,Nil 准备的话术终于派上用场了。,
NamiCome.Typing.8.2,你好，我们是 S4U 心理咨询,
NamiCome.Nami.13,S4U 吗？我记得我找的是N2心理咨询啊,
NamiCome.Typing.14,对的，N2 是我们旗下的运营公司,
NamiCome.Monologue.15,Nil 准备的话术终于派上用场了。,
NamiCome.Typing.8.3,你好，我们是 S4U 人力资源,
NamiCome.Nami.17,人力资源吗？我记得我找的是 N2 心理咨询啊,
NamiCome.Typing.18,对的，N2 是我们旗下的运营公司,
NamiCome.Monologue.19,Nil 准备的话术终于派上用场了。,
NamiCome.Nami.20,啊，原来是这样，那就没问题了,
NamiCome.Typing.21.1,请问您具体是什么需求？,
NamiCome.Typing.21.2,有什么我能帮到你？,
NamiCome.Nami.23,嗯，确实是有事情要拜托贵司,
NamiCome.Nami.24,能先说一下价格吗？,
NamiCome.Typing.25,你要先告诉我需求，我才能给你报价,
NamiCome.Nami.26,能给我一个报价区间吗,
NamiCome.Monologue.27,"区间……？
Nil 应该说的是：",
NamiCome.Monologue.28,“想收多少就收多少罢，狠狠地吸他们的血。（笑）”,
NamiCome.Monologue.29,这家伙的（笑）已经开始污染我的语言系统了。,
NamiCome.Typing.30,一般是 500~5000，特殊需求另算,
NamiCome.Nami.31,比想象中要贵一些啊,
NamiCome.Nami.32,不过没关系，还在我的预算之内,
NamiCome.Typing.33,你刚才说建筑方面，是想盖一座私人住宅吗，还是什么？,
NamiCome.Nami.34,这个我肯定是想的，不过应该不是现在,
NamiCome.Typing.35,所以你想？,
NamiCome.Nami.36,我是从新鲜事上看到的，心理咨询,
NamiCome.Typing.37.1,没错，你想咨点什么？,
NamiCome.Typing.37.2,是的，很高兴为你服务,
NamiCome.Nami.39,我是想问，能不能帮别人咨询？,
NamiCome.Typing.40,什么意思,
NamiCome.Typing.41.1,你遇到了恋爱的烦恼？,
NamiCome.Typing.41.2,你的身体里还有一个人？,
NamiCome.Nami.43,啊，倒也不是这么回事,
NamiCome.Monologue.44,这个人好磨叽。,
NamiCome.Nami.45,我是想拜托你帮另一人咨询一下,
NamiCome.Nami.46,然后就是要你说服他收我为徒弟,
NamiCome.Nami.47,这对我真的很重要,
NamiCome.Monologue.48,……,
NamiCome.Typing.49,你说的这个东西应该是叫精神控制,
NamiCome.Nami.50,对！对！如果能控制就更好了,
NamiCome.Nami.51,真的可以吗真是太厉害了呀 N2，我果然没看错人,
NamiCome.Monologue.52,……,
NamiCome.Typing.53.1,不一定能成,
NamiCome.Nami.54,拜托拜托，我真的已经走投无路了,
NamiCome.Typing.55,好吧，我尽量试试，你可别抱太大希望,
NamiCome.Typing.53.2,你没在开玩笑吧？,
NamiCome.Nami.57,拜托拜托，我真的已经走投无路了,
NamiCome.Typing.58,好吧，我尽量试试，你可别抱太大希望,
NamiCome.Typing.53.3,交给我吧,
NamiCome.Typing.60,我师从心理咨询大师 NIlux，这点小事，谈笑间,
