location,source,target
NamiFailed2.Typing.1,我回来了,
NamiFailed2.Nami.2,怎么样怎么样,
NamiFailed2.Typing.3,事情可能有点不顺利,
NamiFailed2.Typing.4,他开出了一个我没办法替你接受的条件,
NamiFailed2.Typing.5.1,我不想让你和 Haruka 分开,
NamiFailed2.Typing.6,你们应该是好朋友吧？,
NamiFailed2.Nami.7,这和 Haruka 有什么关系？,
NamiFailed2.Typing.8,Grave 开出的条件之一是你升学考试之前都不能和 Haruka 再有往来,
NamiFailed2.Nami.9,你先答应他再说呀！,
NamiFailed2.Monologue.10,……,
NamiFailed2.Typing.11.1,我不想做个言而无信的人,
NamiFailed2.Typing.11.2,我不想你做个言而无信的人,
NamiFailed2.Nami.13,好好好,
NamiFailed2.Nami.14,真是谢谢你了,
NamiFailed2.Nami.15,一点忙也没帮上吗这不是,
NamiFailed2.Nami.16,网络替身不就是帮我做决定的吗？,
NamiFailed2.Nami.17,早知道我自己去了，好烦,
NamiFailed2.Typing.5.2,我不想为难你去考 C5,
NamiFailed2.Nami.19,C5？就亚东大那几个吗？,
NamiFailed2.Nami.20,为啥是 C5，这和 C5 有什么关系,
NamiFailed2.Typing.21,Grave 说你要在一年之后考上麻艺、麻理工、亚东大其中一所大学,
NamiFailed2.Typing.22,才肯收你为徒,
NamiFailed2.Nami.23,那就考啊,
NamiFailed2.Nami.24,有什么问题吗,
NamiFailed2.Typing.25,我不能替你做这种决定,
NamiFailed2.Nami.26,草，明明有这么好的机会在眼前啊,
NamiFailed2.Nami.27,好好好,
NamiFailed2.Nami.28,真是谢谢你了,
NamiFailed2.Nami.29,一点忙也没帮上吗这不是,
NamiFailed2.Nami.30,网络替身不就是帮我做决定的吗？,
NamiFailed2.Nami.31,早知道我自己去了，好烦,
NamiFailed2.Typing.32,我不能替你决定,
NamiFailed2.Monologue.100,这样的承诺也许让 Nami 自己去面对比较好吧？,
NamiFailed2.Monologue.101,……,
NamiFailed2.Monologue.102, 但 Nami 好像又说得没错。,
NamiFailed2.Monologue.103,"做决定，
是一件很艰难的事情。",
NamiFailed2.Monologue.104,偶尔想逃避一次。,
NamiFailed2.Monologue.105,所以才会选择找到网络替身 S4U。,
NamiFailed2.Monologue.106,我赚到一点小费，他们得到了想要的结果。,
NamiFailed2.Monologue.107,这也算是好事吧？,
NamiFailed2.Monologue.108,"算了，
至少这次，我还是没法替 Nami 做决定。",
