location,source,target
NamiSucceed.Typing.1,我回来了,
NamiSucceed.Nami.2,怎么样怎么样,
NamiSucceed.Typing.3,简而言之是成了,
NamiSucceed.Typing.4,Grave 答应你在一年之后收你为徒,
NamiSucceed.Nami.5,真的吗！,
NamiSucceed.Nami.6,N 老师！你是我的神！,
NamiSucceed.Typing.7,不过有两个条件,
NamiSucceed.Typing.8,一是你明年要考上麻艺、麻理工、亚东大其中一所大学,
NamiSucceed.Typing.9,二是今天过后，直到考完试你都不能和 Haruka 联系,
NamiSucceed.Nami.10,好好好，没问题,
NamiSucceed.Nami.11,太好了，太好了,
NamiSucceed.Nami.12,但是一年之后的话，这一年的资金又很难以为继啊,
NamiSucceed.Typing.13,Grave 有答应帮你解决经济上的问题,
NamiSucceed.Tips.0,以下是新消息,
NamiSucceed.Nami.14,rukia，我成功搞定老头拉！,
NamiSucceed.Haruka.15,真的吗！,
NamiSucceed.Haruka.16,太好咯，以后可以一起待在麻园了！,
NamiSucceed.Monologue.17,……,
NamiSucceed.Monologue.18,在我那里卖惨，然后背地里找妹子开香槟。,
NamiSucceed.Monologue.19,啧啧啧，女高中生。,
NamiSucceed.Haruka.20,我就说老头肯定会看上你的,
NamiSucceed.Nami.21,嗯嗯嗯嗯，是呢,
NamiSucceed.Nami.22,终于可以和 Grave 老师并肩战斗了,
NamiSucceed.Haruka.23,你最好还是别对那个固执、陈旧的老头抱有太多幻想,
NamiSucceed.Nami.24,哈哈哈哈，怎么这样说 Grave 老师,
NamiSucceed.Haruka.25,不过真不容易啊，小 Nami，要迈出这一步,
NamiSucceed.Haruka.26,我还以为会永远也见不到你了,
NamiSucceed.Nami.27,这怎么可能，你想太多啦,
NamiSucceed.Haruka.28,我有事情想和你说来着,
NamiSucceed.Nami.29,让我先说吧,
NamiSucceed.Haruka.30,我现在就在老地方,
NamiSucceed.Haruka.31,你快点过来吧,
NamiSucceed.Nami.32,啊？,
NamiSucceed.Nami.33,那么晚了你一个人在外面吗,
NamiSucceed.Haruka.34,哎呀，你快点过来就好,
NamiSucceed.Nami.35,好，我马上过去,
NamiSucceed.Nami.36,N 神，咱们 N2 事务所有招聘兼职心理咨询师的需求吗？,
NamiSucceed.Monologue.37,你不是要去见面吗……,
NamiSucceed.Typing.38.1,你先把钱给了,
NamiSucceed.Nami.39,好的好的，N 神,
NamiSucceed.Typing.40.1,这次的价格是500,
NamiSucceed.Think.100,以前的均价应该是 500,
NamiSucceed.Typing.40.2,这次的价格是1000,
NamiSucceed.Think.101,报高一点，Nami 肯定要砍价,
NamiSucceed.Typing.40.3,这次的价格是 2000,
NamiSucceed.Think.102,这可是 Grave 老师！,
NamiSucceed.Nami.43,这些就是我全部的波纹了,
NamiSucceed.Nami.44,剩下的钱我会慢慢打工还你的！,
NamiSucceed.Nami.45,一定！,
NamiSucceed.Typing.38.2,目前没有,
NamiSucceed.Typing.47,开不出工资来,
NamiSucceed.Typing.48,说起这个，你先把钱给了,
NamiSucceed.Monologue.49,"靠……
忙活了一晚上就赚了一百多块啊。",
NamiSucceed.Monologue.50,唉，算了，好歹算做了件好事吧。,
NamiSucceed.Monologue.51,Daisy 那 3900 还没着落。,
NamiSucceed.Monologue.52,"好愁，
想抽一根了。",
NamiSucceed.Monologue.53,昨天把库存的烟弹都消耗完了……,
NamiSucceed.Monologue.54,说不定这正是一个戒烟的好机会。,
NamiSucceed.Monologue.55,也算是我为文学牺牲了……,
NamiSucceed.Monologue.56,……,
NamiSucceed.Monologue.57,"算了！
我和文学搞不来！",
NamiSucceed.Monologue.58,去喝点汽水吧。,
NamiSucceed.Monologue.59,昨天把库存的烟弹都消耗完了……,
NamiSucceed.Monologue.60,说不定这正是一个戒烟的好机会。,
NamiSucceed.Monologue.61,……,
NamiSucceed.Monologue.62,改天在考虑这件事情吧。,
NamiSucceed.Monologue.63,今天先喝点汽水……,
