location,source,target
NekoArgument.Monologue.102,虽然这并不在委托之内。,
NekoArgument.Monologue.105,看起来 Regules 今晚翘班坐飞机去见的就是 Neko。,
NekoArgument.Monologue.106,但 Neko 临时鸽了 Regules……,
NekoArgument.Monologue.107,而且一句道歉都没有……,
NekoArgument.Monologue.108,……,
NekoArgument.Monologue.1,Regules 好像回来了。,
NekoArgument.Monologue.2,……仔细想想，这也不是我该多管的事情。,
NekoArgument.Monologue.3,让 Regules 自己处理吧。,
NekoArgument.Monologue.109,Regules 好像回来了。,
NekoArgument.Monologue.110,不过也勉强开了个口……,
NekoArgument.Monologue.111,剩下的让 Regules 自己处理吧。,
NekoArgument.Typing.1.2,我们谈谈吧。,
NekoArgument.Typing.1.3,我觉得你好像没有把我放在心上。,
NekoArgument.Neko.6,莫》,
NekoArgument.Neko.7,？,
NekoArgument.Typing.8,你说你想去音乐节，我就给你买票想给你惊喜,
NekoArgument.Typing.9,/转发图片：[201106221335.jpg],
NekoArgument.Typing.10,已经约好了时间,
NekoArgument.Typing.11,你又突然变卦是什么意思？,
NekoArgument.Neko.12,？,
NekoArgument.Neko.13,我没叫你来,
NekoArgument.Neko.14,是你自己要贴上来的,
NekoArgument.Typing.15.1,你真能说出这种话啊？,
NekoArgument.Typing.15.2,你的一言为定是放屁吗？,
NekoArgument.Neko.17,你要这么想我也没办法,
NekoArgument.Typing.18.1,还有双标的事情,
NekoArgument.Typing.19,你不是不喜欢男人吗？,
NekoArgument.Typing.20,为什么又要去见相亲的男人？,
NekoArgument.Typing.21,这不是自相矛盾了吗？,
NekoArgument.Neko.22,我的事情不需要你管吧？,
NekoArgument.Neko.23,你觉得每个人都和你一样不结婚？,
NekoArgument.Neko.24,有病吧？,
NekoArgument.Typing.25.1,所以是为了钱？,
NekoArgument.Typing.26,你想傍个有钱人然后过轻松的生活？,
NekoArgument.Typing.25.2,所以是家里的要求？,
NekoArgument.Typing.28,你想当个妈宝女然后继续啃老？,
NekoArgument.Neko.29,我的事情和你没关系,
NekoArgument.Neko.30,闭嘴,
NekoArgument.Typing.18.2,/不回,
NekoArgument.Typing.32,我把你当成了真正的好朋友,
NekoArgument.Typing.33,我只是想和你平等地相处而已,
NekoArgument.Typing.34,为什么你总是不把我放在心上呢,
NekoArgument.Neko.35,因为你是个可悲的二次元小丑,
NekoArgument.Neko.36,自说自话地把我当成好朋友,
NekoArgument.Neko.37,我从来没觉得你是好朋友,
NekoArgument.Neko.38,从来都没有,
NekoArgument.Neko.39,世界根本不是你想象的那个样子,
NekoArgument.Neko.40,麻园也不是你想象的样子,
NekoArgument.Neko.41,你太幼稚了,
NekoArgument.Neko.42,什么也不懂，才会喜欢我这种人,
NekoArgument.Neko.43,我也只是利用你的软弱而已,
NekoArgument.Neko.44,让自己有一种优越感,
NekoArgument.Neko.45,这些我他妈都知道,
NekoArgument.Neko.46,我不喜欢男人,
NekoArgument.Neko.47,更不喜欢上班,
NekoArgument.Neko.48,我要骗自己说做什么事情都没意义,
NekoArgument.Neko.49,才能心安理得地摆烂下去,
NekoArgument.Neko.50,我就是一个无可救药，根本什么都不喜欢的废人,
NekoArgument.Neko.51,别再让别人利用你了 Regules,
NekoArgument.Neko.52,也别再和我这种烂人相处了,
NekoArgument.Neko.53,结束吧。,
NekoArgument.Monologue.54,搞砸了……吗？,
