location,source,target
NekoPigeon.Neko.1,re，你明天真来麻园吗？,
NekoPigeon.Monologue.2,……,
NekoPigeon.Monologue.3,偏偏在这种时候。,
NekoPigeon.Monologue.4,Regules 没有回复……,
NekoPigeon.Monologue.5,看来 Regules 还在飞机上。,
NekoPigeon.Neko.6,我先跟你说,
NekoPigeon.Neko.7,我星期天不能和你喝酒,
NekoPigeon.Neko.8,家里给我安排了相亲,
NekoPigeon.Neko.9,那个人条件挺好的,
NekoPigeon.Neko.10,我得去见他,
NekoPigeon.Monologue.11,好过分……,
NekoPigeon.Monologue.12,Regules 的命运为什么如此坎坷。,
NekoPigeon.Monologue.13,这个 Neko 又是谁……,
NekoPigeon.Monologue.14,不过看起来这个 Neko 要放 Regules 鸽子了。,
