location,source,target
NekoRegu.Tips.0,2011年6月22日 09:25,
NekoRegu.Regules.1,Neko 喵~,
NekoRegu.Regules.2,你在做什么哇~,
NekoRegu.Neko.3,在打派,
NekoRegu.Regules.4,最近想不想出去玩~,
NekoRegu.Neko.5,莫？,
NekoRegu.Regules.6,麻园最近不是要办音乐节了嘛,
NekoRegu.Neko.7,哦，你说过两天的那个冬坂音乐节吗？,
NekoRegu.Neko.8,啊啊,
NekoRegu.Neko.9,不想出门啊,
NekoRegu.Neko.10,不想见男人。,
NekoRegu.Regules.11,好吧好吧,
NekoRegu.Regules.12,你上次不是说你想去嘛？,
NekoRegu.Neko.13,是哦！！,
NekoRegu.Neko.14,我差点都忘了,
NekoRegu.Neko.15,草，已经卖完了,
NekoRegu.Regules.16,诶~好可惜呢,
NekoRegu.Neko.17,我觉得你打字还是别用这个波浪号了,
NekoRegu.Neko.18,就,
NekoRegu.Neko.19,挺尬的,
NekoRegu.Neko.20,二十多岁的人了，还叫自己什么什么酱,
NekoRegu.Neko.21,成熟一点,
NekoRegu.Neko.22,好吗宝贝,
NekoRegu.Regules.23,好,
NekoRegu.Regules.24,那你那两天，有什么安排吗,
NekoRegu.Neko.25,我不知道啊,
NekoRegu.Neko.26,这个月的生活费已经花光了,
NekoRegu.Neko.27,有朋友叫我去地台寺那边打麻将,
NekoRegu.Neko.28,有男人,
NekoRegu.Neko.29,不想去。,
NekoRegu.Regules.30,那会待在家里吗？,
NekoRegu.Neko.31,不然呢？,
NekoRegu.Neko.32,好想去冬坂,
NekoRegu.Neko.33,但是我又没钱收黄牛票,
NekoRegu.Neko.34,干脆找个地方喝醉算了,
NekoRegu.Neko.35,啊啊喝醉也要钱,
NekoRegu.Neko.36,啊啊,
NekoRegu.Regules.37,Neko 喵的酒量，喝一杯就醉啦,
NekoRegu.Regules.38,哈哈,
NekoRegu.Regules.39,那我们一起喝醉吧？,
NekoRegu.Neko.40,莫？,
NekoRegu.Regules.41,如果有机会的话，我们就一起喝醉吧,
NekoRegu.Regules.42,就像上次一样,
NekoRegu.Neko.43,哈哈哈哈，好啊,
NekoRegu.Neko.44,毕业以后就没见过面了吧,
NekoRegu.Neko.45,真想叫上 Ada Pam，她们几个再喝一杯,
NekoRegu.Regules.46,她们现在怎么样,
NekoRegu.Regules.47,你们还有联系吗,
NekoRegu.Neko.48,没有了,
NekoRegu.Neko.49,好像是说回家进编制了,
NekoRegu.Neko.50,我记得她们都是大川人吧？,
NekoRegu.Regules.51,好像是,
NekoRegu.Neko.52,啊啊编制好好啊,
NekoRegu.Neko.53,感觉同期生里只有我们两个还是废物了,
NekoRegu.Neko.54,啊啊,
NekoRegu.Neko.55,你还在那个私企上班吗？,
NekoRegu.Regules.56,对,
NekoRegu.Neko.57,私企没有未来的,
NekoRegu.Neko.58,赶快考编制吧,
NekoRegu.Neko.59,现在大环境太差了,
NekoRegu.Regules.60,可是我,
NekoRegu.Regules.61,还是想在这里工作,
NekoRegu.Regules.62,同事们都挺好的,
NekoRegu.Neko.63,私企里能有什么好人啊,
NekoRegu.Neko.64,有本事的人谁会留在一个伊良的单位啊,
NekoRegu.Neko.65,大川只有川烟，川药勉强靠得住,
NekoRegu.Neko.66,我有个表哥进了川药,
NekoRegu.Neko.67,工作又清闲,
NekoRegu.Neko.68,一个月工资有八千多,
NekoRegu.Regules.69,表哥厉害诶,
NekoRegu.Neko.70,这才哪到哪，八千连我爸一个月的利息都不够,
NekoRegu.Regules.71,我在栗岛上班的话,
NekoRegu.Regules.72,我觉得总有一天也能回到麻园的,
NekoRegu.Regules.73,再回到我们一起的时候,
NekoRegu.Neko.74,真别来,
NekoRegu.Neko.75,麻园没什么好的,
NekoRegu.Neko.76,把青春花在更有意义的事情上,
NekoRegu.Neko.77,算了,
NekoRegu.Neko.78,来吧,
NekoRegu.Neko.79,来了我请你喝酒,
NekoRegu.Regules.80,真的吗,
NekoRegu.Neko.81,包的,
NekoRegu.Regules.82,那我明天可以来吗？,
NekoRegu.Neko.83,当然可以宝贝,
NekoRegu.Neko.84,每一天都可以,
NekoRegu.Neko.85,我除了这逼地方还有哪里可去,
NekoRegu.Neko.86,啊，好想去七十九稻羽滑雪啊,
NekoRegu.Neko.87,或者在五茶的海滩边散散步,
NekoRegu.Neko.88,真无聊啊，麻园,
NekoRegu.Regules.89,哈哈，开心一点嘛，宝贝,
NekoRegu.Regules.90,那喝酒的事情就一言为定哦，Neko 喵,
NekoRegu.Neko.91,哦哦，一言为定嘶,
