location,source,target
OutsidePi.InteractTips.1,她的头发和别人好不一样……,
OutsidePi.Pi.2,嘿，少年。,
OutsidePi.Pi.3,嘿，少女。,
OutsidePi.Pi.4,你东张西望是想找个人搭讪打发时间吗？,
OutsidePi.Pi.5,是吧？,
OutsidePi.Miki.6.1,是的。,
OutsidePi.Pi.7,那你算是找对人了。,
OutsidePi.Miki.6.2,我只是路过。,
OutsidePi.Pi.9,是吗，来都来了，陪我了聊两句。,
OutsidePi.Pi.10,我正打算抓一个人来庆祝。,
OutsidePi.Pi.11,为我的麻园之旅划上句号。,
OutsidePi.Pi.12,终于让我等到了啊，抓个落单的人可真不容易，啊哈哈。,
OutsidePi.Miki.13.1,庆祝旅行结束？,
OutsidePi.Pi.14,……嗯，你这样一说也算。,
OutsidePi.Pi.15,主要是庆祝完成了一个重要里程碑。,
OutsidePi.Pi.16,之后又要回到战斗中去咯。,
OutsidePi.Miki.13.2,在这里等很久了吗？,
OutsidePi.Pi.18,也没有那么变态啦。,
OutsidePi.Pi.19,就是这街上到处是成群结队的老人和小孩——,
OutsidePi.Pi.20,以及悲怆的中年人。,
OutsidePi.Miki.21,这个词——,
OutsidePi.Pi.22,没有物色到合适的人选。,
OutsidePi.Pi.23,说起来我从大学城那边一路逛过来——,
OutsidePi.Pi.24,不管来多少次麻园都有新的地点可以探索——,
OutsidePi.Pi.25,这一点很让人着迷啊。,
OutsidePi.Miki.26,那你还走了挺久的。,
OutsidePi.Pi.27,没错，我——走在凯旋的大道上！,
OutsidePi.Pi.28,这就是被我守护的麻园。,
OutsidePi.Pi.29,嗯嗯嗯嗯——,
OutsidePi.Pi.30,你想喝点什么吗？,
OutsidePi.Miki.31.1,在这？,
OutsidePi.Pi.32,哎呀，你想到哪里去了。,
OutsidePi.Pi.33,那不是有个自动贩卖机吗？,
OutsidePi.Pi.34,我是说请你喝罐可乐，乌龙茶啥的。,
OutsidePi.Pi.35,我有个呆瓜男友。,
OutsidePi.Pi.36,……嗯。,
OutsidePi.Miki.31.2,喝什么？,
OutsidePi.Pi.38,随你啊，可乐，乌龙茶啥的都行。,
OutsidePi.Pi.39,你从贩卖机里挑就行，我买单。,
OutsidePi.Miki.40,你可能要失望了。,
OutsidePi.Miki.41,就我对她的了解而言——,
OutsidePi.Miki.42,“我不会让3块钱的罐头占掉我宝贵的冷鲜位。”,
OutsidePi.Miki.43,“罐头饮料没有存在的必要。”,
OutsidePi.Pi.44,哈哈哈，好有个性的店主。,
OutsidePi.Pi.45,我接触过的赛博生命还都——蛮有个性的。,
OutsidePi.Pi.46,不过你最好不要信任网络上来路不明的赛博生命。,
OutsidePi.Pi.47,其实人也一样，网络上，就是什么都有啦。,
OutsidePi.Miki.48.1,受过伤吗？,
OutsidePi.Pi.49,没有，至少没受过赛博生命的，哈哈。,
OutsidePi.Pi.50,我只是认识很多赛博生命。,
OutsidePi.Miki.48.2,你认识很多赛博生命吗？,
OutsidePi.Pi.52,是的，各种各样、千奇百怪的。,
OutsidePi.Pi.53,聪明的，笨蛋的，无聊的，刻薄的。,
OutsidePi.Pi.54,他们是我的生命和我的研究最重要的部分。,
OutsidePi.Miki.55,研究……？,
OutsidePi.Pi.56,啊，咳咳。,
OutsidePi.Pi.57,我的研究很沉重——,
OutsidePi.Pi.58,喝呀——！,
OutsidePi.Pi.59,麻园五区一十三镇都扛在肩上。,
OutsidePi.Pi.60,总之，研究的事情你不知道会比较好。,
OutsidePi.Pi.61,说来，你对赛博生命感兴趣？,
OutsidePi.Pi.62,这两年因为失业搞得大家对赛博生命戾气都蛮重的。,
OutsidePi.Miki.63,我目前还没失业。,
OutsidePi.Pi.64,好耶，那我们快点进入赛博生命话题吧，我正好想找个人聊聊这个！,
OutsidePi.Miki.65,为啥？,
OutsidePi.Pi.66,搞研究闭关快一个星期了。,
OutsidePi.Pi.67,难得出来放放风，想和人分享一下我的想法。,
OutsidePi.Pi.68,虽然我的研究不能告诉你。,
OutsidePi.Pi.69,但是我呢——一直一直——,
OutsidePi.Pi.70,在为了——能被人需要而战斗。,
OutsidePi.Pi.71,这是人类最基本的感情吧！,
OutsidePi.Pi.72,对吧对吧！,
OutsidePi.Miki.73.1,对的。,
OutsidePi.Pi.74,嗯嗯，就是就是——,
OutsidePi.Miki.73.2,不要那么一惊一乍。,
OutsidePi.Pi.76,啊，好的，不好意思。,
OutsidePi.Pi.77,可能很多人都不知道。,
OutsidePi.Pi.78,赛博生命的寿命也是有限的。,
OutsidePi.Pi.79,可能是六十年？或者要更久一点？,
OutsidePi.Pi.80,一开始从网络空间里诞生的那批赛博生命还没有自然死亡。,
OutsidePi.Pi.81,我们的理论也只能推测他们的混沌会归于熵增。,
OutsidePi.Miki.82,开始说我听不懂的话题了。,
OutsidePi.Pi.83,啊哈哈，总之就是还推不出他们的寿命啦。,
OutsidePi.Pi.84,因为生命有限，我们才学会珍惜，对吧？,
OutsidePi.Miki.85.1,你说得对。,
OutsidePi.Pi.86,嗯嗯！,
OutsidePi.Miki.85.2,不对。,
OutsidePi.Miki.88,这两者好像不构成因果关系。,
OutsidePi.Pi.89,……嗯。好，可能吧。,
OutsidePi.Miki.85.3,不清楚。,
OutsidePi.Miki.91,我根本没有参透生命和珍惜。,
OutsidePi.Pi.92,哈哈哈，知道自己没有参透也是一种参透。,
OutsidePi.Pi.93,我也不是说参透啦，就是——,
OutsidePi.Pi.94,我认识很多赛博生命，他们……,
OutsidePi.Pi.95,他们成长得太快、太不可思议了。,
OutsidePi.Pi.96,我们都，要怎么说……很不成熟吧？,
OutsidePi.Pi.97,有一个赛博生命为了逃避家族的使命跑来找我们。,
OutsidePi.Miki.98,我们？,
OutsidePi.Pi.99,呃，你可以理解成我们是一个……,
OutsidePi.Pi.100,……爱好者组织。,
OutsidePi.Pi.101,不是所有赛博生命都是从以太烟囱里蹦出来的。,
OutsidePi.Pi.102,很多赛博生命是父母交换混沌地址以后诞生的，比如我刚刚说那个。,
OutsidePi.Pi.103,有很多证据证明交换混沌地址很危险、不稳定。,
OutsidePi.Pi.104,可能直接导致双方的预期寿命减少和死亡。,
OutsidePi.Pi.105,以我做过的调查推理，其实赛博生命是不受生物交配本能驱使的。,
OutsidePi.Pi.106,也就是说，确实有赛博生命是因为对未来的信任，对美好的期望诞生的。,
OutsidePi.Pi.107,……,
OutsidePi.Miki.108,……,
OutsidePi.Pi.109,归根到底人和赛博生命都很脆弱。,
OutsidePi.Pi.110,主动脉的血管加上皮肤才几毫米。,
OutsidePi.Miki.111,话题转变好快。,
OutsidePi.Pi.112,哈哈……这个世界就是美丽又残酷啊。,
OutsidePi.Pi.113,人和赛博生命都——,
OutsidePi.Pi.114,很容易……很容易就会失去……,
OutsidePi.Pi.115,重要的人。,
OutsidePi.Miki.116,发生什么了吗？,
OutsidePi.Pi.117,……嗯，没什么啦，我以前崇敬的前辈……离开了。,
OutsidePi.Pi.118,希望——哽——希望自己可以。,
OutsidePi.Pi.119,可以不要辜负一起战斗的同伴吧。,
OutsidePi.Pi.120,哈哈哈，对你说了莫名其妙的话。,
OutsidePi.Miki.121.1,没关系。,
OutsidePi.Pi.122,……嗯，谢了。,
OutsidePi.Miki.121.2,我没在听。,
OutsidePi.Pi.124,哼，冷酷小妞。,
OutsidePi.Pi.125,哼，冷酷小子。,
OutsidePi.Pi.126,想我家芙芙了，该回家了。,
OutsidePi.Pi.127,顺带一提，芙芙是我的家养小混蛋，俗称喵喵。,
OutsidePi.Miki.128,猫好人坏。,
OutsidePi.Pi.129,哈哈——,
OutsidePi.Pi.130,如果还有缘分再见的话——,
OutsidePi.Miki.131,……,
OutsidePi.Pi.132,请你喝大川龙舌兰。,
OutsidePi.Miki.133.1,好。,
OutsidePi.Pi.134,那就一言为定！,
