"location","source","target"
"﻿OutsideSella.InteractTips","咖啡好像已经卖完了……","咖啡好像已经卖完了……"
"OutsideSella.Sella.1","欢迎光——临！829 咖啡！","欢迎光——临！829 咖啡！"
"OutsideSella.Sella.2","不过今天已经卖光啦。","不过今天已经卖光啦。"
"OutsideSella.Miki.3.1","你好，宝贝。","你好，宝贝。"
"OutsideSella.Sella.4","……",""
"OutsideSella.Sella.5","脑子没问题吧，你这个人。","脑子没问题吧，你这个人。"
"OutsideSella.Sella.6","本来还觉得你有点可爱。","本来还觉得你有点可爱。"
"OutsideSella.Sella.7","搭讪的话，不要说这种台词比较好哦。","搭讪的话，不要说这种台词比较好哦。"
"OutsideSella.Miki.8.1","要怎么说比较好？","要怎么说比较好？"
"OutsideSella.Miki.8.2","不回。","不回。"
"OutsideSella.Sella.10","一般会用，“你下班之后有空吗？”，来起手吧。","一般会用，“你下班之后有空吗？”，来起手吧。"
"OutsideSella.Miki.11","起手……","起手……"
"OutsideSella.Sella.12","啊，我是说一般会这样开始啦。","啊，我是说一般会这样开始啦。"
"OutsideSella.Miki.13","你下班之后有空吗？","你下班之后有空吗？"
"OutsideSella.Sella.14","我今天不下班捏。","我今天不下班捏。"
"OutsideSella.Miki.15","……",""
"OutsideSella.Sella.16","哦吼吼，开玩笑的。","哦吼吼，开玩笑的。"
"OutsideSella.Sella.17","闹个气氛。","闹个气氛。"
"OutsideSella.Miki.3.2","那你为什么还在？","那你为什么还在？"
"OutsideSella.Miki.19","不想下班吗？","不想下班吗？"
"OutsideSella.Sella.20","唉，想下不能下啊。","唉，想下不能下啊。"
"OutsideSella.Sella.21","我家力工 Max，陷入了失恋的烦恼。","我家力工 Max，陷入了失恋的烦恼。"
"OutsideSella.Sella.22","据说是被暧昧对象拉扯了。","据说是被暧昧对象拉扯了。"
"OutsideSella.Sella.23","现在还在店里的厕所哭。","现在还在店里的厕所哭。"
"OutsideSella.Sella.101","没有他的话我一个人收摊可有点困难。","没有他的话我一个人收摊可有点困难。"
"OutsideSella.Sella.24","但是话又说回来啊，话又说回来——","但是话又说回来啊，话又说回来——"
