location,source,target
PiBack.Typing.1,我回来了,
PiBack.Pi.2,欢迎~,
PiBack.Pi.3,还要继续刚刚的话题吗,
PiBack.Typing.4,好,
PiBack.Pi.5,虽然刚刚是说了不重要,
PiBack.Pi.6,我想听听你的看法，关于Li,
PiBack.Pi.7,其实在我变成赛博生命以前,
PiBack.Pi.8,我一直在找机会和他提分手,
PiBack.Pi.9,我甚至有些时候觉得要是他出轨就好了,
PiBack.Pi.10,在他和我说要对我敞开心扉的时候,
PiBack.Pi.11,我也觉得他是要和我提分手,
PiBack.Pi.12,怎么说,
PiBack.Pi.13,我很害怕，没有他的话,
PiBack.Pi.14,我可能连内网都出不来,
PiBack.Pi.15,那一瞬间我觉得自己是个不好的人,
PiBack.Pi.16,我想要利用别人,
PiBack.Typing.17,你们之间发生了什么？,
PiBack.Pi.18,什么也没发生,
PiBack.Pi.19,真,
PiBack.Pi.20,什么也没发生,
PiBack.Pi.21,我们一起上大学一起读研,
PiBack.Pi.22,他学的化学，我学的物理,
PiBack.Pi.23,我陪他看些无聊的电影，然后我们去酒吧喝酒,
PiBack.Pi.24,我喝醉了以后他推着轮椅送我回家,
PiBack.Pi.25,那个是真的很浪漫,
PiBack.Pi.26,哈哈哈哈,
PiBack.Pi.27,之后我们考到一起读生物,
PiBack.Pi.28,就这样平平淡淡,
PiBack.Pi.29,除了 MaLow 那个傻逼,
PiBack.Pi.30,生活乏味得像一坨狗屎,
PiBack.Pi.31,为了躲开他我转专业去了计科,
PiBack.Pi.32,我是说 MaLow,
PiBack.Pi.33,加入了神之域超门,
PiBack.Pi.34,认识了很多伙伴,
PiBack.Pi.35,我一开始对赛博生命也没什么特别的感觉,
PiBack.Pi.36,那是第一次有人需要我,
PiBack.Pi.37,不是以恋人、家人、朋友的身份,
PiBack.Pi.38,我的家人烂透了,
PiBack.Pi.39,我又是个刻薄到没朋友的人,
PiBack.Pi.40,但是，是力量啊！,
PiBack.Pi.41,那个浅薄、懦弱、唯利是图的我,
PiBack.Pi.42,第一次觉得自己能改变什么，能把握什么,
PiBack.Pi.43,神之域超门的需要让我觉得我真的有了力量,
PiBack.Pi.44,我说明白这种感觉了吗，MIki,
PiBack.Typing.45.1,说明白了,
PiBack.Pi.46,谢谢你,
PiBack.Typing.45.2,我能理解,
PiBack.Pi.48,谢谢你,
PiBack.Typing.45.3,不太明白,
PiBack.Pi.50,好吧，这有点难说明白,
PiBack.Pi.51,不过也不重要,
PiBack.Pi.52,你已经够了解我了,
PiBack.Pi.53,替我做决定吧,
PiBack.Monologue.54,> 接下来的选择可能会影响到 Li 和 Pi 的未来请谨慎选择。,
PiBack.Typing.55.1,你应该答应他。,
PiBack.Think.100,Li 好像还挺深情的……,
PiBack.Typing.55.2,你应该拒绝他。,
PiBack.Think.101,Pi 说过她想分手……,
PiBack.Pi.57,嗯,
PiBack.Pi.58,我明白了,
PiBack.Pi.59,让我想想怎么和他说吧,
PiBack.Pi.60,总之要谢谢你，Miki,
PiBack.Pi.61,很高兴能认识你,
PiBack.Pi.62,说完这些事情我要关机休息一阵子,
PiBack.Pi.63,别找我,
PiBack.Pi.64,除非你找到 Njordarchaeota 了,
PiBack.Pi.65,他很重要,
PiBack.Pi.66,晚安，Mies Van der,
PiBack.Typing.67.1,晚安,
PiBack.Typing.67.2,不回,
