"location","source","target"
"﻿PiMiki.Pi.1","你是谁？","你是谁？"
"PiMiki.Typing.2.1","什么？",""
"PiMiki.Typing.2.2","我是 MaLow","我是 MaLow"
"PiMiki.Pi.4","你不是 MaLow","你不是 MaLow"
"PiMiki.Typing.2.3","我是Miki","我是Miki"
"PiMiki.Pi.6","这是你的代号吗？","这是你的代号吗？"
"PiMiki.Pi.7","为什么你在用神之域超门的后端","为什么你在用神之域超门的后端"
"PiMiki.Monologue.101","居然是从我的账号来的消息……","居然是从我的账号来的消息……"
"PiMiki.Monologue.8","神之域超门又是什么东西……？","神之域超门又是什么东西……？"
"PiMiki.todo.101","搞清楚 Pi 在干什么","搞清楚 Pi 在干什么"
"PiMiki.todo.102","Pi 暂时住在了我的电脑里","Pi 暂时住在了我的电脑里"
"PiMiki.Pi.9","Njordarchaeota？","Njordarchaeota？"
"PiMiki.Pi.10","是你吗？","是你吗？"
"PiMiki.Typing.11","我听不懂你在说什么","我听不懂你在说什么"
"PiMiki.Pi.12","是我啊，Baldrarchaeia","是我啊，Baldrarchaeia"
"PiMiki.Pi.13","不管你是谁","不管你是谁"
"PiMiki.Pi.14","对不起伙伴","对不起伙伴"
"PiMiki.Pi.15","现在来不及说那么多了","现在来不及说那么多了"
"PiMiki..16","Pi强控miki的电脑","Pi强控miki的电脑"
"PiMiki.Monologue.17","喂喂喂。","喂喂喂。"
"PiMiki.Monologue.18","能别吗，一言不合就控制我的电脑。","能别吗，一言不合就控制我的电脑。"
"PiMiki.Pi.19","Break_Over","Break_Over"
"PiMiki.Pi.20","error: can't find reference",""
"PiMiki.Pi.21","Pop_Over","Pop_Over"
"PiMiki.Pi.22","error: can't find reference","error: can't find reference"
"PiMiki.Pi.23","Verify_Space","Verify_Space"
"PiMiki.Pi.24","confirmed, Njordarchaeota","confirmed, Njordarchaeota"
"PiMiki.Pi.25","你有什么头绪吗？","你有什么头绪吗？"
"PiMiki.Typing.26.1","我是电脑白痴","我是电脑白痴"
"PiMiki.Typing.26.2","我只能看着我能有什么头绪","我只能看着我能有什么头绪"
"PiMiki.Typing.26.3","你的伪代码漏洞百出","你的伪代码漏洞百出"
"PiMiki.Pi.27","别用二进制大脑来理解三进制网络","别用二进制大脑来理解三进制网络"
"PiMiki.Pi.28","这么说你不是赛博生命","这么说你不是赛博生命"
"PiMiki.Typing.29","不是","不是"
"PiMiki.Pi.30","我好像有点头绪了","我好像有点头绪了"
"PiMiki.Pi.31","你是 Njordarchaeota 提到过的共犯 Valiarchaeia","你是 Njordarchaeota 提到过的共犯 Valiarchaeia"
"PiMiki.Pi.32","你能联系到他吗？","你能联系到他吗？"
"PiMiki.Typing.33","从一开始我就没听懂你在说什么","从一开始我就没听懂你在说什么"
"PiMiki.Typing.34","你和Li那一段倒是懂了","你和Li那一段倒是懂了"
"PiMiki.Typing.35","从这个N开头的什么东西","从这个N开头的什么东西"
"PiMiki.Typing.36.1","我就完全不懂","我就完全不懂"
"PiMiki.Typing.36.2","难道是 Nil……？","难道是 Nil……？"
"PiMiki.Pi.38","我查一下","我查一下"
"PiMiki.Pi.39","嗯，就是你通讯录里的 Nil","嗯，就是你通讯录里的 Nil"
"PiMiki.Pi.40","行动代号，Njordarchaeota","行动代号，Njordarchaeota"
"PiMiki.Typing.41.1","二次元同好会？","二次元同好会？"
"PiMiki.Typing.41.2","赛博生命组织?","赛博生命组织?"
"PiMiki.Pi.43","先别说这个了","先别说这个了"
"PiMiki.Pi.44","你能联系到这个 Nil 吗?","你能联系到这个 Nil 吗?"
"PiMiki.Typing.45","联系不上","联系不上"
"PiMiki.Typing.46","他今天突然失联了","他今天突然失联了"
"PiMiki.Pi.47","连 Njordarchaeota 也失败了吗","连 Njordarchaeota 也失败了吗"
"PiMiki.Pi.48","我知道这对你可能有点难以接受","我知道这对你可能有点难以接受"
"PiMiki.Pi.49","我和 Nil，我们是赛博生命组织的成员","我和 Nil，我们是赛博生命组织的成员"
"PiMiki.Typing.50.1","这其实还好吧","这其实还好吧"
"PiMiki.Typing.51","我对赛博生命没什么偏见","我对赛博生命没什么偏见"
"PiMiki.Typing.50.2","我不喜欢赛博生命","我不喜欢赛博生命"
"PiMiki.Pi.53","好吧","好吧"
"PiMiki.Typing.50.3","/表情：泪目","/表情：泪目"
"PiMiki.Pi.301","你可能得做好一些准备","你可能得做好一些准备"
"PiMiki.Pi.302","麻园真的会变天的","麻园真的会变天的"
"PiMiki.Typing.303","这到底是什么意思？","这到底是什么意思？"
"PiMiki.Pi.304","既然他没有跟你说明白，我也不能说明白","既然他没有跟你说明白，我也不能说明白"
"PiMiki.Typing.305","靠","靠"
"PiMiki.Pi.306","我不想这样的","我不想这样的"
"PiMiki.Pi.307","我们在策划一次对 TT 的行动","我们在策划一次对 TT 的行动"
"PiMiki.Pi.308","呃……我就是","呃……我就是"
"PiMiki.Pi.309","突然听着音乐睡着了","突然听着音乐睡着了"
"PiMiki.Pi.310","醒来以后就找不到我的两个伙伴了","醒来以后就找不到我的两个伙伴了"
"PiMiki.Pi.311","也许我们会需要你的帮助","也许我们会需要你的帮助"
"PiMiki.Pi.312","Nil 会需要你的帮助","Nil 会需要你的帮助"
"PiMiki.Typing.313","我没搞明白为什么","我没搞明白为什么"
"PiMiki.Pi.55","我现在暂时弄丢了自己的身体","我现在暂时弄丢了自己的身体"
"PiMiki.Pi.56","意识被困在了你刚刚监视过的那个","意识被困在了你刚刚监视过的那个"
"PiMiki.Pi.57","大打印机啦啦啦","大打印机啦啦啦"
"PiMiki.Pi.58","那个群里","那个群里"
"PiMiki.Pi.59","我本来想借 MaLow 的账号连接到外网去","我本来想借 MaLow 的账号连接到外网去"
"PiMiki.Pi.60","找到组织里的同伴，当然直接找到 Nil 是最好","找到组织里的同伴，当然直接找到 Nil 是最好"
"PiMiki.Pi.61","让他帮我把意识再输入回身体里","让他帮我把意识再输入回身体里"
"PiMiki.Typing.62","这确实有点超前","这确实有点超前"
"PiMiki.Pi.63","既然我已经是现在的状态","既然我已经是现在的状态"
"PiMiki.Pi.64","那么","那么"
"PiMiki.Pi.65","说明未来已至","说明未来已至"
"PiMiki.Pi.66","他们很可能已经开始行动了","他们很可能已经开始行动了"
"PiMiki.Pi.201","我得尽快回到他们身边","我得尽快回到他们身边"
"PiMiki.Typing.67","真的能做到吗？","真的能做到吗？"
"PiMiki.Typing.68","我是说","我是说"
"PiMiki.Typing.69","你怎么能确定你曾经有一个","你怎么能确定你曾经有一个"
"PiMiki.Typing.70","呃，实际的身体","呃，实际的身体"
"PiMiki.Pi.71","大哥，我有一个男朋友","大哥，我有一个男朋友"
"PiMiki.Pi.72","我们做过","我们做过"
"PiMiki.Pi.73","什么触摸","什么触摸"
"PiMiki.Pi.74","染发","染发"
"PiMiki.Pi.75","香水","香水"
"PiMiki.Pi.76","我有这些回忆好吗","我有这些回忆好吗"
"PiMiki.Typing.77","我明白了","我明白了"
"PiMiki.Typing.78","但是你","但是你"
"PiMiki.Typing.79.1","为什么不借 Li 的账号","为什么不借 Li 的账号"
"PiMiki.Pi.80","他的账号应该也早就被 TT 盯上了","他的账号应该也早就被 TT 盯上了"
"PiMiki.Pi.81","跑不出去","跑不出去"
"PiMiki.Typing.79.2","为什么不借 Nil 的账号","为什么不借 Nil 的账号"
"PiMiki.Pi.83","我能联系到的，仅有那个群里面的3个人而已","我能联系到的，仅有那个群里面的3个人而已"
"PiMiki.Pi.84","其中还有两个 MaLow","其中还有两个 MaLow"
"PiMiki.Typing.79.3","为什么不借我的","为什么不借我的"
"PiMiki.Pi.86","你在 Nil 做出的一个内网里，没有权限的话","你在 Nil 做出的一个内网里，没有权限的话"
"PiMiki.Pi.87","我出不去","我出不去"
"PiMiki.Pi.88","唉，算了，至少算是转移到了一个安全的地方","唉，算了，至少算是转移到了一个安全的地方"
"PiMiki.Pi.351","不过我说句题外话，你这的算量是真难吃啊","不过我说句题外话，你这的算量是真难吃啊"
"PiMiki.Pi.352","你这电脑哪搞来的啊 CPU 居然是奔驰 4 吗","你这电脑哪搞来的啊 CPU 居然是奔驰 4 吗"
"PiMiki.Pi.353","这颗 U 年纪怕是比我都大","这颗 U 年纪怕是比我都大"
"PiMiki.Typing.354","这是我第一年的年终奖","这是我第一年的年终奖"
"PiMiki.Typing.355","它寄托着千年虫的思念","它寄托着千年虫的思念"
"PiMiki.Pi.356","草，竟然还有比学院心更黑的地方","草，竟然还有比学院心更黑的地方"
"PiMiki.Pi.357","我在学院里都用上苹果核了，虽然是老型号低端系列I5","我在学院里都用上苹果核了，虽然是老型号低端系列I5"
"PiMiki.Pi.358","用你这个电脑搞出来的算量吃着像油炸蟑螂","用你这个电脑搞出来的算量吃着像油炸蟑螂"
"PiMiki.Typing.359","你吃过油炸蟑螂吗","你吃过油炸蟑螂吗"
"PiMiki.Pi.360","没有","没有"
"PiMiki.Pi.361","但是我用过蟑螂提取的牙膏","但是我用过蟑螂提取的牙膏"
"PiMiki.Typing.362.1","可以了","可以了"
"PiMiki.Pi.363","好的",""
"PiMiki.Typing.362.2","味道怎么样？","味道怎么样？"
"PiMiki.Pi.365","怎么说呢","怎么说呢"
"PiMiki.Pi.366","对我来说，非常好吃","对我来说，非常好吃"
"PiMiki.Pi.367","但是没有味道","但是没有味道"
"PiMiki.Pi.368","得了","得了"
"PiMiki.Pi.89","今天这些事情已经把我搞得筋疲力尽了","今天这些事情已经把我搞得筋疲力尽了"
"PiMiki.Pi.1101","还是没有完全适应这个新身体啊","还是没有完全适应这个新身体啊"
"PiMiki.Typing.1102","我有点明白你们为什么能走到一起了","我有点明白你们为什么能走到一起了"
"PiMiki.Pi.1103","和谁走到一起，Nj 吗？为什么？","和谁走到一起，Nj 吗？为什么？"
"PiMiki.Typing.1104","因为科学","因为科学"
"PiMiki.Pi.1105","科学吗，我们仨应该都算是干工程的","科学吗，我们仨应该都算是干工程的"
"PiMiki.Pi.1106","我看纯理论的东西偶尔会脑仁疼","我看纯理论的东西偶尔会脑仁疼"
"PiMiki.Pi.1107","一周三四次吧","一周三四次吧"
"PiMiki.Pi.1108","总之","总之"
"PiMiki.Typing.1109","因为中二","因为中二"
"PiMiki.Pi.1110","我其实还好","我其实还好"
"PiMiki.Pi.1111","比起 Njordarchaeota 的话","比起 Njordarchaeota 的话"
"PiMiki.Typing.1112","这个名字是谁起的","这个名字是谁起的"
"PiMiki.Typing.1113","你一直在复制粘贴这一长串对吧？","你一直在复制粘贴这一长串对吧？"
"PiMiki.Pi.1114","嘘，这些都是秘密，好了","嘘，这些都是秘密，好了"
"PiMiki.Pi.1115","我暂时留在你的电脑里休息一阵子","我暂时留在你的电脑里休息一阵子"
"PiMiki.Typing.90.1","估计等他酒醒了就会回来的","估计等他酒醒了就会回来的"
"PiMiki.Pi.91","他喝酒吗？","他喝酒吗？"
"PiMiki.Typing.92","你不知道？","你不知道？"
"PiMiki.Pi.93","我们没见过面","我们没见过面"
"PiMiki.Monologue.94","这小子好神秘……","这小子好神秘……"
"PiMiki.Monologue.95","谁都没有见过他吗……？","谁都没有见过他吗……？"
"PiMiki.Pi.96","作为我的房租","作为我的房租"
"PiMiki.Typing.90.2","能别擅自进我的电脑吗？","能别擅自进我的电脑吗？"
"PiMiki.Pi.98","这个应该够了吧","这个应该够了吧"
"PiMiki.Monologue.99","没想到赛博生命还挺有钱的。","没想到赛博生命还挺有钱的。"
"PiMiki.Monologue.100","我要不改行开赛博生命酒店？","我要不改行开赛博生命酒店？"
"PiMiki.Typing.101.1","够了","够了"
"PiMiki.Pi.102","好的",""
"PiMiki.Typing.101.2","你要不多住两天","你要不多住两天"
"PiMiki.Pi.104","我还得赶快找回我的身体啊","我还得赶快找回我的身体啊"
"PiMiki.Pi.1301","万一我的账号被银行冻了，","万一我的账号被银行冻了，"
"PiMiki.Pi.1302","就完蛋了","就完蛋了"
"PiMiki.Typing.1303","为什么会被冻","为什么会被冻"
"PiMiki.Pi.1304","不知道，因为帮着我导虚开发票，非法经营吧","不知道，因为帮着我导虚开发票，非法经营吧"
"PiMiki.Pi.1305","和赛博生命沾边很容易被冻","和赛博生命沾边很容易被冻"
"PiMiki.Pi.1306","要持本人身份证去解","要持本人身份证去解"
"PiMiki.Pi.105","你如果在想开赛博生命酒店的事情","你如果在想开赛博生命酒店的事情"
"PiMiki.Pi.106","最好还是打住","最好还是打住"
"PiMiki.Pi.107","我已经从各种方面验证过了","我已经从各种方面验证过了"
"PiMiki.Pi.108","就算不被网络警察抓住","就算不被网络警察抓住"
"PiMiki.Pi.109","收益率也非常之低","收益率也非常之低"
"PiMiki.Pi.110","不如拿去买虚拟货币","不如拿去买虚拟货币"
"PiMiki.Typing.111.1","我前几天刚遇到一个虚拟货币爆掉的","我前几天刚遇到一个虚拟货币爆掉的"
"PiMiki.Pi.112","是吗",""
"PiMiki.Typing.111.2","那个真的能赚钱吗","那个真的能赚钱吗"
"PiMiki.Pi.114","当然不能","当然不能"
"PiMiki.Typing.111.3","有内幕吗","有内幕吗"
"PiMiki.Pi.116","我如果有，我自己为什么不买呢","我如果有，我自己为什么不买呢"
"PiMiki.Pi.117","我的意思是说","我的意思是说"
"PiMiki.Pi.118","至少虚拟货币会给你一个痛快的","至少虚拟货币会给你一个痛快的"
