location,source,target
RolandSendPic.Roland.1,弄好了，你看下,
RolandSendPic.Roland.2,你说的两个方案都起了个草图,
RolandSendPic.Roland.3,我感觉都还行,
RolandSendPic.Roland.4,[PNG],
RolandSendPic.Roland.5,[PNG],
RolandSendPic.Monologue.6,靠……原来一直没回他。,
RolandSendPic.Typing.7.1,我觉得第一个比较好,
RolandSendPic.Typing.7.2,我觉得第二个比较好,
RolandSendPic.Roland.9,行，那我就接着细化了,
RolandSendPic.Roland.10,刚才有点着急了，对不起啊,
RolandSendPic.Monologue.11,没想到这小子还挺温柔嘛。,
RolandSendPic.Typing.12.1,没关系,
RolandSendPic.Typing.12.2,/表请:OK,
RolandSendPic.Typing.14,对了,
RolandSendPic.Typing.15,你觉得 Mo 怎么样啊？,
RolandSendPic.Roland.16,还行吧，平面做得还可以,
RolandSendPic.Roland.17,不过配色感觉有点出挑,
RolandSendPic.Roland.18,他喜欢用些饱和度高的颜色,
RolandSendPic.Roland.19,我是不太喜欢,
RolandSendPic.Roland.20,可能贝壳湖的用户吃这一套吧,
RolandSendPic.Typing.21,不不，我没说平面设计,
RolandSendPic.Typing.22,我的意思是他的人啊,
RolandSendPic.Roland.23,人？人就是人呗,
RolandSendPic.Roland.24,哦，懂了，Regu 酱要搞宫斗啊,
RolandSendPic.Typing.25.1,是的,
RolandSendPic.Typing.26,刀斧手已经安排在工作群,
RolandSendPic.Typing.25.2,不是,
RolandSendPic.Typing.28,只是随便问问,
RolandSendPic.Roland.29,我只能说,
RolandSendPic.Roland.30,在宫斗的时候选择了我就等于选择投降,
RolandSendPic.Roland.31,真别宫斗,
RolandSendPic.Roland.32,斗死多少英雄豪杰，大浪淘沙,
RolandSendPic.Roland.33,言尽于此，我搬砖去了,
RolandSendPic.Typing.34.1,好吧,
RolandSendPic.Typing.34.2,好的，辛苦了,
