location,source,target
SakeOutside.Miki.1,……,
SakeOutside.Miki.2,……,
SakeOutside.Miki.3,吸——,
SakeOutside.Miki.4,呼————,
SakeOutside.Sake.5,吸——,
SakeOutside.Sake.6,今天不用去公司吗？,
SakeOutside.Miki.7,这都八点了，还去公司啊。,
SakeOutside.Sake.8,哦。,
SakeOutside.Sake.9,呼——,
SakeOutside.Sake.10,你以前不是要上到十点吗？,
SakeOutside.Miki.11,盼我点好行不行，我才从电厂坐了三天牢回来。,
SakeOutside.Sake.501,电厂？爱意山那个？,
SakeOutside.Miki.502,爱意山……哦，对，就是那个。,
SakeOutside.Miki.503,（从电厂的高速口出去就是爱意山……）,
SakeOutside.Miki.504,（去了两次电厂我都没机会去……）,
SakeOutside.Miki.505,（每次都是被分包拉着往回城的方向开……）,
SakeOutside.Miki.506,（要是我会开车就好了……）,
SakeOutside.Miki.507,（山的这边铺了好多光伏板，日落的时候全都被染成橙红色。）,
SakeOutside.Miki.508,（橙红色的光还能发电吗？）,
SakeOutside.Miki.509,（……看到那个光差不多就要被分包叫去吃饭了。）,
SakeOutside.Miki.510,（看他们演中年人样板戏……完全没有食欲。）,
SakeOutside.Sake.511,Miki。,
SakeOutside.Miki.512,（演完戏太阳也都落完了。）,
SakeOutside.Sake.513,诶，Miki，诶、诶。,
SakeOutside.Miki.514,（是哦，爱意山是在日落的方向啊。）,
SakeOutside.Sake.515,Miki。,
SakeOutside.Miki.516,（靠，想着电厂的事情分心了。没注意到 Sake 在和我说话。）,
SakeOutside.Miki.517,啊。,
SakeOutside.Sake.518,心不在焉啊，你有点儿，最近……,
SakeOutside.Sake.519,最近……状况不好吗？,
SakeOutside.Miki.520,倒也没有。,
SakeOutside.Sake.521,……,
SakeOutside.Sake.522,我刚说，电厂咋样啊？,
SakeOutside.Miki.523,还不错。,
SakeOutside.Miki.524,落日很漂亮，也没有特别忙。,
SakeOutside.Miki.525,就是没什么事可做有点无聊。,
SakeOutside.Sake.526,那听着还行。,
SakeOutside.Miki.527,不怎么样。,
SakeOutside.Miki.528,无所事事，只有虚伪的应付。,
SakeOutside.Sake.529,哈哈，挺辛苦。,
SakeOutside.Sake.530,他们说，爱意山那块儿有个植物园。,
SakeOutside.Sake.531,说是有麻园最强的中庭和回廊，干环艺和建筑的都得去朝圣。,
SakeOutside.Miki.532,走呗。,
SakeOutside.Sake.533,哈哈哈，好。,
SakeOutside.Sake.534,等过阵子咱一块儿去。,
SakeOutside.Miki.535,这阵子怎么了吗？,
SakeOutside.Miki.536,你又不干建筑。,
SakeOutside.Sake.537,也是这么回事儿哈。,
SakeOutside.Sake.538,干什么的日子都不好过哦。,
SakeOutside.Miki.539,发生什么了吗？,
SakeOutside.Sake.15,我刚刚输掉了一场重要的宫斗。,
SakeOutside.Miki.16.1,怎么回事？,
SakeOutside.Miki.16.2,丢掉了重要的工具吗？,
SakeOutside.Sake.301,……,
SakeOutside.Sake.18,你给我吓一激灵。,
SakeOutside.Sake.19,我好像过了那个开下流玩笑的年纪了……,
SakeOutside.Sake.20,说来话长。,
SakeOutside.Sake.21,不说也罢。,
SakeOutside.Miki.22,……,
SakeOutside.Sake.23,……,
SakeOutside.Sake.24,Ben 要离开麻园了。,
SakeOutside.Miki.25,他已经走了。,
SakeOutside.Miki.26,上周。,
SakeOutside.Miki.200,而且是我告诉你的。,
SakeOutside.Sake.27,靠。,
SakeOutside.Sake.201,我给忘得死死的。,
SakeOutside.Miki.28,所以宫斗是什么情况？,
SakeOutside.Sake.29,我们公司要裁员。,
SakeOutside.Sake.30,吸——,
SakeOutside.Sake.31,正好我手下面的主力 UI，就是 Karo，他是赛博生命。,
SakeOutside.Sake.32,本来说瞒一瞒，别被 TT 查到就好。,
SakeOutside.Sake.33,被他娘的隔壁组举报了。,
SakeOutside.Sake.34,我*他丫的！,
SakeOutside.Sake.35,跟**谁啊？,
SakeOutside.Miki.36,骂他！,
SakeOutside.Sake.37,*他大爷。,
SakeOutside.Miki.38,你先别急。,
SakeOutside.Sake.39,……,
SakeOutside.Sake.202,就这么档子事儿。,
SakeOutside.Sake.40,完了顺带着我们一个组都被裁了。,
SakeOutside.Miki.41,那你女儿怎么办？,
SakeOutside.Sake.42,我女儿又没被裁。,
SakeOutside.Sake.43,我顺带拿了个离职大礼包。,
SakeOutside.Miki.44,（这么说可以找他借钱了……）,
SakeOutside.Sake.46,二十万。,
SakeOutside.Sake.47,够我歇一阵。,
SakeOutside.Miki.48.1,所以你还是只约我到街边抽烟。,
SakeOutside.Sake.49,哈哈哈哈。,
SakeOutside.Sake.50,你小子。,
SakeOutside.Sake.51,走呗，上六天马或者天角那块儿整点儿。,
SakeOutside.Sake.52,我请客。,
SakeOutside.Miki.53,不了。我一会儿还得回去兼职。,
SakeOutside.Miki.48.2,恭喜你。,
SakeOutside.Sake.55,我打算搬个家。,
SakeOutside.Sake.56,搬到湾区那边儿去。,
SakeOutside.Miki.57.1,湾儿区。,
SakeOutside.Sake.58,什么鬼口音。,
SakeOutside.Miki.59,湾儿区儿，哈哈。,
SakeOutside.Sake.60,湾和区都不加儿化音，边才加。,
SakeOutside.Miki.61,我知道，我只是突然想这么说。,
SakeOutside.Miki.57.2,老搬家对孩子成长不利。,
SakeOutside.Miki.63,心理学是这么说的。,
SakeOutside.Sake.64,这就是你的刻板印象了。,
SakeOutside.Sake.65,Sue可喜欢搬家了。,
SakeOutside.Miki.57.3,为啥搬家？,
SakeOutside.Miki.67,你不是原来住在六天马那边吗？,
SakeOutside.Sake.68,害，早不住啦。,
SakeOutside.Sake.69,我奶走了就不住了。,
SakeOutside.Sake.70,和那两口子对付不来。,
SakeOutside.Miki.71,哪两口子？,
SakeOutside.Sake.72,我爸妈呗。,
SakeOutside.Sake.73,他们对 Sue 不好。,
SakeOutside.Sake.74,我们在光桥住了一段儿。,
SakeOutside.Sake.75,又在虹山住了一段儿。,
SakeOutside.Sake.76,Sue 说想搬到一个能看见海的地方。,
SakeOutside.Sake.77,正好我有笔钱。在世罗海那边租个一户建。,
SakeOutside.Miki.78,她很喜欢海吗？,
SakeOutside.Sake.79,她喜欢个屁，她就喜欢玩电脑。,
SakeOutside.Sake.80,还喜欢画房子。,
SakeOutside.Miki.81.1,接过。,
SakeOutside.Miki.82,谢谢。,
SakeOutside.Miki.81.2,不接。,
SakeOutside.Miki.84,谢谢，我已经够了。,
SakeOutside.Miki.85,再抽下去会影响我们的 SERO 分级。,
SakeOutside.Sake.86,哈哈，什么乱七八糟。,
SakeOutside.Sake.87,要分级也不差这两根儿。,
SakeOutside.Sake.88,说不定她以后和你一样当个建筑师。,
SakeOutside.Miki.89.1,最好还是别。,
SakeOutside.Miki.89.2,欢迎啊。,
SakeOutside.Sake.91,哈哈哈，管她呢，给她换个新电脑让她玩儿呗。,
SakeOutside.Sake.92,还是说说你的事情吧，Miki。,
SakeOutside.Sake.93,我不想变成那种整天只知道炫耀自家闺女的——,
SakeOutside.Sake.94,吸——,
SakeOutside.Sake.95,呼——,
SakeOutside.Sake.96,可悲的中年男人。,
SakeOutside.Sake.97,哪方面的事情？,
SakeOutside.Sake.98,什么方面都可以。,
SakeOutside.Sake.99,聊聊你的感情生活吧。,
SakeOutside.Miki.1001,俩男的有啥可聊？,
SakeOutside.Sake.1002,哈哈，你小子。,
SakeOutside.Sake.1003,没有交什么新朋友吗？在设计院。,
SakeOutside.Miki.100.1,老样子。,
SakeOutside.Miki.101,孤家寡人。,
SakeOutside.Miki.102,一台电脑一盏灯。,
SakeOutside.Sake.103,吸——,
SakeOutside.Sake.104,如果觉得寂寞的话——,
SakeOutside.Sake.105,就多和朋友在一起呗。,
SakeOutside.Sake.106,呼——,
SakeOutside.Miki.100.2,有发展的对象了。,
SakeOutside.Sake.108,吸——,
SakeOutside.Sake.109,呼——,
SakeOutside.Sake.110,……,
SakeOutside.Sake.111,哦，认识了新朋友？,
SakeOutside.Miki.112,也不算是吧。,
SakeOutside.Miki.113,我有个屁的朋友。,
SakeOutside.Miki.114,工作使我麻木发胖。,
SakeOutside.Miki.115,我上大学的时候有过几个酒友。,
SakeOutside.Miki.3001,我们在这根管子这喝了很多酒。,
SakeOutside.Miki.3002,有时候围着路牌跳舞。,
SakeOutside.Miki.116,现在——他们结婚的结婚，回老家的回老家。,
SakeOutside.Miki.117,他们都不在这里了。,
SakeOutside.Miki.3003,只剩下工作让我麻木发胖。,
SakeOutside.Sake.3004,哦，真是一个悲伤的故事。,
SakeOutside.Sake.118,不过我觉得是啤酒的事儿。,
SakeOutside.Miki.119,什么？,
SakeOutside.Sake.120,酒精让人麻木发胖。,
SakeOutside.Miki.121,靠。,
SakeOutside.Sake.122,不过你不胖。,
SakeOutside.Miki.123,我只是麻木了。,
SakeOutside.Sake.124,……,
SakeOutside.Miki.125,……,
SakeOutside.Sake.126,我昨天去给 Kuen 扫墓了。,
SakeOutside.Miki.127,带着 Sue 一起吗？,
SakeOutside.Sake.128,没，我一个人去的。,
SakeOutside.Miki.129,是吗……,
SakeOutside.Miki.130.1,她……,
SakeOutside.Sake.131,她……是个好解说。,
SakeOutside.Sake.132,再也没有她那样好的了。,
SakeOutside.Miki.133,……,
SakeOutside.Sake.134,我们都应该向前看了。,
SakeOutside.Miki.135,这话不是应该我来说？,
SakeOutside.Sake.136,哈哈，是吧。,
SakeOutside.Miki.137,……,
SakeOutside.Miki.130.2,……,
SakeOutside.Sake.139,对了，我差点把正事儿忘了。,
SakeOutside.Sake.140,Sue 前几天玩了我之前请你做顾问的那个游戏。,
SakeOutside.Sake.141,就是盖房子那个。,
SakeOutside.Miki.201,做个游戏还搞出顾问来了——,
SakeOutside.Miki.142,千城之城。,
SakeOutside.Sake.143,对，就是这个，她说想找你请教一下现代主义建筑。,
SakeOutside.Miki.144.1,好啊。,
SakeOutside.Miki.144.2,你觉得我懂这个？,
SakeOutside.Sake.146,谦虚了，Miki 大师。,
SakeOutside.Sake.147,给你。,
SakeOutside.Miki.148,搞这么正式。,
SakeOutside.Miki.149,（想和Miki阿姨一起过烟花节。）,
SakeOutside.Miki.150,（想和Miki叔叔一起过烟花节。）,
SakeOutside.Miki.151,（阿姨……我已经到这个年纪了吗……）,
SakeOutside.Miki.152,（叔叔……我已经到这个年纪了吗……）,
SakeOutside.Miki.153,（好不想承认啊……）,
SakeOutside.Sake.154,我走了。,
SakeOutside.Sake.155,吸——,
SakeOutside.Sake.156,你想好的话就联系我。,
SakeOutside.Miki.157,真讲现代主义吗？,
SakeOutside.Sake.158,不一定吧，就玩儿嘛。,
SakeOutside.Sake.159,我到时候带着她过来星水。,
SakeOutside.Sake.160,你想讲就讲讲，不想讲就看看烟花拉倒。,
SakeOutside.Sake.161,走了。,
SakeOutside.Miki.162.1,衣服。,
SakeOutside.Sake.163,哦哦，谢了。,
SakeOutside.Miki.162.2,……,
SakeOutside.Sake.165,靠，衣服差点儿忘了。,
SakeOutside.Miki.166,（和想象中有点不一样。）,
SakeOutside.Miki.167,（不过姑且算是收到了一起过烟花节的邀请。）,
SakeOutside.Miki.168,（好好考虑——）,
SakeOutside.Miki.169,（好好复习一下建筑史。）,
SakeOutside.Sake.170,我走了。,
SakeOutside.Miki.171,嗯。拜拜。,
SakeOutside.Miki.172,替我向 Sue 问好。,
SakeOutside.Sake.173,好。,
SakeOutside.Miki.174,（已经有点晚了，先回家吧。）,
SakeOutside.Miki.175,（说不定今天能多接到些单子。）,
