location,source,target
SakeRe.Sue.1,Ki叔——！,
SakeRe.Sue.2,Ki姨——！,
SakeRe.Miki.2,（……）,
SakeRe.Miki.3,（Sake还没有来吗……？）,
SakeRe.Miki.4,（一会儿要怎么说服 Sue 啊……）,
SakeRe.Miki.5,（这小孩的声音听着还挺耳熟。）,
SakeRe.Sue.6,Ki叔！,
SakeRe.Sue.7,Ki姨！,
SakeRe.Miki.7,靠，已经长这么高了啊？,
SakeRe.Sake.8,嘿，Miki。,
SakeRe.Sake.9,哎哟喂，世罗大道那块儿全是游客。,
SakeRe.Sake.10,乌泱乌泱的。跟不要命似的。,
SakeRe.Sake.11,给我堵够呛。,
SakeRe.Miki.1001,迟到的人吞一千根针。,
SakeRe.Sake.1002,哈哈哈哈，好好好。,
SakeRe.Sake.1003,你的地盘你说了算，我一会儿就去买针。,
SakeRe.Miki.1004,没事，还没开始。,
SakeRe.Sake.1005,哦，是嘛……,
SakeRe.Sake.1006,那还算是赶上了。,
SakeRe.Sake.1007,……,
SakeRe.Sake.1008,啊，Miki。,
SakeRe.Sake.1009,啊、诶、嗯……那个……,
SakeRe.Sake.1010,那个——,
SakeRe.Miki.1011,干嘛啊，挤眉弄眼的。,
SakeRe.Sake.1012,哎呀，就是上回跟你说那个啊。（小声）,
SakeRe.Miki.1013,啥啊，你跟我说的？（小声）,
SakeRe.Sake.1014,就是全力阻止啊。（小声）,
SakeRe.Miki.1015,我怎么——,
SakeRe.Sue.12,Ki叔。,
SakeRe.Sue.1000,Ki姨。,
SakeRe.Sue.13,我，有点事情想请教您。,
SakeRe.Sake.14,啊——这什么鬼天气啊。,
SakeRe.Sake.15,又热又闷。渴死了。,
SakeRe.Sake.16,你们先聊，我去买点儿喝的啊。,
SakeRe.Miki.17,（临阵脱逃啊……这小子。）,
SakeRe.Sue.18,老爸应该跟你说了吧？,
SakeRe.Sue.19,你应该没有被他洗脑吧？,
SakeRe.Miki.20.1,电竞也没什么不好。,
SakeRe.Sue.21,是吧？,
SakeRe.Sue.22,但是要怎么做呢？,
SakeRe.Miki.20.2,不是说要做建筑吗？,
SakeRe.Sue.24,建筑我还是觉得当成爱好比较好。,
SakeRe.Sue.25,因为那天老爸跟我说——,
