location,source,target
SketchApp.UI.AppIconName,Sketching,
SketchApp.UI.AppTitle,Sketching 专业版,
SketchApp.UI.OperationTips,在进度结束前按下操作键,
SketchApp.UI.Statement,破解版   仅供内部使用   请勿外传,
SketchApp.UI.RegisterForTheMatch,近期赛事一键报名通道,
SketchApp.UI.NewFile,新建文件,
SketchApp.UI.LoadFile,打开文件,
SketchApp.UI.FileNameFormat,{0}_方案({1}),
SketchApp.UI.EasyMatchName,麻园市滨海未来建筑与环境设计大赛,
SketchApp.UI.HardMatchName,一之濑设计比赛,
SketchApp.UI.ReachMaxScore,今天就到这里吧。,
SketchApp.UI.Submit,耐心等待比赛结果吧,
SketchApp.UI.WaitReTry,没灵感了，一会儿再试试吧。,
SketchApp.UI.SubmitTitle,大赛提醒助手,
SketchApp.UI.SubmitInfo,"比赛即将截止
提交“{0}.stg”到比赛？",
SketchApp.UI.SubmitBtnText,提交“{0}.stg”,
SketchApp.UI.SaveAsTitle,另存为,
SketchApp.UI.SaveFileInfo,"保存“{0}.stg”至此电脑
<color=#A69884>保存后今日不会再尝试建模",
SketchApp.UI.SaveFileBtnText,保存“{0}.stg”,
SketchApp.UI.RetryBtnText,再试一次,
SketchApp.UI.Score,顶点数：{0},
SketchApp.Feel.x,灵感 x {0},
SketchApp.Feel.1,它给人的感觉应该是……,
SketchApp.Feel.2,要不去找找参考？,
SketchApp.Feel.3,如果这样的话……,
SketchApp.Feel.4,Grave 老师会怎么思考呢？,
SketchApp.Feel.5,这里应该这样做。,
SketchApp.Feel.6,时间还早，再做一会。,
SketchApp.Feel.7,感觉还差一点。,
SketchApp.Feel.8,有时间去问问其他人的意见吧。,
SketchApp.Feel.9,我需要先攻击那个有嘲讽的地形。,
SketchApp.Feel.10,这里是不是宽一点好？,
SketchApp.Feel.11,是不是哪里怪怪的？,
SketchApp.Feel.12,灵感来了。,
SketchApp.Feel.13,换个角度看看。,
SketchApp.Feel.14,入口的形态应该要传递出……,
SketchApp.Feel.15,我记得哪本书上写过这个案例……,
SketchApp.Feel.16,这里的采光，如果是朝南的话……,
SketchApp.Feel.17,要是能考察一下预期的地址……,
SketchApp.Feel.18,哦！有点接近理想效果了啊。,
SketchApp.Feel.19,再看看细节……,
SketchApp.Feel.20,空间、光线、功能、融合……拿铁咖啡！,
SketchApp.Feel.21,考虑将走廊拓宽，或许能提升空间感。,
SketchApp.Feel.22,感觉比例上有些微妙的不协调。,
SketchApp.Feel.23,弧形门……会不会太吓人了点……,
SketchApp.Feel.24,黑白灰做了一辈子，要不带点彩？,
SketchApp.Feel.25,线条的过度，应该再柔和一点。,
SketchApp.Feel.26,室内外的缓冲区啊……,
SketchApp.Feel.27,果然无主灯设计才是最屌的。,
SketchApp.Feel.28,想抽烟，安排一个露天吸烟室吧。,
SketchApp.Feel.29,要不要问问设计院的人呢……,
SketchApp.Feel.30,自然的风和光……绿……,
SketchApp.Feel.31,我需要后院烧烤。,
SketchApp.Feel.32,今天就到这里吧。,
