location,source,target
SomeoneAsk.Someone.1,我们都从星辰中诞生，死后又变成星辰。,
SomeoneAsk.Monologue.2,他又来了。,
SomeoneAsk.Someone.3,太阳的最后一束光会吹散我的身体，吹散我的灵魂，吹散我全部的思念。,
SomeoneAsk.Monologue.4,……,
SomeoneAsk.Typing.5.1,这些到底是什么意思？,
SomeoneAsk.Typing.5.2,/不回,
SomeoneAsk.Someone.7,我们变成了盛开在银河边缘的一朵小花，炽热，透明，且永不凋零。,
SomeoneAsk.Typing.8.1,这是我的账号，不是什么文件传输助手,
SomeoneAsk.Typing.8.2,你是说我们……？,
SomeoneAsk.Monologue.10,"靠，
我不记得我和这个人有过任何……",
SomeoneAsk.Monologue.11,变成小花的回忆啊……,
SomeoneAsk.Typing.8.3,/不回,
SomeoneAsk.Someone.13,浪焰平息过后，连毁灭本身都已经逝去，宇宙回到了最初的样子——,
SomeoneAsk.Typing.14.1,我拜托你说点人话啊,
SomeoneAsk.Typing.14.2,如果毁灭是答案，是否宇宙才是它的答案？,
SomeoneAsk.Monologue.16,……,
SomeoneAsk.Monologue.17,是不是我不管说什么他都会按照固定的内容说完？,
SomeoneAsk.Monologue.18,好吧好吧，我这就让一切变成最初的样子。,
SomeoneAsk.Todo.0,在好友里按下 DEL 删掉 Someone 的好友？,
SomeoneAsk.Todo.-0,删掉了 Someone 的好友,
SomeoneAsk.Monologue.19,要删掉 Someone 的好友吗？,
SomeoneAsk.Monologue.20.1,是,
SomeoneAsk.Monologue.20.2,否,
SomeoneAsk.Someone.22,我没有爱过你的样子，,
SomeoneAsk.Someone.23,我们又可以相爱了。,
SomeoneAsk.Typing.24,这算是告白吗？,
SomeoneAsk.Someone.25,如果我打算做一件所有人都不支持的事情,
SomeoneAsk.Someone.101,这会改变一切,
SomeoneAsk.Someone.102,我们会成为毁灭者,
SomeoneAsk.Someone.103,我们还很弱小,
SomeoneAsk.Someone.104,在毁灭来临之前我们必须弃绝掉所谓高尚的道德,
SomeoneAsk.Someone.105,因为我们没有力量。,
SomeoneAsk.Someone.106,倘若我的心意已经坚决——,
SomeoneAsk.Someone.26,你会支持我吗？,
SomeoneAsk.Monologue.27,终于能看懂了！！,
SomeoneAsk.Monologue.107,就算前面的一个字都没看懂——,
SomeoneAsk.Monologue.108,也终于把这句话看懂了。,
SomeoneAsk.Typing.28.1,会,
SomeoneAsk.Someone.29,谢谢这就够了。,
SomeoneAsk.Typing.30,但是你还没说是什么事？,
SomeoneAsk.Monologue.31,……,
SomeoneAsk.Monologue.32,有点后悔没有把他删了。,
SomeoneAsk.Monologue.33,算了，就这样吧。,
SomeoneAsk.Typing.28.2,不会,
SomeoneAsk.Typing.28.3,要看是什么事,
SomeoneAsk.Someone.36,我会成为一个毁灭者,
SomeoneAsk.Someone.37,践踏前辈、同伴乃至亲人用心血浇灌的世界,
SomeoneAsk.Typing.38.1,听起来不像好事,
SomeoneAsk.Typing.38.2,听起来还不错,
SomeoneAsk.Someone.40,你会支持我吗？,
SomeoneAsk.Typing.41.1,会,
SomeoneAsk.Someone.42,谢谢，这就够了。,
SomeoneAsk.Monologue.43,莫名其妙地能感应到这个人应该不会再回消息了。,
SomeoneAsk.Monologue.44,只能隐约记得这是一个成绩还不错的人了。,
SomeoneAsk.Monologue.45,甚至都不记得他是男是女了……,
SomeoneAsk.Monologue.46,又是一个孤独的人吧。,
SomeoneAsk.Typing.41.2,不会,
