"location","source","target"
"﻿TEsoe2Eka.Typing.1.1","你好，杀人犯","你好，杀人犯"
"TEsoe2Eka.Typing.1.2","束手就擒吧","束手就擒吧"
"TEsoe2Eka.Typing.1.3","你完蛋了","你完蛋了"
"TEsoe2Eka.Eka.4","你他妈谁啊","你他妈谁啊"
"TEsoe2Eka.Typing.5","我是来抓你的人","我是来抓你的人"
"TEsoe2Eka.Eka.6","搞笑","搞笑"
"TEsoe2Eka.Eka.7","麻园没有人能动得了 TT","麻园没有人能动得了 TT"
"TEsoe2Eka.Eka.8","不要以为你们这些小组织","不要以为你们这些小组织"
"TEsoe2Eka.Eka.9","在什么新鲜事、贝壳湖上能发点文章","在什么新鲜事、贝壳湖上能发点文章"
"TEsoe2Eka.Eka.10","就能改变什么","就能改变什么"
"TEsoe2Eka.Eka.11","真正掌权的人谁上网？","真正掌权的人谁上网？"
"TEsoe2Eka.Eka.12","啊？","啊？"
"TEsoe2Eka.Eka.13","你根本就看不懂社会的底层逻辑","你根本就看不懂社会的底层逻辑"
"TEsoe2Eka.Eka.14","和 TT 对着干的，没一个有好下场","和 TT 对着干的，没一个有好下场"
"TEsoe2Eka.Eka.15","你还敢跑来和我聊天","你还敢跑来和我聊天"
"TEsoe2Eka.Eka.16","FINDER 马上就会抓到你","FINDER 马上就会抓到你"
"TEsoe2Eka.Typing.17","闭嘴吧","闭嘴吧"
"TEsoe2Eka.Typing.18","这一枪是为了 Pi。","这一枪是为了 Pi。"
"TEsoe2Eka.Eka.19","靠，你在干什mmmmm","靠，你在干什mmmmm"
