"location","source","target"
"﻿URegu.Tips.0","2011年6月22日 22:01","2011年6月22日 22:01"
"URegu.Regules.1","U医生，我想取消明天的预约","U医生，我想取消明天的预约"
"URegu.U.2","好的",""
"URegu.U.3","距离预约时间不到 24 小时取消的话，按照规定我要收 30％ 的预约费哦","距离预约时间不到 24 小时取消的话，按照规定我要收 30％ 的预约费哦"
"URegu.Regules.4","嗯，我知道了","嗯，我知道了"
"URegu.Regules.5","谢谢医生",""
"URegu.U.6","怎么样你的情况？","怎么样你的情况？"
"URegu.Regules.7","最近还行","最近还行"
"URegu.Regules.8","有时候早上会觉得不想吃东西","有时候早上会觉得不想吃东西"
"URegu.Regules.9","可能是因为卓米斯诺的副作用","可能是因为卓米斯诺的副作用"
"URegu.U.10","最近一周里你有多少次感觉到痛苦和绝望？","最近一周里你有多少次感觉到痛苦和绝望？"
"URegu.Regules.11","没有多少次吧","没有多少次吧"
"URegu.Regules.12","这周最多2次应该","这周最多2次应该"
"URegu.U.13","早上醒来时你有多少次感到无力和疲惫？","早上醒来时你有多少次感到无力和疲惫？"
"URegu.Regules.14","嗯，我不太清楚这二者之间的区别？","嗯，我不太清楚这二者之间的区别？"
"URegu.U.15","没什么区别，我只是用两个意思相近的词尽量扩大患者的理解面","没什么区别，我只是用两个意思相近的词尽量扩大患者的理解面"
"URegu.Regules.16","好吧",""
"URegu.Regules.17","0 次","0 次"
"URegu.Regules.18","虽然最近真的很累","虽然最近真的很累"
"URegu.Regules.19","但是还挺有干劲的","但是还挺有干劲的"
"URegu.Regules.20","我只是害怕晚上睡不着","我只是害怕晚上睡不着"
"URegu.Regules.21","那些事情会一直纠缠我","那些事情会一直纠缠我"
"URegu.U.22","了解，听起来好一些了比上个月","了解，听起来好一些了比上个月"
"URegu.U.23","你想要换个新处方吗？","你想要换个新处方吗？"
"URegu.Regules.24","应该不用吧","应该不用吧"
"URegu.Regules.25","到中午那会儿饿了就吃得下了","到中午那会儿饿了就吃得下了"
"URegu.Regules.26","我可能周三有空来找您拿药","我可能周三有空来找您拿药"
"URegu.Regules.27","我在想我们能不能略去问诊的这个过程","我在想我们能不能略去问诊的这个过程"
"URegu.Regules.28","您把药直接给我就行","您把药直接给我就行"
"URegu.U.29","当然可以，只要你的理化指标稳定","当然可以，只要你的理化指标稳定"
"URegu.U.30","不过你之前的处方，就是卓米斯诺拿不到了","不过你之前的处方，就是卓米斯诺拿不到了"
"URegu.U.31","被管制了","被管制了"
"URegu.Regules.32","又被管制了？去年不是才解除管制的吗？","又被管制了？去年不是才解除管制的吗？"
"URegu.U.33","是","是"
"URegu.U.34","最近闹得太厉害了限制法案","最近闹得太厉害了限制法案"
"URegu.Regules.35","限制法案不是管 AI 的吗，也管药品？","限制法案不是管 AI 的吗，也管药品？"
"URegu.U.36","卓米斯诺一直都很难搞，有些地方能开，有些地方开不出来","卓米斯诺一直都很难搞，有些地方能开，有些地方开不出来"
"URegu.U.37","和我们医院合作的那位赛博医师不幸倒下了","和我们医院合作的那位赛博医师不幸倒下了"
"URegu.Regules.38","好吧",""
"URegu.U.39","我建议你可以尝试一下心理咨询一类的疗法","我建议你可以尝试一下心理咨询一类的疗法"
"URegu.U.40","我有不错的同业可以介绍给你","我有不错的同业可以介绍给你"
"URegu.U.41","还可以从我的抽成里让一部分给你折上折","还可以从我的抽成里让一部分给你折上折"
"URegu.Regules.42","谢谢医生","谢谢医生"
"URegu.Regules.43","但那个不是骗人的吗，心理咨询","但那个不是骗人的吗，心理咨询"
"URegu.U.44","作为从业者，我不能发表不负责任的言论","作为从业者，我不能发表不负责任的言论"
"URegu.U.45","可能会有效，也可能无效，看人","可能会有效，也可能无效，看人"
"URegu.Regules.46","那个我以前看过，太贵了","那个我以前看过，太贵了"
"URegu.Regules.47","要七八百块一个小时","要七八百块一个小时"
"URegu.U.48","是找实体医生看的吗？","是找实体医生看的吗？"
"URegu.Regules.49","没有，那时候好像是有个机构在打折，我找了个赛博医生","没有，那时候好像是有个机构在打折，我找了个赛博医生"
"URegu.Regules.50","反正感觉没什么用","反正感觉没什么用"
"URegu.U.51","那你可以试试机动结晶","那你可以试试机动结晶"
"URegu.U.52","铁绿补脑酊之类的","铁绿补脑酊之类的"
"URegu.U.53","还有玫瑰镍","还有玫瑰镍"
"URegu.Regules.54","这些东西是不是天然的，副作用比较小","这些东西是不是天然的，副作用比较小"
"URegu.U.55","没有这回事，所有药品都是人工合成的","没有这回事，所有药品都是人工合成的"
"URegu.U.56","你有没有宗教信仰，或者你们家人有没有对金属和矿物成分过敏的？","你有没有宗教信仰，或者你们家人有没有对金属和矿物成分过敏的？"
"URegu.Regules.57","金属和矿物","金属和矿物"
"URegu.Regules.58","好像我外婆会用铁壶泡糙米茶给我喝","好像我外婆会用铁壶泡糙米茶给我喝"
"URegu.U.59","那算了，可能对你不管用机动结晶","那算了，可能对你不管用机动结晶"
"URegu.Regules.60","好吧",""
"URegu.U.61","我下次可能会给你喹硫平和米氮平","我下次可能会给你喹硫平和米氮平"
"URegu.U.62","不过这两个药的副作用会比卓米斯诺大很多","不过这两个药的副作用会比卓米斯诺大很多"
"URegu.Regules.63","这是您最不推荐的选项吗","这是您最不推荐的选项吗"
"URegu.U.64","不算是吧","不算是吧"
"URegu.U.65","都是我很熟悉，很稳定的药物","都是我很熟悉，很稳定的药物"
"URegu.U.66","我很清楚他们的疗效，也知道副作用","我很清楚他们的疗效，也知道副作用"
"URegu.U.67","只要你不害怕就没关系","只要你不害怕就没关系"
"URegu.Regules.68","这一次取药","这一次取药"
"URegu.Regules.69","我可以用信用卡付吗","我可以用信用卡付吗"
"URegu.U.70","信用卡付的话，我这里要交手续费啊","信用卡付的话，我这里要交手续费啊"
"URegu.U.71","先记在你账单上吧，你下个月付","先记在你账单上吧，你下个月付"
"URegu.Regules.72","这样可以吗？","这样可以吗？"
"URegu.Regules.73","太好了！！谢谢医生！(≧3≦)","太好了！！谢谢医生！(≧3≦)"
"URegu.U.74","这个符号是什么意思？","这个符号是什么意思？"
"URegu.Regules.75","没有特别的意思","没有特别的意思"
"URegu.Regules.76","只是一个可爱的符号而已","只是一个可爱的符号而已"
"URegu.U.77","确实","确实"
"URegu.U.78","说起这个最近有一些病例报告吃喹硫平会出现幻觉","说起这个最近有一些病例报告吃喹硫平会出现幻觉"
"URegu.U.79","如果你也有的话记得告诉我，给你换一种到时候再","如果你也有的话记得告诉我，给你换一种到时候再"
"URegu.Regules.80","好吧",""
"URegu.U.81","考虑到你的情况，幻觉也不是什么大事","考虑到你的情况，幻觉也不是什么大事"
"URegu.Regules.82","真的没有卓米斯诺了吗","真的没有卓米斯诺了吗"
"URegu.U.83","我几乎加了一倍的价格都搞不到","我几乎加了一倍的价格都搞不到"
"URegu.Regules.84","我想请教医生我什么时候能痊愈","我想请教医生我什么时候能痊愈"
"URegu.Regules.85","就是不用再吃药了","就是不用再吃药了"
"URegu.U.86","我不知道","我不知道"
"URegu.U.87","我说过，我不能发表不负责任的言论","我说过，我不能发表不负责任的言论"
"URegu.Regules.88","我想变成一个健全的人","我想变成一个健全的人"
"URegu.U.89","你会的","你会的"
"URegu.Regules.90","谢谢医生，但是您为什么这么说？","谢谢医生，但是您为什么这么说？"
"URegu.U.91","直觉","直觉"
"URegu.U.92","作为医生敏锐的直觉","作为医生敏锐的直觉"
"URegu.U.93","它们都不能治愈你这些药","它们都不能治愈你这些药"
"URegu.U.94","它们只是帮助你减轻一些痛苦","它们只是帮助你减轻一些痛苦"
"URegu.U.95","只有你想要健全的时候，你才会慢慢变得健全","只有你想要健全的时候，你才会慢慢变得健全"
"URegu.Regules.96","您突然变得很深奥，医生","您突然变得很深奥，医生"
"URegu.Regules.97","像心理咨询一样","像心理咨询一样"
"URegu.U.98","哈哈，对吧对吧？","哈哈，对吧对吧？"
"URegu.U.99","我也在考虑去当个心理咨询师","我也在考虑去当个心理咨询师"
"URegu.Regules.100","您要放弃这份工作吗？","您要放弃这份工作吗？"
"URegu.U.101","啊，不会那倒是","啊，不会那倒是"
"URegu.U.102","心理咨询师哪有那么容易当","心理咨询师哪有那么容易当"
"URegu.Regules.103","但您已经是精神科医师了啊","但您已经是精神科医师了啊"
"URegu.U.104","城墙很高的","城墙很高的"
"URegu.U.105","要引流，要装修，要卖课","要引流，要装修，要卖课"
"URegu.U.106","还要假惺惺地说“来访者”","还要假惺惺地说“来访者”"
"URegu.U.107","效率太低，太不稳定","效率太低，太不稳定"
"URegu.Regules.108","好吧","好吧"
"URegu.Regules.109","我以为您会一直在诊所里","我以为您会一直在诊所里"
"URegu.U.110","我会的","我会的"
"URegu.Regules.111","您真的很可靠，一直以来多谢您的照顾了","您真的很可靠，一直以来多谢您的照顾了"
"URegu.U.112","客气了你，多多帮我宣传吧","客气了你，多多帮我宣传吧"
"URegu.U.113","我正打算给老伙计换一个变速箱","我正打算给老伙计换一个变速箱"
"URegu.Regules.114","好的","好的"
