"location","source","target"
"﻿VideoError.Monologue.1","不对。","不对。"
"VideoError.Monologue.2","我记得那一天不是这样的。","我记得那一天不是这样的。"
"VideoError.Monologue.3","这个记录似乎有些片段丢失了。","这个记录似乎有些片段丢失了。"
"VideoError.Monologue.4","靠，又卡死了。","靠，又卡死了。"
"VideoError.Monologue.5","记录也没法看了。","记录也没法看了。"
"VideoError.Monologue.6","没办法了，重启电脑吧。","没办法了，重启电脑吧。"
"VideoError.Monologue.7","警告：文件损坏","警告：文件损坏"
"VideoError.Monologue.8","文件损坏……","文件损坏……"
"VideoError.Monologue.9","你妈的……","你妈的……"
"VideoError.Monologue.10","让我好好想想……","让我好好想想……"
"VideoError.Monologue.11","脑海中浮现出的是——","脑海中浮现出的是——"
"VideoError.Monologue.12","杂念杂念杂念杂念杂念杂念杂念杂念杂念杂念杂念杂念杂念杂念。","杂念杂念杂念杂念杂念杂念杂念杂念杂念杂念杂念杂念杂念杂念。"
"VideoError.Monologue.13","嘎。","嘎。"
"VideoError.Monologue.14","有了。","有了。"
"VideoError.Monologue.15","网络替身的飞升之路，序列二十七。","网络替身的飞升之路，序列二十七。"
"VideoError.Monologue.16","感到无所适从的时候——","感到无所适从的时候——"
"VideoError.Monologue.17","就重启吧！","就重启吧！"
