location,source,target
WillFrank.Tips.1,2011/6/1 10:12,
WillFrank.Frank.2,儿童节礼物放你桌上了,
WillFrank.Will.3,傻狗,
WillFrank.Frank.4,我是你爹,
WillFrank.Will.5,傻逼,
WillFrank.Tips.6,2011/6/1 18:22,
WillFrank.Frank.7,怎么说？,
WillFrank.Will.8,有约了,
WillFrank.Tips.9,2011/6/2 17:12,
WillFrank.Frank.10,下班喝点儿？,
WillFrank.Will.11,你小子，做贼心虚了要堵我的嘴,
WillFrank.Frank.12,不存在的,
WillFrank.Will.13,缘从何起啊？,
WillFrank.Frank.14,害，哪有啥缘,
WillFrank.Frank.15,就面试的时候我就挺喜欢她,
WillFrank.Will.16,小畜生，公司要是黄了我必杀你,
WillFrank.Frank.17,我想结婚了,
WillFrank.Will.18,滚,
WillFrank.Frank.19,<color=#000000><wave>真的，我想和 Amanda 结婚了</wave></color>,
WillFrank.Monologue.20,谁是 Amanda……,
WillFrank.Monologue.21,我真得仔细记一下这些个名字……,
WillFrank.Monologue.200,Amanda……,
WillFrank.Monologue.201,Frank 应该说的是他们公司的另一位程序 Amanda 吧。,
WillFrank.Monologue.202,和 Alan 提到的他妻子的名字一样……,
WillFrank.Monologue.203,同名吗？,
WillFrank.Monologue.204,看了头像……大概率是一个人。,
WillFrank.Todo.1,Frank 想和  Amanda 结婚,
WillFrank.Will.22,滚滚滚,
WillFrank.Frank.23,怎么说，喝不喝,
WillFrank.Will.24,我要回家玩 A5,
WillFrank.Frank.25,那是什么东西,
WillFrank.Will.26,天下第一的阿特拉斯 5,
WillFrank.Tips.27,2011/6/6 10:04,
WillFrank.Frank.28,帮我带两杯冰美,
WillFrank.Will.29,今早不来了，自己解决,
WillFrank.Frank.30,1,
WillFrank.Tips.31,2011/6/7 00:04,
WillFrank.Frank.32,新人设我抽空搂了一眼,
WillFrank.Frank.33,是卖爆的感觉啊,
WillFrank.Will.34,谢谢谢谢,
WillFrank.Frank.35,是那个 Nori 写的吗,
